Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
DISTRIBUTION AND DEVELOPMENT AGREEMENT,Document Name,DISTRIBUTION AND DEVELOPMENT AGREEMENT
"As part of SekisuiÕs supplier approval program, Sekisui will have the option to perform an audit (applying SekisuiÕs standard supplier criteria for qualification as an ""Approved Supplier"") at QualigenÕs Carlsbad, California manufacturing facility annually and at each relocated manufacturing facility at which Qualigen will manufacture the Products within sixty (60) days of QualigenÕs notice to Sekisui of the relocation of such manufacturing facility.",Audit Rights,Yes
"If Qualigen does not pass such audit and the reasons for such failure can be remedied within a reasonable period of time (which shall not be less than sixty (60) days), then Sekisui shall provide Qualigen with a list of proposed remedial action items and a proposed timeframe within which to accomplish such action items",Audit Rights,Yes
"If Qualigen does not pass such audit and the reasons for such failure cannot be remedied within a reasonable period of time or Qualigen fails or elects not to complete any remedial actions reasonably suggested by Sekisui, then SekisuiÕs sole and exclusive remedy shall be to terminate this Agreement in accordance with the provisions of Section 14 of this Agreement, with such termination to be effective upon receipt of a termination notice by Qualigen sent by Sekisui at any time after the sixty day remedy period described in this Section 5.4 has passed",Audit Rights,Yes
"As scheduled, Sekisui may perform an audit during reasonable business hours to confirm ongoing compliance with the Quality System Regulations and confirm adequate process controls",Audit Rights,Yes
Sekisui shall notify Qualigen at least one month in advance of a planned audit and Qualigen shall make reasonable efforts to accommodate the desired schedule.,Audit Rights,Yes
"Qualigen shall deliver to Sekisui: 7.2.1. as soon as practicable, but in any event within one-hundred eighty (180) days after the end of each fiscal year of Qualigen (i) a balance sheet as of the end of such year, (ii) a statement of income for such year, and (iii) a comparison between (x) the actual amounts as of and for such fiscal year and (y) the comparable amounts for the prior year and as included in QualigenÕs budget for such year, with an explanation of any material differences between such amounts, all such financial statements in the form of a compilation prepared by independent public accountants; 7.2.2. as soon as practicable, but in any event within thirty (30) days after the end of each quarter of each fiscal year of Qualigen, an unaudited statement of income for such fiscal quarter, and an unaudited balance sheet as of the end of such fiscal quarter, all prepared in accordance with GAAP (except that such financial statements may (i) be subject to normal year-end audit adjustments; and (ii) not contain all notes thereto that may be required in accordance with GAAP); 11 Source: RITTER PHARMACEUTICALS INC, S-4/A, 3/13/20207.2.3. as soon as practicable, but in any event within thirty (30) days of the end of each month, an unaudited income statement for such month, and an unaudited balance sheet as of the end of such month, all prepared in accordance with GAAP (except that such financial statements may (i) be subject to normal year-end audit adjustments and (ii) not contain all notes thereto that may be required in accordance with GAAP); 7.2.4. as soon as practicable, but in any event within forty five (45) days after the end of each quarter of each fiscal year of Qualigen, a progress report setting forth QualigenÕs business results and progress against the Development Plan; and 7.2.5. as soon as practicable, but in any event no later than sixty (60) days before the end of each fiscal year, a budget and business plan for the next fiscal year, prepared on a monthly basis, including balance sheets and income statements.",Audit Rights,Yes
"Qualigen shall deliver to Sekisui: as soon as practicable, but in any event within one-hundred eighty (180) days after the end of each fiscal year of Qualigen (i) a balance sheet as of the end of such year, (ii) a statement of income for such year, and (iii) a comparison between (x) the actual amounts as of and for such fiscal year and (y) the comparable amounts for the prior year and as included in QualigenÕs budget for such year, with an explanation of any material differences between such amounts, all such financial statements in the form of a compilation prepared by independent public accountants; as soon as practicable, but in any event within thirty (30) days after the end of each quarter of each fiscal year of Qualigen, an unaudited statement of income for such fiscal quarter, and an unaudited balance sheet as of the end of such fiscal quarter, all prepared in accordance with GAAP (except that such financial statements may (i) be subject to normal year-end audit adjustments; and (ii) not contain all notes thereto that may be required in accordance with GAAP); as soon as practicable, but in any event within thirty (30) days of the end of each month, an unaudited income statement for such month, and an unaudited balance sheet as of the end of such month, all prepared in accordance with GAAP (except that such financial statements may (i) be subject to normal year-end audit adjustments and (ii) not contain all notes thereto that may be required in accordance with GAAP); as soon as practicable, but in any event within forty five (45) days after the end of each quarter of each fiscal year of Qualigen, a progress report setting forth QualigenÕs business results and progress against the Development Plan; and as soon as practicable, but in any event no later than sixty (60) days before the end of each fiscal year, a budget and business plan for the next fiscal year, prepared on a monthly basis, including balance sheets and income statements.",Audit Rights,Yes
"Upon reasonable written notice (and no more often than once every 150 days), the auditing Party shall have the right, during normal business hours, to audit the books and records maintained by the audited Party pursuant to this Agreement to ensure the accuracy of all reports and payments made hereunder.",Audit Rights,Yes
"In the event of any breach of Sections 9.1 through 9.3, including without limitation, any actions by stockholders of Qualigen that result in a Sale Transaction without complying with Sections 9.1 through 9.3 above, or otherwise hinder the intent and purpose of the provisions of Sections 9.1 through 9.3 above, in addition to any other remedies available to Sekisui under the terms of this Agreement, including the right to specific performance and other equitable remedies, Sekisui shall be entitled to liquidated damages in the amount of three times any and all Financing Payments made to date.",Liquidated Damages,Yes
"Qualigen shall provide to Sekisui and for the benefit of SekisuiÕs customers of Products a standard commercial written warranty that the Products will be free of defects in materials or workmanship starting from the date the Product has been received by SekisuiÕs customer and ending after the length of time stated for the applicable Product on Exhibit D hereto (the ""User Warranty"").",Warranty Duration,Yes
"Qualigen, at its own expense, shall procure and maintain during the Term, insurance policies with the minimum coverages set forth below (""Insurance"").",Insurance,Yes
Sekisui shall be named as an additional insured with respect to the Insurance.,Insurance,Yes
"The Insurance shall be primary for all purposes to other insurance coverage, whether such other insurance is stated to be primary, contributory, excess, contingent or otherwise, without recourse to or contribution from any Sekisui-owned coverage.",Insurance,Yes
"Combined single limit for bodily and property damage of not less than $1,000,000 for each occurrence and $2,000,000 annual aggregate providing: _ Assault and Battery coverage, _ Broad form property damage coverage, _ Broad form contractual liability coverage, _ Products and completed operations coverage, and _ Personal and advertising injury coverage.",Insurance,Yes
"WorkersÕ Compensation and EmployerÕs Liability Insurance - With limits of liability for: _ WorkersÕ compensation as required by statute; _ EmployerÕs liability for bodily injury by accident: $500,000 each accident; bodily injury by disease: $500,000 policy limit; and bodily injury by disease: $500,000 each employee.",Insurance,Yes
All QualigenÕs Insurance shall be placed with an insurer that (a) has an A.M. Best rating of A- or better or (b) is a qualified self- insurance program that is approved by Sekisui.,Insurance,Yes
"insurance program that is approved by Sekisui. Qualigen shall provide Sekisui, upon request, with written evidence of the Insurance, including where it is provided through qualified self-insurance.",Insurance,Yes
"During and after the Term, neither Party shall register, use or claim ownership or other rights in any logo, trade name, brand name or trademark of the other Party in existence during the Term (nor any logo, trade name, brand name or trademark confusingly similar to any logo, trade name, brand name or trademark of the other Party in existence during the Term), nor assist anyone else to do so, nor make or assist in any challenge to any logo, trade name, brand name or trademark of the other Party in existence during the Term.",Covenant Not To Sue,Yes
