Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
PRODUCT MANUFACTURING AGREEMENT,Document Name,PRODUCT MANUFACTURING AGREEMENT
"Notwithstanding the aforesaid, either Party shall be entitled to assign, delegate, and/or subcontract its rights and obligation under this Agreement, in whole or in part, to one or more of its Affiliates on prior written notice to the other Party.",Anti-assignment,Yes
"Commencing with ****, Dexcel may adjust the Supply Price for the next following Year not more often than ****.",Price Restrictions,Yes
Dexcel shall supply the Product with at least **** percent (****%) of the shelf life upon Delivery unless otherwise agreed by the Parties.,Minimum Commitment,Yes
"Dexcel shall order the Packaging materials required for the Product Packaging (including, but not limited to, all Labeling)_ provided that such orders shall not exceed the forecasted demand of such materials for the next following twelve (12) months",Volume Restriction,Yes
"In the event that a Kitov purchase order is greater than KitovÕs Forecast by more than **** percent (****%), Dexcel shall make a good faith determination of its ability to accept such purchase order, consistent with its manufacturing schedule, the availability of the Product API and other materials, and its other planning requirements, in DexcelÕs sole discretion.",Volume Restriction,Yes
"Subject to the provisions of sections 8.1 and 8.2 above and without derogating therefrom, any and all rights, title and interest in any Intellectual Property Rights resulting from any development made by Dexcel which is related to the Product and embodied in the Deliverables or conceived in connection with the services provided hereunder by Dexcel to Kitov, which is only applicable for the manufacture, research, development, making of, use, sale, production, commercialisation and distribution of the Product, shall be jointly and equally (50%/50%) owned by Dexcel and Kitov (the ""Joint. IP"").",Joint IP Ownership,Yes
"Kitov hereby grants to Dexcel a fully paid, limited, non exclusive, license to use Kitov Data in as much as required for the provision of the Services by Dexcel.",License Grant,Yes
Kitov shall be entitled to sell or otherwise dispose of its remaining stock of the Product until the end of the inventoryÕs shelf life.,Post-termination Services,Yes
"Kitov shall have the right (at reasonable intervals, with reasonable prior written notice and during normal business hours, and not more often than annually) to inspect DexcelÕs manufacturing facilities used in the manufacture, storage, testing, and/or release for shipment of the Product.",Audit Rights,Yes
"Nothing in this Section _8.7 shall operate to limit or exclude any liability under Section _8.5 with respect to a Claim, or for fraud, or for breach by a Party of the provisions of Article _7.",Uncapped Liability,Yes
"DexcelÕs responsibility for Product supplied by it to Kitov failing to meet the Specifications shall be limited to the replacement of the Product or the refund of the Supply Price paid by Kitov for such order, as agreed by the parties, except as otherwise provided under this Agreement.",Cap on Liability,Yes
"Without prejudice to any other limitation (whether effective or not) of either PartyÕs liability, neither Party shall be liable to the other Party (whether in contract, tort (including negligence) or for breach of statutory duty or otherwise) for any loss of profits, use, opportunity, goodwill, business or anticipated savings, for any indirect, incidental, special, indirect, punitive or consequential losses (in each case, irrespective of any negligence or other act, default or omission of a Party (or its employees or agents) and regardless of whether such loss or claim was foreseeable or not and whether the other Party has been informed of the possibility of such loss).",Cap on Liability,Yes
"Kitov shall provide Dexcel with written notification of any shortfalls in shipment quantity, and (a) any out-of-specification temperature excursions based on the downloaded data logger information following compliance with the provisions of the Quality Agreement, and/or (b) any failure of the Product to meet the Specifications which are apparent upon visual inspection and/or identification testing of the Product delivered to it by Dexcel (each of (a) and (b) being an ""Apparent Defect""), such notification to be provided within thirty (30) Working Days of receipt of the Product at KitovÕs warehouse, accompanied by samples of any such allegedly defective Product and any such Product shall not be removed from quarantine until their status is resolved.",Warranty Duration,Yes
"In the event that a defect is not apparent upon visual inspection during the shelf life of the Product (""Hidden Defect""), Kitov shall use commercially reasonably best efforts to provide Dexcel with written notification within thirty (30) Working Days of discovering the same, to be accompanied by samples of any such allegedly defective Product, if such samples are available In the event of any failure by Kitov to provide Dexcel with written notification of any such shortfall, Apparent Defect or Hidden Defect within the respective aforementioned periods, it shall be deemed as Kitov having accepted the relevant consignment.",Warranty Duration,Yes
"Each Party shall maintain (a) comprehensive general liability insurance (including without limitation, coverage for bodily injury, personal injury, property damage, casualty loss and contractual and trademark liability); and (b) product liability insurance, providing full indemnification and defense against claims, liabilities, damages, demands and causes of action, alleged or actual, arising out of any defects in or use of the Product under this Agreement (including manufacturing, design, warning, or instruction claims), in such amounts as it customarily maintains for similar products and activities, but in no event less than $5,000,000 per individual claim and $10,000,000 in the aggregate",Insurance,Yes
"At the time of entering this Agreement, each Party shall be fully insured and shall duly maintain such insurance during the term of this Agreement and thereafter for so long as it customarily maintains insurance for itself for similar products and activities.",Insurance,Yes
"Each Party shall cause such insurance policies to provide that the other Party shall be given at least thirty (30) daysÕ notice of any cancellation, termination or change in such insurance.",Insurance,Yes
