Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer,Label 6,Label 6-Answer
NETWORK AFFILIATE AGREEMENT,Document Name,NETWORK AFFILIATE AGREEMENT
"Each Party shall receive 50% of all Net Revenue derived from the sale of advertising Inventory that is  exhibited in the Theatres (the ""Advertising Revenue Share"").",Revenue/Profit Sharing,Yes
"For each twelve-month period following the Effective Date during the Term, and as long as Network AffiliateÕs  attendance base in the Theatres for the twelve (12) month period is equal to or greater than 400,000 patrons (the ""Base Amount""), the amount paid  by NCM pursuant to Section 7.1(b) shall be not less than $ .17 per Theatre patron during such period with such amount increasing by 5% on each  anniversary of the Effective Date (the ""Minimum Fee"").",Minimum Commitment,Yes
"Any and all data, information, and material created, conceived, reduced to practice, or developed by or on  behalf of either Party, whether alone, in connection with the other Party or any third party, including, without limitation, written works, processes,  methods, inventions, discoveries, software, works of visual art, audio works, look-and-feel attributes, and multimedia works, based on, using, or  derived from, in whole or in part, any NCM Property, whether or not done on NCMÕs facilities, with NCMÕs equipment, or by NCM personnel, and  any and all right, title, and interest therein and thereto (including, but not limited to, the right to sue for past infringement) (collectively, ""Derived  Works""), shall be owned solely and exclusively by NCM, and Network Affiliate agrees to and hereby does assign, transfer, and convey to NCM  (and will ensure than any third party acting with or on behalf of Network Affiliate assigns, transfers, and conveys to NCM any and all right, title, or  interest in or to any Derived Work which it may at any time acquire by operation of law or otherwise.",Joint IP Ownership,Yes
"NCM hereby grants to Network Affiliate at no cost a limited, non-exclusive, non-transferable, non-sublicenseable,  royalty-free license in the Territory during the Term only to receive, store, convert or otherwise manage, display and exhibit the Service on the  Equipment at Theatres solely in connection with its performance of and subject to all of the terms and conditions of this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"Subject to the terms and conditions of this Agreement, NCM hereby grants to Network Affiliate, and  Network Affiliate hereby accepts, a non-exclusive, non-transferable, non-sublicenseable, royalty-free limited license to the object code version of  the Software on Equipment at Theatres solely for the limited purpose of performing this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"Subject to the terms and conditions of this Agreement and such other standards, trademark usage guidelines and  specifications as are prescribed by NCM during the term of this Agreement (the ""NCM Quality Standards""), NCM hereby grants to Network  Affiliate, and Network Affiliate hereby accepts, a non-exclusive, non-transferable (except in connection with an assignment of this Agreement in  accordance with Section 14.8 hereof), non-sublicenseable, limited license (i) to use the NCM Marks solely in connection with its receipt and  exhibition of the Service, as approved by NCM in writing in advance, and (ii) to use the NCM Marks in marketing or advertising materials  (""Marketing Materials"") that have been approved by NCM pursuant to the terms hereof.",License Grant,Yes,Non-Transferable License,Yes
"Subject to the terms and conditions of this Agreement, Network Affiliate hereby grants to NCM, and NCM hereby accepts, a  non-exclusive, non-transferable (except in connection with an assignment of this Agreement in accordance with Section 14.8 hereof), non- sublicenseable, limited license (i) to use the Network Affiliate Marks solely in connection with its delivery of the Service, as approved by Network  Affiliate in writing in advance, and (ii) to use the Network Affiliate Marks in Marketing Materials that have been approved by Network Affiliate  pursuant to the terms hereof.",License Grant,Yes,Non-Transferable License,Yes
"To the extent any Derived Works are  included in the Service, NCM hereby grants to Network Affiliate during the Term a non-exclusive, non-transferable, non-sublicenseable license to  such Derived Works solely for use in connection with the Service as expressly provided by this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"Upon termination or expiration of this Agreement, and upon reasonable prior notice to Network  Affiliate, NCM shall be entitled to enter the Theatres upon reasonable prior written notice, and any other premises of Network Affiliate where any  NCM Property may be located, and recover any and all NCM Property, unless Network Affiliate chooses to purchase such Property based on a  straight line five year depreciated value.",Post-termination Services,Yes
"In addition, each Party shall promptly deliver to the other or, at the other PartyÕs option, permit the other  Party to enter its premises and recover any Equipment in the first PartyÕs possession, custody or control which may be owned by the other Party  pursuant to Section 2.3 hereof.",Post-termination Services,Yes
More detailed quality audits may be  performed by NCM personnel.,Audit Rights,Yes
"During the  Term and for a period of three (3) years thereafter, each Party, at its sole expense, shall, upon reasonable advance notice from the other party, make  such books and records available at its offices for inspection and audit by the other party, its employees and agents.",Audit Rights,Yes
Any audit with respect to  amounts payable by either party to the other party under this Agreement shall be limited to an audit with respect to amounts to be paid in the  current calendar year and immediately preceding calendar year only.,Audit Rights,Yes
Any period that has been audited pursuant to this Section shall not be  subject to any further audit.,Audit Rights,Yes
"In addition to the foregoing audit rights of the parties, during the Term, NCM and its authorized agents  shall have the right, upon reasonable advance notice, to inspect any Network Affiliate premises or facilities involved in the performance of this  Agreement to confirm the performance and satisfaction of Network AffiliateÕs obligations hereunder.",Audit Rights,Yes
"EXCEPT IN CONNECTION WITH A BREACH OF ARTICLE XIII OF THIS AGREEMENT AND WITH THE EXCEPTION OF  THE INDEMNIFICATION OBLIGATIONS OF THE PARTIES UNDER ARTICLE X, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE  OTHER PARTY OR ANY OTHER PERSON OR ENTITY FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL, PUNITIVE,  EXEMPLARY, OR EXTRA-CONTRACTUAL DAMAGES OF ANY KIND WHATSOEVER ARISING FROM OR CONNECTED WITH THIS  AGREEMENT, INCLUDING, BUT NOT LIMITED TO, LOST PROFITS, LOST REVENUES, OR LOSS OF BUSINESS, REGARDLESS OF LEGAL  THEORY, WHETHER OR NOT FORESEEABLE, EVEN IF EITHER PARTY HERETO HAS BEEN ADVISED OF THE POSSIBILITY OR  PROBABILITY OF SUCH DAMAGES AND EVEN IF THE REMEDIES OTHERWISE PROVIDED BY THIS AGREEMENT FAIL OF THEIR  ESSENTIAL PURPOSE.",Uncapped Liability,Yes,Cap on Liability,Yes
"EXCEPT IN CONNECTION WITH A BREACH OF ARTICLE XIV HEREUNDER, AND WITH THE EXCEPTION OF THE  INDEMNIFICATION OBLIGATIONS OF THE PARTIES UNDER ARTICLE X, THE AGGREGATE TOTAL LIABILITY OF EITHER PARTY TO  THE OTHER PARTY AND TO ALL OTHER PERSONS AND ENTITIES UNDER THIS AGREEMENT SHALL UNDER NO CIRCUMSTANCES  EXCEED THE AMOUNT OF THE NET REVENUE RECEIVED BY NCM PURSUANT TO SECTION 7.2 OF THIS AGREEMENT DURING THE FIVE  (5) YEAR PERIOD PRECEDING SUCH LIABILITY, LESS IN ANY CASE THE AGGREGATE OF ANY AMOUNTS PAID BY NCM HEREUNDER  ON ACCOUNT OF PREVIOUS EVENTS OF LIABILITY.",Uncapped Liability,Yes,Cap on Liability,Yes
"The obligations under this Section 10.3 state the  entire liability of NCM and are Network AffiliateÕs sole and exclusive remedies, with respect to intellectual property infringement.",Cap on Liability,Yes
"In the event NCM chooses to terminate this Agreement  under Article X hereof, NCM shall refund to Network Affiliate the portion (if any) of the total amount of license fees actually paid to NCM by  Network Affiliate hereunder during the two-year period immediately preceding the date of the claim for indemnification, depreciated according to a  five-year straight line depreciation.",Liquidated Damages,Yes
Network Affiliate shall maintain with financially sound and reputable insurance companies insurance on the  Theatres and the Equipment in such amounts and against such perils as Network Affiliate deems adequate for its business.,Insurance,Yes
"NCM shall maintain  with financially sound and reputable insurance companies insurance for its business and Equipment in such amounts and against such perils as  NCM deems adequate for its business, including the installation services set forth in Section 2.2 herein.",Insurance,Yes
"Each Party will name the other Party  (including its agents, officers, directors, employees and affiliates) as an additional insured on such policies of insurance.",Insurance,Yes
"Neither party will at any time, except to the extent necessary to assert or defend its rights under this Agreement: (i) challenge  or otherwise do anything inconsistent with the other partyÕs right, title or interest in its property, (ii) do or cause to be done or omit to do anything,  the doing, causing or omitting of which would contest or in any way impair or tend to impair the rights of the other party in its property, or (iii)  assist or cause any person or entity to do any of the foregoing.",Covenant Not To Sue,Yes
