Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
Network Build and Maintenance Agreement ,Document Name,Network Build and Maintenance Agreement 
"Vendor agrees to pay the third party administrator an annual fee for the performance of these administrative functions, which annual fee shall not exceed three hundred dollars ($300.00), and a one-time set-up fee of thirty dollars ($30.00).",Price Restrictions,Yes
"AT&T shall be the exclusive owner of all right, title, and interest in and to all Paid- For Development (defined below), including, without limitation, all Intellectual Property Rights therein and thereto.",IP Ownership Assignment,Yes
Vendor shall assign or have assigned to AT&T and hereby assigns to AT&T all Intellectual Property Rights in and to the Paid-For Development.,IP Ownership Assignment,Yes
"To the extent needed to perfect AT&TÕs ownership in AT&T Data, Vendor hereby assigns all right, title and interest in AT&T Data to AT&T.",IP Ownership Assignment,Yes
"To the extent needed to perfect AT&TÕs ownership in AT&T Derived Data, Vendor hereby assigns all right, title and interest in AT&T Derived Data to AT&T.",IP Ownership Assignment,Yes
"Vendor hereby grants and promises to grant and have granted to AT&T and its Affiliates a royalty-free, nonexclusive, sublicensable, assignable, transferable, irrevocable, perpetual, world- wide license in and to any applicable Intellectual Property Rights of Vendor to use, copy, modify, distribute, display, perform, import, make, sell, offer to sell, and exploit (and have others do any of the foregoing on or for AT&TÕs or any of its customersÕ behalf or benefit) any Intellectual Property Rights of Vendor or any third party that are not included in Material or Paid-For Development but necessary to operate the Cell Sites or receive the full benefit of the Work.",License Grant,Yes,Irrevocable or Perpetual License,Yes
"The sole exception to the foregoing reservation of rights is that AT&T hereby grants Vendor a limited, nonexclusive, non-transferable license (that shall automatically terminate upon the termination or expiration of this Agreement), under any rights owned by AT&T, to use the AT&T Provided Items and Paid- For Development solely as instructed by AT&T and to the extent necessary for Vendor to perform its obligations under this Agreement, subject further to the terms and conditions of this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"AT&T grants to Vendor a license to access, use, and copy the AT&T Derived Data, with no right to grant sublicenses, solely for the performance of VendorÕs obligations during the Term of this Agreement and solely in compliance with AT&TÕs privacy policies, including obligations relating to Customer Information.",License Grant,Yes
"T&T grants to Vendor a license to access, use, and copy the AT&T Derived Data, with no right to grant sublicenses, solely for the performance of VendorÕs obligations during the Term of this Agreement and solely in compliance with AT&TÕs privacy policies, including obligations relating to Customer Information.",Non-Transferable License,Yes
"Vendor will maintain and retain the records set forth in Subsection (a) during the term of the Agreement and for three (3) years thereafter (unless a discovery or legal hold request is made with respect to such records, in which case Vendor shall retain such records until AT&T notifies Vendor that such discovery or legal hold request has expired)",Post-termination Services,Yes
"Upon expiration or termination of this Agreement, but prior to the effectiveness of full termination of the Agreement, AT&T may exercise any rights and remedies available to AT&T under this Agreement, at law or in equity, including AT&TÕs right to exercise any one or more of the Termination Remedies set forth in the Build Addendum, and Vendor shall, upon the request and at the expense (other than termination in accordance with Subsection (c) hereof) of AT&T: (ii) provide reasonable assistance as may be necessary for the orderly, non-disrupted continuation of the Services, (iii) transfer all of the contracts related to the Cell Sites to AT&T as contemplated in the Build Addendum and (iv) reimburse AT&T for any AT&T Provided Equipment or other assets that are not installed at a Cell Site and cannot be returned in good working order (based on the acquisition costs plus taxes and shipping costs).",Post-termination Services,Yes
"Upon expiration or termination of this Agreement, but prior to the effectiveness of full termination of the Agreement, AT&T may exercise any rights and remedies available to AT&T under this Agreement, at law or in equity, including AT&TÕs right to exercise any one or more of the Termination Remedies set forth in the Build Addendum, and Vendor shall, upon the request and at the expense (other than termination in accordance with Subsection (c) hereof) of AT&T: (i) return all papers, materials, equipment, assets and property of AT&T held by Vendor, including title and ownership to all Material, (ii) provide reasonable assistance as may be necessary for the orderly, non-disrupted continuation of the Services, (iii) transfer all of the contracts related to the Cell Sites to AT&T Proprietary and Confidential This Agreement and information contained therein is not for use or disclosure outside of AT&T, its Affiliates, and third party representatives, and Vendor except under written agreement by the contracting parties. 41 Source: ATN INTERNATIONAL, INC., 10-Q, 11/8/2019as contemplated in the Build Addendum and (iv) reimburse AT&T for any AT&T Provided Equipment or other assets that are not installed at a Cell Site and cannot be returned in good working order (based on the acquisition costs plus taxes and shipping costs)",Post-termination Services,Yes
"AT&T and its auditors (including internal audit staff and external auditors) and governmental authorities shall have the right to review such records (""AT&T Audits"") held and created by Vendor, to verify the following: (i) the accuracy of VendorÕs invoices and AT&TÕs payment obligations hereunder_ (ii) that the Work charged for was actually performed_ (iii) that the Services have been and are being provided in accordance with this Agreement_ (iv) the integrity of VendorÕs systems that process, store, support, maintain, and transmit AT&T data_ (v) VendorÕs records relating to the performance of VendorÕs Subcontractors with respect to any portion of the Services_ and (vi) that Vendor and its Subcontractors are complying with Section 3.6 hereof.",Audit Rights,Yes
"When the FirstNet Authority or other governmental authority requests to review VendorÕs records, AT&T and its auditors will review these records first if the FirstNet Authority or other governmental authority permits such review, and provide the records to the requesting governmental authority_ provided, however, the FirstNet Authority and other governmental authorities retain the right to perform audits independent of AT&T.",Audit Rights,Yes
"Subject to Subsection (g) below, Vendor shall provide and shall require that its Subcontractors provide to AT&T, its auditors (including internal audit staff and external auditors), and governmental authorities access at all reasonable times to: (i) any facility at which the Services or any portion thereof are being performed; (ii) systems and assets used to provide the Services or any portion thereof; (iii) Vendor employees and Subcontractor employees providing the Services or any portion thereof; and (iv) all Vendor and Subcontractor records, including financial records relating to the invoices and payment obligations and supporting documentation, pertaining to the Services.",Audit Rights,Yes
"The scope of AT&T Audits shall also include: (i) practices and procedures used in performing the Services_ (ii) systems, communications and information technology used in performing the Services_ (iii) general controls and security practices and procedures_ (iv) supporting information and calculations regarding invoices and compliance with service requirements_ (v) quality initiatives and quality assurance_ and (vi) compliance with the terms of this Agreement.",Audit Rights,Yes
"AT&TÕs access to the records and other supporting documentation shall include the right to inspect and photocopy VendorÕs documentation and the documentation of its Subcontractors as provided to Vendor, and the right to retain copies thereof outside of their physical location with appropriate safeguards, if such retention is deemed reasonably necessary by AT&T and only to the extent that all such records are maintained by AT&T in accordance with Section 3.16 hereof.",Audit Rights,Yes
"AT&T Audits may be conducted once a year (or more frequently if requested by governmental authorities who regulate AT&TÕs business, if required by applicable Law or if auditors require follow-up access to complete audit inquiries or if an audit uncovers any problems or deficiencies), upon at least ten (10) business days advance notice (unless otherwise mandated by Law) and during business hours. Vendor will cooperate, and will ensure that its Subcontractors cooperate, in the AT&T Audits, and will make the information reasonably required to conduct the AT&T Audits available on a timely basis.",Audit Rights,Yes
"Vendor will provide AT&T, at AT&TÕs request and cost, with paper and electronic copies of documents and information reasonably necessary to verify VendorÕs compliance with this Agreement.",Audit Rights,Yes
"With respect to AT&T requests for audits or inspections of VendorÕs Subcontractors, the following applies: (i) If VendorÕs agreement with its applicable Subcontractor permits an AT&T Audit, AT&T shall be permitted to conduct such audit directly or through a third party representative. Vendor shall work with AT&T in facilitating the SubcontractorÕs cooperation for an expeditious and thorough audit or inspection. (ii) If VendorÕs contract with its applicable Subcontractor precludes AT&T from directly conducting an audit or inspection, Vendor shall use reasonable best efforts to enable AT&T to perform an audit of the Subcontractor with Vendor coordinating the audit process. Failing those efforts, Vendor shall, upon AT&TÕs request and at AT&TÕs expense, conduct the audit or inspection on behalf of AT&T, subject to terms agreed to by Vendor and AT&T for the Subcontractor audit, such as areas to be audited, applicable fees, and the timeframe for reporting audit results to AT&T. If AT&TÕs request for a Vendor audit or inspection arises from, in AT&TÕs good faith opinion, materially or consistently deficient Service provided by the Subcontractor under AT&TÕs account, and the audit in both PartiesÕ opinions confirms such deficiencies, Vendor shall not charge AT&T a fee for the VendorÕs audit of its Subcontractor. (iii) If VendorÕs contract with its applicable Subcontractor does not allow Vendor access to the facilities and systems of Subcontractor required to conduct the audit described in Subsection (b) above, then Vendor shall provide a list of such Subcontractors and the services being provided by such Subcontractor to AT&T for its review. To the extent AT&T deems it reasonably necessary to require such access, then Vendor will renegotiate its contract with the applicable Subcontractor in order to obtain the audit rights described in Subsection (b) above.",Audit Rights,Yes
"Failing those efforts, Vendor shall, upon AT&TÕs request and at AT&TÕs expense, conduct the audit or inspection on behalf of AT&T, subject to terms agreed to by Vendor and AT&T for the Subcontractor audit, such as areas to be audited, applicable fees, and the timeframe for reporting audit results to AT&T",Audit Rights,Yes
AT&T may inspect and inventory the material furnished by AT&T under this Agreement during VendorÕs normal business hours.,Audit Rights,Yes
"Prior to Location Acceptance, Vendor shall provide AT&T escorted access to the premises wherein all such material is located and, following Location Acceptance, AT&T shall have access to the premises wherein all such material is located pursuant to the terms of the Master License Agreement and the applicable Site License thereunder or any third party Tower Lease, as applicable.",Audit Rights,Yes
"Vendor shall provide to AT&T (or its third party delegate), upon request and at no charge, its parent company, ATN International, Inc.Õs bona fide and unedited: (a) financial statements for each quarter of each fiscal year during the term of the Build Addendum and (b) audited fiscal year financial statements for each fiscal year during the Term hereof.",Audit Rights,Yes
"NOTWITHSTANDING ANY OTHER PROVISION IN THIS AGREEMENT TO THE CONTRARY (AND WHETHER OR NOT SUCH A PROVISION CONTAINS LANGUAGE TO THE EFFECT THAT THE PROVISION TAKES PRECEDENCE OVER OTHER PROVISIONS CONTRARY TO IT), WHETHER EXPRESS OR IMPLIED, NONE OF THE LIMITATIONS OF LIABILITY (INCLUDING ANY LIMITATIONS REGARDING TYPES OF OR AMOUNTS OF DAMAGES OR LIABILITIES) CONTAINED ANYWHERE IN THIS AGREEMENT WILL APPLY TO VENDORÕS OBLIGATIONS UNDER THIS SECTION.",Uncapped Liability,Yes
"Insofar as VendorÕs obligations under Subsection (b)(i) result from, arise out of, or relate to a Covered Claim that is a Combination Claim, Vendor shall be liable to pay only its Proportionate Share of the Covered Loss associated with such Combination Claim.",Cap on Liability,Yes
"Notwithstanding anything contained in this Agreement to the contrary, neither Party shall be liable to the other Party for any special, consequential, incidental or punitive damages, however caused, based on any theory of liability except to the extent such damages are payable by such Party (a) pursuant to its indemnification obligations under Section 3.15 and infringement indemnification obligations under Section 3.17, (b) arising out of or resulting from such PartyÕs breach of its confidentiality obligations set forth in this Agreement (including Section 3.16, Section 3.48, Section 4.2 and Exhibit A attached hereto) or (c) in connection with a Third Party Loss arising out of or resulting from such PartyÕs violation of applicable Law.",Cap on Liability,Yes
"To the extent that Vendor (x) has timely notified AT&T of related Delay Information contemplated in Subsection (a) above, (y) has complied with this Section 3.3(b) and (z) is nevertheless unable to obtain or delayed in obtaining a required Permit which is reasonably likely to result in Vendor missing a Delivery Date or Completion Date (a ""Permitting Delay""), then the Parties shall cooperate in good faith to extend such Delivery Date or Completion Date and such Permitting Delay shall constitute an Excusable Delay_ provided, however that if the Parties cannot agree on a new Delivery Date or Completion Date or in the event of a Permitting Delay preventing or delaying VendorÕs performance which AT&T determines is reasonably likely to cause a material delay of the ultimate Delivery Date or Completion Date applicable to a Cell Site, AT&T may elect to, after consultation with Vendor and good faith discussion to negotiate another resolution: (i) terminate its obligations solely with respect to each Cell Site affected by or related to such Permitting Delay under this Agreement and exercise any of the Termination Remedies set forth in the Build Addendum, without liability to Vendor_ provided that AT&T shall pay to Vendor, an amount equal to the demonstrated costs incurred by Vendor for any Work completed (in accordance with applicable Specifications and requirements) to the extent such Work is transferred to AT&T as of the effective time of termination of the applicable terminated Cell Site, which amount shall not exceed $[***]_ or (ii) suspend this Agreement or any part hereof for the duration of such Permitting Delay (as such period is reasonably determined by AT&T) solely with respect to any Cell Site affected by or related to such Permitting Delay, obtain Work elsewhere (including AT&TÕs performance of the Work itself), at AT&TÕs cost and expense (which shall reduce the Structured Payments applicable to such Cell Site by such amount, but in no event shall such reduction cause the Structured Payments to be less than an amount equal to the demonstrated costs incurred by Vendor up to the date of suspension), and provide notice to Vendor when AT&T desires for Vendor to resume its performance under this Agreement for the remaining Work at such Cell Site.",Liquidated Damages,Yes
"The warranty period for all Material (excluding AT&T Provided Equipment) shall commence upon Delivery of such Material to Vendor from the OEM and shall continue for a period equal to the longer of (i) [***] or (ii) the applicable warranty period actually received by Vendor from the OEM for such Material Vendor acquired directly from the OEM, including the Vendor Provided Equipment as defined in the Build Addendum (the ""Material Warranty Period"").",Warranty Duration,Yes
"The warranty period for workmanship and all Services provided Proprietary and Confidential This Agreement and information contained therein is not for use or disclosure outside of AT&T, its Affiliates, and third party representatives, and Vendor except under written agreement by the contracting parties. 44 Source: ATN INTERNATIONAL, INC., 10-Q, 11/8/2019hereunder, including the Build Services contemplated in the Build Addendum, shall commence upon Location Acceptance of the applicable Cell Site and continue for a period equal to [***] from Location Acceptance of the applicable Cell Site (the ""Workmanship Warranty Period"").",Warranty Duration,Yes
"The warranty period for workmanship and all Services provided hereunder, including the Build Services contemplated in the Build Addendum, shall commence upon Location Acceptance of the applicable Cell Site and continue for a period equal to [***] from Location Acceptance of the applicable Cell Site (the ""Workmanship Warranty Period"").",Warranty Duration,Yes
"(a) With respect to VendorÕs performance under this Agreement, and in addition to VendorÕs obligation to indemnify, Vendor shall at its sole cost and expense: (i) maintain the insurance coverages and limits required by this Section and any additional insurance and/or bonds required by Laws: 1. at all times during the term of this Agreement and until completion of all Work associated with this Agreement, whichever is later_ and 2. with respect to any coverage maintained in a ""claims-made"" policy, for two (2) years following the term of this Agreement or completion of all Work associated with this Agreement, whichever is later. If a ""claims-made"" policy is maintained, the retroactive date must precede the commencement of Work under this Agreement_ (ii) require each Subcontractor who may perform Work under this Agreement or enter upon any Cell Site to maintain coverages, requirements, and limits at least as broad as those listed in this Section, when prorated for the value of the Work to be performed by such Subcontractor from the time when the Subcontractor begins Work, throughout the term of the SubcontractorÕs Work and, with respect to any coverage maintained on a ""claims made"" policy, if any, for two (2) years thereafter_ (iii) procure the required insurance from an insurance company eligible to do business in the state or states where Work will be performed and having and maintaining a Financial Strength Rating of ""A-"" or better and a Financial Size Category of ""VII"" or better, as rated in the A.M. Best Key Rating Guide for Property and Casualty Insurance Companies, except that, in the case of WorkersÕ Compensation insurance, Vendor may procure insurance from the state fund of the state where Work is to be performed_ and Proprietary and Confidential This Agreement and information contained therein is not for use or disclosure outside of AT&T, its Affiliates, and third party representatives, and Vendor except under written agreement by the contracting parties. 25 Source: ATN INTERNATIONAL, INC., 10-Q, 11/8/2019(iv) if requested, provide to AT&T or AT&TÕs third party administrator certificates of insurance stating the types of insurance and policy limits. Vendor shall provide or have the issuing insurance company provide at least thirty (30) daysÕ advance written notice of cancellation, non-renewal, or reduction in insurance coverage, terms, or limits.",Insurance,Yes
"WorkersÕ Compensation insurance with benefits afforded under the laws of any state in which the Work is to be performed and Employers Liability insurance with limits of at least: $500,000 for Bodily Injury Ð each accident $500,000 for Bodily Injury by disease Ð policy limits $500,000 for Bodily Injury by disease Ð each employee",Insurance,Yes
"To the fullest extent allowable by Law, the policy must include a waiver of subrogation in favor of AT&T, its Affiliates, and their directors, officers and employees. I",Insurance,Yes
"In states where WorkersÕ Compensation insurance is a monopolistic state-run system, Vendor shall add Stop Gap Employers Liability with limits not less than $500,000 each accident or disease.",Insurance,Yes
"Commercial General Liability insurance written on Insurance Services Office (ISO) Form CG 00 01 12 04 or a substitute form providing equivalent coverage, covering liability arising from premises, operations, personal injury, products/completed operations, and liability assumed under an insured contract (including the tort liability of another assumed in a business contract) with limits of at least: $2,000,000 General Aggregate limit $1,000,000 each occurrence limit for all bodily injury or property damage incurred in any one (1) occurrence $1,000,000 each occurrence limit for Personal Injury and Advertising Injury Proprietary and Confidential This Agreement and information contained therein is not for use or disclosure outside of AT&T, its Affiliates, and third party representatives, and Vendor except under written agreement by the contracting parties. 26 Source: ATN INTERNATIONAL, INC., 10-Q, 11/8/2019$1,000,000 each occurrence limit for Products/Completed Operations",Insurance,Yes
"If applicable, Vendor will maintain Products/Completed Operations for at least two (2) years following completion of the Work.",Insurance,Yes
"The Commercial General Liability insurance policy must: 1. include AT&T, its Affiliates, and their directors, officers, and employees as additional insureds. Vendor shall provide a copy of the additional insured endorsement to AT&T. The additional insured endorsement may either be specific to AT&T or may be ""blanket"" or ""automatic"" addressing any Person as required by contract. A copy of the additional insured endorsement must be provided within sixty (60) days of execution of this Agreement and within sixty (60) days of each Commercial General Liability policy renewal_ 2. include a waiver of subrogation in favor of AT&T, its Affiliates, and their directors, officers and employees_ and 3. be primary and non-contributory with respect to any insurance or self-insurance that is maintained by AT&T.",Insurance,Yes
"Property Insurance with limits sufficient to cover the full replacement cost of all of the Cell Sites against direct and indirect loss or damage by fire and all other casualties and risks covered under ""all risk"" insurance respecting the tower and other improvements located at the Cell Site(s).",Insurance,Yes
"Business Automobile Liability insurance if vehicles will be used in the performance of the Agreement with limits of at least $1,000,000 each accident for bodily injury and property damage, extending to all owned, hired, and non-owned vehicles. AT&T, its Affiliates and their directors, officers and employees shall be included as additional insureds on a primary and non-contributory basis.",Insurance,Yes
"Umbrella/Excess Liability insurance with limits of at least $10,000,000 each occurrence, claim or wrongful act with terms and conditions at least as broad as the underlying Commercial General Liability, Business Automobile Liability, and Employers Liability policies. Umbrella/Excess Liability limits will be primary and non-contributory with respect to any insurance or self-insurance that is maintained by AT&T.",Insurance,Yes
"Professional Liability (Errors & Omissions) insurance with limits of at least $5,000,000 each claim or wrongful act.",Insurance,Yes
"Explosion, Collapse, and Underground Damage Liability will have the same limit requirement as the Commercial General Liability policy.",Insurance,Yes
"To the extent that Vendor utilizes drones, Aircraft Liability insurance covering drones and similar devices, with limits of One Million and No/100 Dollars ($1,000,000.00) combined single limit for bodily injury and property damage and providing coverage on a worldwide basis and including commercial use and hired operations.",Insurance,Yes
"At all times and at VendorÕs expense, Vendor shall maintain property insurance for all perils, for full replacement cost for all property of AT&T in the care, custody and control of the Vendor.",Insurance,Yes
All AT&T Affiliates receiving Material or Services under this Agreement and the federal government of the United States shall be express third party beneficiaries under this Agreement.,Third Party Beneficiary,Yes
