Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
MEDIA LICENSE AGREEMENT,Document Name,MEDIA LICENSE AGREEMENT
"The Village Media Company shall not, directly or indirectly, assign, sublicense or otherwise transfer any of its rights or obligations hereunder without the prior written consent of PFHOF.",Anti-assignment,Yes
"To the extent that the Village Media Company and PFHOF work collaboratively on media projects, the EPÕs services on such projects for the benefit of PFHOF shall be charged to PFHOF at cost without markup.",Price Restrictions,Yes
"The Parties acknowledge and agree that two hundred twenty five thousand dollars ($225,000) (the ""Youth Sports License Fee"") shall be credited against the Annual Guarantee on the Closing Date and each anniversary of the Closing Date during the Term for the license granted by PFHOF to Youth Sports Management, LLC (""Youth Sports"") pursuant to that certain branding license agreement to be entered into on the Effective Date between PFHOF and Youth Sports for so long as such agreement remains in effect_ provided that after the first five (5) years of the Term, the Youth Sports License Fee shall increase by three percent (3%) on a year-over year basis and thereafter, the aggregate amount of the Youth Sports License Fee, after giving effect to such increase each year, shall be the amount credited against the Annual Guarantee.",Price Restrictions,Yes
"Subject to Section 2.6, the Village Media Company shall, or shall cause HOFV to, pay to PFHOF a minimum guarantee of one million two hundred and fifty thousand dollars ($1,250,000) (the ""Annual Guarantee"") each year during the Term_ provided that the Parties acknowledge and agree that after the first five (5) years of the Term, the Annual Guarantee shall increase by three percent (3%) on a year-over-year basis (e.g., the Annual Guarantee shall increase to $1,287,500 for year six (6) and to $1,326,125 for year seven (7)).",Minimum Commitment,Yes
"Any HOFV Works created pursuant to this Agreement shall exclusively be owned by the Village Media Company; provided, however, that, (i) PFHOF shall own all right, title, interest, and copyright in and to the underlying PFHOF Work(s) as further set forth in Section 2.5 and (ii) the Village Media CompanyÕs ownership is subject in all events to any Rights Restrictions and the terms of the license (including the term of such license) granted by PFHOF in connection with such HOFV Work pursuant to Section 2.3.",IP Ownership Assignment,Yes
"The Village Media Company agrees, on behalf of itself and its Affiliates and their permitted sublicensees, that all uses by the Village Media Company or any of its Affiliates or their respective permitted sublicensees of the PFHOF Work shall inure to the benefit of PFHOF, and any right that may accrue to the Village Media Company, any of its Affiliates or any of their respective permitted sublicensees related thereto and any goodwill associated therewith are hereby granted and assigned to PFHOF or its designee",IP Ownership Assignment,Yes
"Subject to the terms of this Agreement (including, without limitation, Sections 2.3, 2.4, 2.6 and 5 below), PFHOF hereby grants to the Village Media Company a worldwide, non-exclusive, limited, non-sublicenseable and non-assignable (except to the extent set forth in this Agreement) right and license to (a) Exploit the PFHOF Works and (b) edit, supplement or otherwise adapt, incorporate or otherwise utilize, the PFHOF Works to create, produce and Exploit new, original work(s) (each such work in this clause (b), a ""HOFV Work"").",License Grant,Yes,Non-Transferable License,Yes
"In addition to any rights set forth herein, PFHOF shall have the right and license to Exploit HOFV Works, at no fee or charge to PFHOF or any of its Affiliates, for educational, not-for-profit purposes aligned with the mission of PFHOF which usage shall not diminish the value of the Village Media CompanyÕs or its AffiliatesÕ Exploitation of such HOFV Work in accordance with the terms of this Agreement.",License Grant,Yes
"For the avoidance of doubt, nothing in this Agreement shall grant Village Media Company or its Affiliates the right or license to (i) any live (or near live) rights to Exploit any events or other content owned or controlled by PFHOF (e.g., Enshrinement Ceremonies), or (ii) any programming or content in connection with or related to any Enshrinement Ceremony or the Enshrinement selection process (e.g., selection meetings, voting, debates or discussions prior to or during any selection meeting, presenter speeches, discussions or events immediately after Enshrinement Ceremonies, etc.).",License Grant,Yes
"The Village Media Company shall have the right to sublicense (a) the production and creation of the HOFV Works and (b) Exploitation of the PFHOF Works hereunder to any of its Affiliates_ provided, that, Village Media Company shall (x) cause such sublicenses to comply with all terms and conditions of this Agreement and (y) not be relieved of any of its obligations under this Agreement as a result of any such sublicense, and will be primarily responsible for any acts or omissions of such sublicensees.",Affiliate License-Licensee,Yes
"For the avoidance of doubt, after the termination or expiration of this Agreement, the Village Media Company and its permitted licensees shall continue to have the right to fully exploit, use, and Exploit the HOFV Works for the length of the term of the license granted by PFHOF in connection with such HOFV Work pursuant to Section 2.3; provided that the length of the term of such license shall be a minimum of five (5) years.",Post-termination Services,Yes
The Village Media Company shall be permitted to retain copies of PFHOFÕs Confidential Information as necessary to allow the Village Media Company to exercise its post-termination rights with respect to such information.,Post-termination Services,Yes
"The Village Media Company shall not, and shall cause its Affiliates and their respective permitted sublicensees not to, whether during the Term or thereafter, challenge (a) the rights of PFHOF in and to any PFHOF Work, (b) the validity of any PFHOF Work, (c) PFHOFÕs right to grant rights or licenses relating to the PFHOF Works or (d) the validity, legality, or enforceability of this Agreement.",Covenant Not To Sue,Yes
