Clause,Label 1,Label 1-Answer
Franchisor reserves the right to approve or disapprove any Transfer as its sole and absolute right.,Change of Control,Yes
"Therefore, the rights, privileges and interests of Developer under this Agreement shall not be assigned, sold, transferred, leased, divided or encumbered, voluntarily or involuntarily, in whole or in part, by operation of law or otherwise without the prior written consent of El Pollo Loco, which consent may be given or withheld as El Pollo LocoÕs sole and absolute right.",Anti-assignment,Yes
"The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the immediate termination of this Agreement. a. Failure by Developer to meet the requirements of the Development Schedule within the time periods specified therein, including failure by Developer to meet the Site Commitment Date or Opening Date for each site for an El Pollo Loco¨ Restaurant in a timely manner as set forth in Exhibit ""B"" and Section 2 above. b. Any assignment, transfer or sublicense of this Agreement by Developer without the prior written consent of El Pollo Loco.",Anti-assignment,Yes
"The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the immediate termination of this Agreement. b. Any assignment, transfer or sublicense of this Agreement by Developer without the prior written consent of El Pollo Loco.",Anti-assignment,Yes
"Franchisor hereby grants to Developer, subject to the terms and conditions of this Agreement (if Section 2.20 is applicable add "", and specifically Section 2.20 hereof,"") and as long as Developer shall not be in default of this Agreement or any other development, franchise or other agreement between Developer and Franchisor, (non-exclusive/exclusive) development rights to establish and operate ____ franchised restaurant(s), and to use the El Pollo Loco¨ System solely in connection therewith, at specific locations to be designated in separate Franchise Agreement(s) (the ""Franchise Agreements"").",License Grant,Yes
"Throughout the term of this Agreement, Developer shall obtain and maintain insurance coverage for public liability, including products liability, in the amount of at least One Million Dollars ($1,000,000) combined single limit.",Insurance,Yes
Developer also shall carry such worker's compensation insurance as may be required by applicable law.,Insurance,Yes
Franchisor shall be named as an additional insured on all such insurance policies and shall be provided with certificates of insurance evidencing such coverage.,Insurance,Yes
"All public liability and property damage policies shall contain a provision that El Pollo Loco, although named as an insured, shall nevertheless be entitled to recover under such policies on any loss incurred by El Pollo Loco, its affiliates, agents and/or employees, by reason of the negligence of Developer, its principals, contractors, agents and/or employees.",Insurance,Yes
All policies shall provide Franchisor with at least thirty (30) daysÕ notice of cancellation or termination of coverage.,Insurance,Yes
"In the event that Developer fails or refuses to obtain or maintain the required insurance coverage from an insurance carrier acceptable to El Pollo Loco, Franchisor may, as its sole and absolute right and without any obligations to do so, procure such coverage for Developer.",Insurance,Yes
"Developer expressly acknowledges El Pollo Loco's exclusive right, title, and interest in an to the trade name, service mark and trademark ""El Pollo Loco"", and such other trade names, service marks, and trademarks which are designated as part of the El Pollo Loco¨ System (the ""Marks""), and Developer agrees not to represent in any manner that Developer has any ownership in El Pollo Loco¨ Marks.",Covenant Not To Sue,Yes
