Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
"LeadersOnline shall pay VerticalNet *** percent (***%) of LeadersOnline- VerticalNet Revenue, payable to VerticalNet  on or before the fifteenth day of  the calendar month immediately following the month in which such revenue was received by LeadersOnline.",Revenue/Profit Sharing,Yes
"LeadersOnline shall pay VerticalNet a one time fee for each Candidate who is offered and accepts employment as a result of a contact made by LeadersOnline (each a ""Placement"").",Revenue/Profit Sharing,Yes
"During the Term of this Agreement, LeadersOnline agrees to purchase from VerticalNet Banners and Newsletter Ads for a total price of at least *** ($***).",Minimum Commitment,Yes
"LeadersOnline agrees to purchase at least *** ($***) of such Banners and Newsletter Ads in each calendar quarter after the Source: LEADERSONLINE INC, S-1/A, 4/27/2000Effective Date (prorated for any partial quarters) until a total of $*** have been purchased, provided, the total dollar amount purchased by LeadersOnline in any calendar quarter shall not consist of greater than ***% (in dollars) of either Banners or Newsletter Ads until a total of $*** has been purchased.",Minimum Commitment,Yes
"VerticalNet agrees to guarantee that, during the initial Term of this Agreement, LeadersOnline shall earn LeadersOnline- VerticalNet Revenue of at least *** Dollars ($***) (the ""Guaranteed Amount""), subject to the provisions of this Section 6.5  [Guaranteed Revenues].",Minimum Commitment,Yes
"LeadersOnline agrees to purchase at least *** ($***) of such Banners and Newsletter Ads in each calendar quarter after the Effective Date (prorated for any partial quarters) until a total of $*** have been purchased, provided, the total dollar amount purchased by LeadersOnline in any calendar quarter shall not consist of greater than ***% (in dollars) of either Banners or Newsletter Ads until a total of $*** has been purchased.",Minimum Commitment,Yes
"In addition, as part of the purchase commitment set forth in Section 3.1  [Purchase Commitment], VerticalNet shall provide LeadersOnline up to $*** worth of Banner placements on the Home Page of other VerticalNet Sites of LeadersOnline's choice.",Volume Restriction,Yes
"Upon termination of the Agreement, VerticalNet and LeadersOnline shall jointly own all User Data.",Joint IP Ownership,Yes
"VerticalNet hereby grants LeadersOnline a non-exclusive, nontransferable, royalty-free right and license for the Term of this Agreement to utilize a VerticalNet Mark in a form approved by VerticalNet for the design and display of  the VerticalNet Branded Link.",License Grant,Yes,Non-Transferable License,Yes
"VerticalNet hereby grants to LeadersOnline a non- exclusive, non-transferable, royalty-free right and license to link to the VerticalNet Site.",License Grant,Yes,Non-Transferable License,Yes
"LeadersOnline hereby grants VerticalNet a non- exclusive, nontransferable, royalty-free right and license for the Term of this Agreement to use, copy or modify the LeadersOnline Mark, text describing LeadersOnline and the URL address of the LeadersOnline Site for the design and display of the LeadersOnline Employer Spotlights, provided, VerticalNet shall not alter the appearance of the LeadersOnline Mark without the consent of LeadersOnline.",License Grant,Yes,Non-Transferable License,Yes
"Subject to the limitations set forth in Section 5.2  [Restrictions] hereof, VerticalNet hereby grants to LeadersOnline a non-exclusive, nontransferable right and license to access the Resume Bank.",License Grant,Yes,Non-Transferable License,Yes
"During the 12 month period following the payment of any amount due under this Article 6, VerticalNet or its representative shall have the right to audit LeadersOnline's financial and other pertinent records relating to such payment in order to verify the amount of the payments owed and/or paid.",Audit Rights,Yes
VerticalNet shall give reasonable advance notice to LeadersOnline of such audit and each audit shall be conducted in a manner that does not cause unreasonable disruption to the conduct of business by LeadersOnline.,Audit Rights,Yes
"Except for claims under Sections 11.4  [Indemnification by LeadersOnline] and 11.5  [Indemnification by VerticalNet] hereof, neither Party may bring a claim or action regardless of form, arising out of or related to                                        9 this Agreement, including any claim of fraud or misrepresentation, more than two years after the cause of action accrues or becomes known, whichever is later.",Uncapped Liability,Yes,Cap on Liability,Yes
"Except for claims under Sections 11.4  [Indemnification by LeadersOnline] and 11.5  [Indemnification by VerticalNet] hereof, neither Party may bring a claim or action regardless of form, arising out of or related to this Agreement, including any claim of fraud or misrepresentation, more than two years after the cause of action accrues or becomes known, whichever is later.",Uncapped Liability,Yes,Cap on Liability,Yes
"EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF ARTICLE 9 OR SECTION 10.1.4  [Representations and Warranties] (v) AND THE INDEMNIFICATION OBLIGATIONS OF LEADERSONLINE UNDER SECTION 11.4(i)(c)  [Indemnification by LeadersOnline] AND THE INDEMNIFICATION OBLIGATIONS OF VERTICALNET UNDER SECTION 11.5(i)(c)  [Indemnification by VerticalNet], NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY                                        12 OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
"EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF ARTICLE 9 OR SECTION 10.1.4  [Representations and Warranties] (v) AND THE INDEMNIFICATION OBLIGATIONS OF LEADERSONLINE UNDER SECTION 11.4(i)(c)  [Indemnification by LeadersOnline] AND THE INDEMNIFICATION OBLIGATIONS OF VERTICALNET UNDER SECTION 11.5(i)(c)  [Indemnification by VerticalNet], NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
"In addition, LeadersOnline shall not now or in the future contest the validity of VerticalNet's ownership of its Intellectual Property_ provided, however, that LeadersOnline may contest the validity of VerticalNet's Intellectual Property in any proceeding brought against LeadersOnline alleging infringement or misappropriation of VerticalNet's Intellectual Property.",Covenant Not To Sue,Yes
"In addition, VerticalNet shall not now or in the future contest the validity of LeadersOnline's ownership of its Intellectual Property_ provided, however, that VerticalNet may contest the validity of LeadersOnline's Intellectual Property in any proceeding brought against VerticalNet alleging infringement or misappropriation of LeadersOnline's Intellectual Property.",Covenant Not To Sue,Yes
