Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT,Document Name,EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT
ETON shall pay to Aucta a royalty payment of [ * * * ] of Net Sales of the Products.,Revenue/Profit Sharing,Yes
"Aucta should continue to receive 15% of Net Sales Royalty for as long as ETON is selling the Product(s) in the Territory, unless otherwise agreed to under this Agreement.",Revenue/Profit Sharing,Yes
"If the amount of royalty payment under Section 6.3.1 is less than the amount of royalty payment under Section 6.3.2, then ETON shall pay Aucta the difference between royalty payments in Sections 6.3.1 and 6.3.2 within sixty (60) days of the calendar year end, but in no event shall the difference paid be greater than the minimum amount in Section 6.3.2.",Minimum Commitment,Yes
"ETON, for itself and its Affiliates, hereby grants to Aucta in accordance with the terms and conditions of this Agreement, a right and license, to its trademark, including to its name and logo, that is owned or controlled by ETON or its Affiliates for Aucta (or its authorized Third Party) to make the packs, labels, and leaflets for the Products for sale in the Territory.",License Grant,Yes
"After termination is effective and Aucta assumes control of the Product, ETON will provide, to the extent practicable, transition services to Aucta to include assistance with Product distribution, processing of rebates, drug safety, etc. at AuctaÕs cost for such services, for a reasonable period of time as mutually determined by the Parties but not to exceed one hundred eighty (180) days following termination so that Aucta can get its own such services in place.",Post-termination Services,Yes
"If this Agreement is terminated by Aucta under Section 11.2 or 11.3, then (a) ETON shall have the right to, and Aucta shall hereby grant ETON a license to, Market or otherwise dispose of any existing inventory of any Products then in ETONÕs possession subject to paying all Royalties and other amounts due hereunder for such sales, (b) Aucta may keep all the payments under Section 6 paid by ETON up to the point of termination and for ETONÕs disposal of remaining inventory and Aucta is free to commercialize or relicense the Product with no further obligations owed to ETON, (c) ETON shall refrain from holding itself out as AuctaÕs distributor, in particular, eliminate any reference to the Product and Aucta from its business, trade style and promotional material, and (d) ETON shall transfer all rights, licenses within thirty (30) days of termination.",Post-termination Services,Yes
"Each Party shall permit an independent certified public accounting firm selected by the auditing Party and reasonably acceptable to the non-auditing Party, that has agreed to be bound by a confidentiality agreement reasonably acceptable to the Parties, to have access, during normal business hours and upon reasonable prior notice (not more often than once in any calendar year), to those books and records maintained by the non-auditing Party necessary for the auditing Party to verify the accuracy of the non-auditing PartyÕs calculations under this Section 6 and/or cost of Product(s) for any period ending not more than two (2) years prior to the date of such request, subject to any limitations in scope necessary to comply with Applicable Law, Third Party confidentiality restrictions, or maintain legal privilege, including but not limited to Third Party pricing information.",Audit Rights,Yes
"NOTWITHSTANDING ANYTHING TO THE CONTRARY HEREIN, NEITHER PARTY SHALL BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL OR EXEMPLARY DAMAGES, WHETHER FORESEEABLE OR NOT, THAT ARE IN ANY WAY RELATED TO THIS AGREEMENT.",Cap on Liability,Yes
"At all times from the first commercial sale of any Product(s) or after the Effective Date through the date which is five (5) years after the final sale of such Product(s), the Parties will maintain general liability insurance in amounts that are reasonable and customary in the pharmaceutical industry, provided in no event shall the general liability insurance amounts be less than five million dollars ($5,000,000) per occurrence and ten million dollars ($10,000,000) in the aggregate limit of liability per year.",Insurance,Yes
The Parties shall provide written proof of such insurance to each other upon request.,Insurance,Yes
