Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES,Document Name,NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES
"Notwithstanding the foregoing, in the event the form of consideration paid or payable includes securities for which there is not an active public market, in lieu of paying that portion of the fee with such securities COMPANY will make a cash payment to JHU equal to the fair market value of such securities.",Change of Control,Yes
"Company shall not sublicense to others under this Agreement, nor extend the rights granted hereunder to any affiliated company.",Anti-assignment,Yes
"This Agreement is binding upon and shall inure to the benefit of JHU, its successors and assignees and shall not be assignable to another party, except that the Company shall have the right to assign this Agreement to another party in the case of the sale or transfer by the Company of all, or substantially all, of its assets relating to the LICENSED PRODUCT(S), LICENSED SERVICE(S) or PATENT RIGHT(S), to that party.",Anti-assignment,Yes
"As consideration for JHUÕs grant of a License to Company under this Agreement, Company shall pay to JHU a license fee, cash and equity, as set forth in Exhibit A within thirty (30) days of the EFFECTIVE DATE.",Revenue/Profit Sharing,Yes
Company shall pay to JHU minimum annual royalties as set forth in Exhibit A.,Revenue/Profit Sharing,Yes,Minimum Commitment,Yes
"Company shall pay to JHU, a running royalty as set forth in Exhibit A, for each LICENSED PRODUCT(S) sold and each LICENSED SERVICE(S) provided, based upon NET SALES and NET SERVICE REVENUES respectively, for the term of this Agreement.",Revenue/Profit Sharing,Yes
"In addition, COMPANY shall issue to JHU that number of shares of common stock representing five percent (5%) of the outstanding common and preferred shares on a fully diluted basis of COMPANY pursuant to an agreed upon stock purchase agreement between COMPANY and JHU.",Revenue/Profit Sharing,Yes
"The stock purchase agreement shall contain provisions protecting JHU against dilution of its equity interest in the event the post-money valuation of any equity investment is less than two million dollars ($2,000,000), and it will also contain a provision for the piggy-back registration of common shares with any other class of stock in an initial public offering. If COMPANY proposes to sell any equity securities or securities that are convertible into equity securities of COMPANY (collectively, ""Equity Securities"") in any new round of financing, then COMPANY shall offer JHU and/or its Assignee (as defined below) an opportunity to purchase either: (i) up to that portion of the Equity Securities that equals JHUÕs then current, fully-diluted percentage ownership interest in COMPANY, or (ii) if the percentage offered for sale by COMPANY is less, then up to five percent (5%) of the Equity Securities offered for sale. Such offer to purchase shall be on the same terms and conditions as are offered with respect to such Equity Securities sold in such financing. For purposes of this section 7 of Exhibit A, the term ""Assignee"" means: (a) any entity to which JHUÕs preemptive rights have been assigned either by JHU or by another entity, or (b) any entity that is controlled by JHU.",Revenue/Profit Sharing,Yes
COMPANY shall pay an annual EARNED ROYALTY as follows: Four percent (4%) of the sum of NET REVENUES.,Revenue/Profit Sharing,Yes
"If COMPANY is required to pay running royalties on any patent rights not licensed hereunder (""Other Royalties"") in order to make, use or sell a particular LICENSED PRODUCT or LICENSED SERVICE, COMPANY shall be entitled to credit half (50%) of such Other Royalties against the Earned Royalty due, but the Earned Royalties shall not be reduced below fifty percent (50%) of those that would otherwise be due JHU for that LICENSED PRODUCT or LICENSED SERVICE.",Revenue/Profit Sharing,Yes
The minimum annual royalties pursuant to the Agreement are: 1st anniversary of the EFFECTIVE DATE and each subsequent anniversary of the EFFECTIVE DATE during the term: Three-thousand dollars ($3000),Minimum Commitment,Yes
"Subject to the terms and conditions of this Agreement and to non-exclusive license agreements executed prior to the EFFECTIVE DATE, JHU hereby grants to the Company a non-exclusive, non-transferable license to make, have made, import, offer for sale and sell the LICENSED PRODUCT(S) and the LICENSED SERVICE(S) in the United States and worldwide under the PATENT RIGHT(S) in the LICENSED FIELD.",License Grant,Yes,Non-Transferable License,Yes
"The Company shall make and retain, for a period of three (3) years following the period of each report required by Paragraph 4.4, true and accurate records, files and books of account containing all the data reasonably required for the full computation and verification of sales and other information required in Paragraph 4.4.",Audit Rights,Yes
"The Company shall permit the inspection and copying of such records, files and books of account by JHU or its agents during regular business hours upon ten (10) business daysÕ written notice to the Company.",Audit Rights,Yes
JHU shall have the right to audit any and all Company records related to this Agreement.,Audit Rights,Yes
"NOTWITHSTANDING ANY OTHER PROVISION OF THIS AGREEMENT, JHU ADDITIONALLY DISCLAIMS ALL OBLIGATIONS AND LIABILITIES ON THE PART OF JHU AND INVENTORS, FOR DAMAGES, INCLUDING, BUT NOT LIMITED TO, DIRECT, INDIRECT, SPECIAL, AND CONSEQUENTIAL DAMAGES, ATTORNEYSÕ AND EXPERTSÕ FEES, AND COURT COSTS (EVEN IF JHU HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, FEES OR COSTS), ARISING OUT OF OR IN CONNECTION WITH THE MANUFACTURE, USE, OR SALE OF THE LICENSED PRODUCTS AND LICENSED SERVICES UNDER THIS AGREEMENT.",Cap on Liability,Yes
"Prior to first commercial sale of any LICENSED PRODUCT(S) or LICENSED SERVICE(S) as the case may be in any particular country, Company shall establish and maintain, in each country in which Company shall sell LICENSED PRODUCT(S) or LICENSED SERVICE(S), product liability or other appropriate insurance coverage appropriate to the risks involved in marketing LICENSED PRODUCT(S) and/or LICENSED SERVICE(S) and will annually present evidence to JHU that such coverage is being maintained",Insurance,Yes
"Upon JHUÕs request, Company will furnish JHU with a Certificate of Insurance of each product liability insurance policy obtained.",Insurance,Yes
JHU shall be listed as an additional insured in CompanyÕs said insurance policies,Insurance,Yes
