Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer,Label 6,Label 6-Answer
LICENSE AND RESELLER AGREEMENT,Document Name,LICENSE AND RESELLER AGREEMENT
"The parties acknowledge and agree that a ""Release Condition"" for purposes of the Escrow Agreement shall be deemed to mean any one or more of the following listed events (in addition to any other event specified as a release condition under the Escrow Agreement): (vi) Ehave undergoes a change of control or is a party to a merger or amalgamation;",Change of Control,Yes
"CHT may use third parties to perform its foregoing rights, provided that any such third parties are not competitors of Ehave and shall be subject to confidentiality obligations.",Anti-assignment,Yes
"Neither this Agreement nor any rights or obligations hereunder shall be assignable by a Party without the prior written consent of the other Party, provided that either Party shall have the right, on notice to but without the other PartyÕs consent, to assign this Agreement and its rights and obligations contained herein, to an affiliate or to a third party who is not a competitor of the other Party in connection with a sale of all or substantially all of the assigning PartyÕs business or assets relating to this Agreement.",Anti-assignment,Yes
"For such purpose, CHT hereby grants to Ehave a non-exclusive, royalty-free, revocable, limited license during the Term and Transition-out Period and within the Territory to use, reproduce, publish and display the CHT Marks solely in connection with the operation of the Ehave Companion Solution for and on behalf of CHT and End Users.",License Grant,Yes
"If CHT requires Ehave to host the CHT Developments, then CHT hereby grants to Ehave a royalty-free, non-exclusive, non-transferable, limited right and licence during the Term hereof to use the CHT Developments solely for the purpose of enabling its operation for CHT and its End UsersÕ purposes.",License Grant,Yes,Non-Transferable License,Yes
"Pursuant to the Subscription Agreement, CHT shall obtain from each End User the right to and hereby grants, effective upon the execution and delivery of such End UserÕs Subscription Agreement, to Ehave: (i) a royalty-free, non-exclusive, non-transferable, limited right and licence during the term of such Subscription Agreement to use, copy, store and display the End User Data solely for the purpose of enabling Ehave to operate the Ehave Companion Solution for such End User and as may be necessary for the purpose of enabling Ehave to provide support services in accordance with this Agreement; and (ii) a royalty-free, non-exclusive, limited, perpetual right and license to use, copy, store and display End User Data on an aggregated and anonymous basis and so as not to permit the identification of any End User or individual for the sole purpose of improving or developing enhancements to the Ehave Companion Solution , provided that Ehave shall not have any right to use, commercialize or exploit such End User Data in any other manner or for any other purpose.",License Grant,Yes,Non-Transferable License,Yes,Irrevocable or Perpetual License,Yes
"In connection with the exercise of CHTÕs rights under the Escrow Agreement, Ehave hereby grants to CHT a non- exclusive, non-transferable (except as set forth in Section 20(f)), right and license to use and copy the materials deposited with the Escrow Agent, including the Source Code, its Specifications and documentation, and any resulting corrections, repairs, translations, enhancements, and other derivative works and improvements made by CHT, for the sole purposes of providing to CHT the ability to operate, support and maintain, the Ehave Companion Solution for its End Users from time to time, until such time that CHT is able to migrate off the Ehave Companion Solution, but in any event not exceeding twelve months from the date of release of the materials from escrow.",License Grant,Yes,Non-Transferable License,Yes,Source Code Escrow,Yes
"Concurrently with execution of this Agreement or, at CHTÕs option, as soon as practicable after the Effective Date but in no event later than CHTÕs acceptance of and the launch of the Ehave Companion Solution, CHT and Ehave shall enter into a Source Code Escrow Agreement with a reputable software escrow agent mutually acceptable to the Parties (""Escrow Agent""), in or substantially in the form attached hereto as Schedule ""7"", or otherwise in a form acceptable to the Parties, acting reasonably, and to the Escrow Agent (the ""Escrow Agreement""), providing for the release of the Source Code for the Software, as modified pursuant to Section 3 and all necessary programming documentation, utilities and tools used by Ehave to maintain the Software and to compile the source code into object code (excluding third party utilities and tools licensed by Ehave for which Ehave has not been granted the right to sublicense or otherwise make available such utilities and tools to third parties without additional charge, but including such information as necessary for CHT to obtain licenses to and obtain such third party utilities and tools), all in its then-existing form, to CHT, in the certain circumstances expressly stated in Section 12(b).",Source Code Escrow,Yes
"Upon release of the Source Code by the Escrow Agent to CHT pursuant to the terms and conditions of the Escrow Agreement, Ehave hereby warrants that such Source Code and other materials are and will be the then current version of the Software as used by CHT in its provision to End Users of the eEhave Companion Solution under the Subscription Agreements and that Ehave shall throughout the Term keep the Source Code so deposited with the Escrow Agent current by periodically submitting material updates to the Escrow Agent from time to time, as necessary.",Source Code Escrow,Yes
"The parties acknowledge and agree that a ""Release Condition"" for purposes of the Escrow Agreement shall be deemed to mean any one or more of the following listed events (in addition to any other event specified as a release condition under the Escrow Agreement): (i) Ehave makes a general assignment for the benefit of creditors; (ii) Ehave voluntarily institutes any bankruptcy, insolvency, reorganization, moratorium, arrangement, readjustment or debt, dissolution, liquidation or similar proceeding relating to it under the laws of any jurisdiction, or any such proceeding is instituted against Ehave and is not dismissed within sixty (60) Business Days; or any judgment, writ, warrant or attachment or execution of similar process is issued or levied against a substantial part of EhaveÕs property and remains unsatisfied for sixty (60) Business Days; or Ehave applies for or consents to the appointment of any receiver, trustee or similar officer for it or for all or any substantial part of its property; or such receiver, trustee or similar officer is appointed without the consent of Ehave; (iii) Ehave consents to the filing of a petition of bankruptcy against it; (iv) a petition of bankruptcy is filed against Ehave which is not discharged within sixty (60) days; (v) Ehave becomes or is adjudicated by a court of competent jurisdiction as being bankrupt or insolvent or admits in writing its inability to pay its debts as they mature; Ehave ceases doing business as a going concern; (vi) Ehave undergoes a change of control or is a party to a merger or amalgamation; (vii) Ehave takes steps to dissolve, liquidate, wind up or otherwise terminate its existence; (viii) Ehave has terminated its provision of or ceased to provide the Ehave Companion Solution or support services for a continuing period of fifteen (15) Business Days or more, except pursuant to the termination of this Agreement by Ehave in accordance with its rights contained hrein.",Source Code Escrow,Yes
"CHT shall keep detailed records and books of account with supporting vouchers, invoices and other documentation showing all expenditures, charges and related calculations of whatsoever nature made by it in the performance of its obligations under this Agreement. CHT shall retain such records for the greater of: (i) three (3) years; or (ii) the period required by Applicable Laws.",Post-termination Services,Yes
"Upon the termination of this Agreement for any reason, subject to and without limiting the provisions of Section 12: (i) the Parties shall implement the Transition-Out Services pursuant to Section 10(f); (ii) at the end of the Transition-out Period (or earlier upon CHTÕs request) Ehave shall terminate and invalidate any Authentication IDs associated with CHT and any of its End Users; (iii) Ehave shall, but not earlier than twenty (20) Business Days after the later of termination or expiration of this Agreement or the Transition-out Period, destroy any copies of the End User Data contained in the Ehave Companion Solution and certify in writing to CHT that it has done so; (iv) CHT shall pay to Ehave the full amount of all Royalties payable hereunder as of the date of termination, if any, whether already invoiced or not (including any amounts due as late payment charges), and any other monies owing to Ehave hereunder; and (v) each Party will return to the other Party, or at the other PartyÕs written request, destroy, in a secure manner all Confidential Information of the other Party which is then in its possession or control and certify in writing that it has done so.",Post-termination Services,Yes
"Without limiting the provisions of Section 11, commencing on the delivery of any notice of termination of this Agreement, and continuing through the effective date of termination and for a period of sixty (60) Business Days thereafter (the ""Transition-out Period""), Ehave will, to the extent requested by CHT, provide to CHT (or at CHT's request to CHT's End User) such reasonable cooperation, assistance and services to facilitate the orderly wind down, transition and migration and transfer of the End User Data from Ehave to CHT (the ""Transition-out Services"").",Post-termination Services,Yes
"CHT shall, in good faith and at its own expense:",Audit Rights,Yes
"maintain books, records and accounts of all transactions and activities covered by this Agreement and permit reasonable examination thereof by Ehave and its representatives in accordance with this Agreement.",Audit Rights,Yes
"CHT will provide Ehave and its representatives, auditors and inspectors (""Auditors"") upon ten (10) Business Days prior written notice with reasonable access, during business hours, to all facilities, systems and assets used by CHT, to CHT personnel and subcontractors and to all relevant CHT books and records, in each case, to the extent relevant to this Agreement, in order to conduct appropriate audits, examinations and inspections (""Audits"") to: (i) verify compliance with the requirements set out in this Agreement; and (ii) verify the Royalty calculations.",Audit Rights,Yes
CHT shall provide to Ehave and its Auditors any assistance they may reasonably require to conduct such Audits.,Audit Rights,Yes
"Audits may be conducted once a calendar year, provided that the foregoing limit shall not apply where an audit discovered an overcharge of 5% or more, in which case, Ehave may conduct another audit sooner.",Audit Rights,Yes
No period shall be audited more than once.,Audit Rights,Yes
Costs incurred by Ehave in connection with any audit or inspection conducted shall be borne by Ehave.,Audit Rights,Yes
All information obtained by Ehave and its Auditors during any such Audit shall be kept confidential and shall be considered CHTÕs Confidential Information.,Audit Rights,Yes
have shall impose confidentiality obligations on its Auditors that are substantially similar to those under Section 13 and shall be responsible for any breach of confidentiality by its Auditors.,Audit Rights,Yes
"On an annual basis, Ehave shall conduct and provide CHT the results of an audit conducted in accordance with the Statement on Standards for Attestation Engagements (SSAE) No. 18, Service Organization Control (SOC) 2 Report type audit or similar audits in respect of its operations.",Audit Rights,Yes
"Subject to Section 17(c), in no event shall either Party be liable to the other for any consequential, incidental, exemplary or punitive damages even if advised in advance of the possibility of such damages.",Uncapped Liability,Yes,Cap on Liability,Yes
"Further, subject to Section 17(c), neither Party shall not be liable to the other Party for any lost revenue, lost profit or lost savings.",Uncapped Liability,Yes,Cap on Liability,Yes
"Subject to Section 17(c), in no event shall either Party's liability under this Agreement exceed the aggregate of all amounts paid under this Agreement and amounts that have accrued but not yet been paid in the twelve (12) months preceding the event giving rise to the claim.",Uncapped Liability,Yes,Cap on Liability,Yes
"Notwithstanding Sections 17(a) and 17(b), neither Party excludes or limits any liability for: (i) personal injury or death to the extent that such injury or death results from the negligence or wilful misconduct of a Party or its employees or subcontractors; (ii) fraud, fraudulent misrepresentation or fraudulent concealment; (iii) the PartyÕs obligations set out in Sections 2(c), 5(b), 5(c), 6(b), 11, 13 or 16; (iv) CHTÕs payment obligations under Section 7; or (v) willful misconduct or gross negligence.",Uncapped Liability,Yes
"Both Parties shall, at all times during the currency of this Agreement and for a period of one (1) year after the termination or expiration of this Agreement, maintain the following policies of insurance in effect: (i) a comprehensive general liability insurance policy, with minimum coverage of $1,000,000 per occurrence and in the annual aggregate for product liability and completed operations, covering bodily and personal injury, including death, and property damage, including loss of use; and (ii) an information and network technology blended liability insurance policy with an insured limit of at least $1,000,000 in the aggregate.",Insurance,Yes
"Upon the execution of this Agreement or at any time at a PartyÕs request during the term of this Agreement, the other Party shall provide the requesting Party with evidence of the aforementioned insurance coverage in the form of a certificate of insurance acceptable to the requesting Party.",Insurance,Yes
"In the event of any material change or cancellation of the required insurance policies, the applicable Party will provide the other Party with thirty (30) calendar days' prior written notice and will promptly replace such insurance policy in accordance with this Section 15, without lapse in coverage.",Insurance,Yes
"Ehave shall be a third party beneficiary hereunder, but shall not have any obligations to the End User thereunder.",Third Party Beneficiary,Yes
