Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer
CONTENT LICENSE AGREEMENT,Document Name,CONTENT LICENSE AGREEMENT
"Subject to the terms and conditions of this Agreement, World Book grants HSWI the right to use, copy, store, archive, distribute, transmit, modify, translate (subject to Section 2.3), and Display the Content that comprises the Affinities as part of the Affinities, and the Affinities themselves, in any manner and in any digital media (and to sublicense such rights to third parties), provided that HSWI does not resell all or license substantially all of the Content for a fee to other content publishers.",License Grant,Yes
"World Book grants HSWI the right to use, copy, store, archive, distribute, transmit, modify, translate (subject to Section 2.3), and Display the Images as part of the Affinity.",License Grant,Yes
"Notwithstanding anything to the contrary herein, attached as Attachment B is a list of companies (the ""Competitors II"") which are competitors with World Book and to whom sublicense may be made only with prior written consent of World Book, which World Book may withhold at its sole discretion.",Non-Transferable License,Yes
"Except as set forth herein, HSWI has no other right to sublicense the Content except with the advance written consent of World Book.",Non-Transferable License,Yes
All rights granted to HSWI under this Agreement may be exercised by or through HSWI and/or its Affiliates.,Affiliate License-Licensee,Yes
"Subject to the terms and conditions set forth herein, World Book hereby grants to HSWI, a perpetual, irrevocable limited license to use, copy, store, archive, distribute, transmit, modify (subject to Section 2.1(iv)), and Display the Content, Images and Affinities in whole or",Irrevocable or Perpetual License,Yes
"The term of the license for the Images delivered to HSWI as part of the Affinity, shall be perpetual and irrevocable.",Irrevocable or Perpetual License,Yes
"HSWI further agrees that until the expiration of [*] ([*]) year after the termination of this Agreement, HSWI will make available upon written request to World Book or any of its duly authorized representatives, this Agreement and books, documents, and records of HSWI that are necessary to verify the nature and extent of the revenue derived by HSWI from advertising related to the Content hereunder.",Post-termination Services,Yes,Audit Rights,Yes
HSWI shall also provide reasonable assistance to World Book or its designated agent to conduct audits to confirm the payments hereunder.,Audit Rights,Yes
"Any such audit will be conducted upon [*] ([*]) days notice and during regular business hours, and shall be at [*] expense, unless such audit reveals a discrepancy of more than [*] percent ([*]%) in the total applicable amount reported by HSWI, in which case [*] shall pay for, or reimburse [*] the cost of, such audit.",Audit Rights,Yes
Any such audit shall be conducted by an independent certified public accounting firm which is not engaged in performing other work for World Book or its affiliates_ which agrees to enter into a confidentiality agreement with HSWI_ and which is not compensated in any manner of contingency arrangements on the basis of its findings.,Audit Rights,Yes
"No more than [*] audit may be conducted in any [*] month period, unless the then-most-recent audit reveals a discrepancy of more than [*] percent ([*]%) in the total applicable amount reported by HSWI.",Audit Rights,Yes
"EXCEPT FOR EITHER PARTYÕS VIOLATION OF THE CONFIDENTIALITY OBLIGATIONS AND FOR EITHER PARTYÕS INDEMNIFICATION OBLIGATIONS, NEITHER PARTY SHALL BE LIABLE UNDER ANY CONTRACT, NEGLIGENCE, STRICT LIABILITY, OR OTHER LEGAL OR EQUITABLE THEORY FOR ANY AMOUNTS IN EXCESS IN THE AGGREGATE OF THE AMOUNT OF THE FEES PAID OR PAYABLE UNDER THIS AGREEMENT.",Uncapped Liability,Yes,Cap on Liability,Yes
"EXCEPT FOR EITHER PARTYÕS VIOLATION OF THE CONFIDENTIALITY OBLIGATIONS AND FOR EITHER PARTYÕS INDEMNIFICATION OBLIGATIONS, IN NO EVENT WILL EITHER PARTY BE LIABLE FOR SPECIAL, INCIDENTAL, CONSEQUENTIAL, INDIRECT OR PUNITIVE DAMAGES, OR LOST PROFITS, REGARDLESS OF WHETHER SUCH LIABILITY IS BASED ON BREACH OF CONTRACT, TORT, STRICT LIABILITY, BREACH OF WARRANTIES, FAILURE OF ESSENTIAL PURPOSE OR OTHERWISE AND EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
