Clause,Label 1,Label 1-Answer
"During the term of the Strategic Alliance, if KM sells all or a portion of KMÕs Partnership Interests, the SMBC Unit-Holders may sell a pro rata portion of the SMBC Units without regard to any timing or transfer restrictions imposed by this Agreement or the Moelis Holdings Agreement, except that such sale or transfer may not be to a Moelis Competitor.",Anti-assignment,Yes
"After the termination of the Strategic Alliance:   (i) prior to the IPO, Moelis General Partner shall not unreasonably withhold its consent to an SMBC Unit-HolderÕs transferring all or a portion of the SMBC Units to any other person who is not a Moelis Competitor; and   (ii) following the IPO, the SMBC Unit-Holders may freely transfer the SMBC Units, subject to applicable securities laws.",Anti-assignment,Yes
"Following the third anniversary of the Closing, whether or not during the term of the Strategic Alliance, the SMBC Unit- Holders may sell up to 9,231 SMBC Units (i) prior to the IPO, with the consent of Moelis General Partner (which consent may not be unreasonably withheld), provided such sale is not to a Moelis Competitor, or (ii) following the IPO, without restriction, subject only to applicable securities laws.",Anti-assignment,Yes
"During the term of the Strategic Alliance and prior to the IPO, Moelis Holdings shall notify SMBC in advance of publicly announcing the sale or issuance of any interests in Moelis Holdings (other than Management Units) to a Strategic Investor, provided, that Moelis Holdings shall notify SMBC in advance only to the extent and in such manner as it is permissible under any confidentiality agreement entered into in connection with such sale or issuance.",Anti-assignment,Yes
"In connection with any Underwritten Offering that is the IPO, or any Underwritten Offering in which the SMBC Unit-Holders are selling Registrable Securities pursuant to Sections 13.1 or 13.2, each SMBC Unit-Holder agrees that, during the period of duration (up to 180 days, subject to customary extensions as may be required by the underwriter or underwriters up to a maximum of 214 days) specified by Moelis Holdings and the underwriter or underwriters of Registrable Securities, following the date of the final prospectus or other offering document distributed in connection with the Underwritten Offering, it shall not, to the extent requested by Moelis Holdings and such underwriter or underwriters, directly or indirectly, sell, offer to sell, contract to sell (including any short sale or other hedging transaction), grant any option to purchase or otherwise transfer any Registrable Securities held by it at any time during such period except for such Registrable Securities as shall be included in such registration. Notwithstanding the foregoing, the obligations described in this Section 13.7(a) shall not apply (i) to a registration relating solely to employee benefit plans on Form S-1 or Form S-8, (ii) to a registration relating solely to an acquisition or similar transaction on Form S-4 or (iii) unless all holders then holding more than 3% of the issued and outstanding Partnership Interests (and/or any securities of Moelis Holdings or any successor entity into which the Partnership Interests are converted, exchanged or redesignated) with a contractual obligation enforceable by Moelis Holdings or its affiliates to do so and all of the then-current executive officers and directors (if applicable) of Moelis Holdings enter into similar agreements.",Anti-assignment,Yes
"This Agreement may not be assigned by any party without the written consent of the other parties, except to a subsidiary or controlled affiliate of such party which succeeds such partyÕs conduct of Covered Businesses.",Anti-assignment,Yes
"The parties agree to share fees 50%/50% on assignments within the scope of this Agreement set forth in Section 3.1 where SMBC or Nikko, on the one hand, and Moelis Holdings, on the other hand, are jointly retained as co-advisors by a Client for such assignments, except as otherwise mutually agreed with respect to a specific matter by the parties.",Revenue/Profit Sharing,Yes
"In the case of M&A sell-side assignments originated by Moelis Holdings within the scope of this Agreement set forth in Section 3.1 for which SMBC or Nikko does not serve (together with Moelis Holdings) as a co-advisor to the seller, if SMBC or Nikko introduces the actual buyer, and neither SMBC nor Nikko obtains a mandate to serve as an advisor to such buyer in connection with such acquisition, Moelis Holdings will pay SMBC/Nikko an introduction fee equal to 15% of the sale transaction fee paid to Moelis Holdings.",Revenue/Profit Sharing,Yes
"One or more senior representatives of Moelis Holdings or SMBC/Nikko, as the case may be, will consider on a case by case basis if requested by a senior representative of the other party, discretionary fee sharing when Moelis Holdings or SMBC/Nikko, as the case may be, provides demonstrable value.",Revenue/Profit Sharing,Yes
"The parties may mutually agree on a fee allocation different from the foregoing allocations in good faith based on, among other things, the following criteria:   (a) Whether one or both parties have an important relationship that is crucial to securing an assignment   (b) Resource contribution   (c) Product expertise   (d) Industry expertise   (e) Transaction size   (f) Resource constraints",Revenue/Profit Sharing,Yes
The engagement letters will (unless otherwise agreed) provide that payments would be made to either SMBC/Nikko or Moelis Holdings and SMBC/Nikko and Moelis Holdings will split the fees pursuant to this Agreement.,Revenue/Profit Sharing,Yes
"The rights granted under this Section 12.3 may not be assigned or transferred, except that such right is assignable by SMBC to any of its respective Wholly-Owned Subsidiaries.",Non-Transferable License,Yes
"for the period beginning a reasonable time before the filing of the Registration Statement and for as long as Moelis Holdings is required to cause the Registration Statement to remain current under Section 13.1(a)(ii), and except to the extent prohibited by applicable law and subject to entering into customary confidentiality agreements, after reasonable advance notice, make available for inspection by the SMBC Unit- Holders, any underwriter participating in any disposition of the Registrable Securities, and any Representative for the SMBC Unit-Holders or such underwriter, during business hours and at the location designated by Moelis Holdings, any financial and other records and corporate documents of Moelis Holdings as will be reasonably necessary to enable them to conduct reasonable and customary due diligence with respect to Moelis Holdings and the related Registration Statement and Prospectus, provided, however, that records, documents and information obtained hereunder will be used by such inspecting person only to conduct such due diligence",Audit Rights,Yes
"and provided, further, however, that in no event shall the liability for indemnity of any SMBC Unit-Holder under this Section 13.9(b) exceed the dollar amount of the proceeds (net of any underwriting discount or commission or other selling expenses) received by such SMBC Unit-Holder from the sale of the Registrable Securities giving rise to such indemnification.",Cap on Liability,Yes
"provided, however, that in no event shall a SMBC Unit-Holder be required by this Section 13.9(d) to contribute an aggregate amount in excess of the dollar amount of proceeds (net of underwriting discounts and commissions and other selling expenses) received by such SMBC Unit-Holder from the sale of Registrable Securities giving rise to such contribution.",Cap on Liability,Yes
"Notwithstanding the provisions of this Section 13.9(e), a SMBC Unit-Holder shall not be required to contribute, in the aggregate, any amount in excess of the amount by which the net proceeds received by such SMBC Unit-Holder from the sale of the Registrable Securities exceeds the amount of any damages which such SMBC Unit-Holder has otherwise been required to pay by reason of such untrue or alleged untrue statement or omission or alleged omission.",Cap on Liability,Yes
"Notwithstanding anything to the contrary in this Agreement, each of the Indemnified Parties has relied on this Section 13.9, is an express third party beneficiary of this Section 13.9 and is entitled to enforce the obligations of the applicable Indemnified Parties under this Section 13.9 directly against such Indemnified Parties to the full extent thereof.",Third Party Beneficiary,Yes
