Clause,Label 1,Label 1-Answer
"The purchase price for the Call Shares (the ""Call Option Price"") shall be the greater of (x) the amount in Japanese Yen equal to the Net Book Value as of the most recently completed month end prior to the Call Closing Date, minus the Net Book Value as of the most recently completed month end prior to the Effective Date, multiplied by the number of Call Shares, or (y) one Japanese Yen (´1).",ROFR/ROFO/ROFN,Yes
"Upon TPH-AÕs or TPHÕs exercise of the Call Option, AFSL/FSL shall be obliged to sell, or cause the holder of the Call Shares to sell, the Call Shares to TPH-A or its designee in accordance with this Section 9.2. For the avoidance of doubt, the Call Option is the right of TPH-A and TPH-A is not obliged to exercise the Call Option.",ROFR/ROFO/ROFN,Yes
"Completion of the sale and purchase of the Call Shares pursuant to the exercise of the Call Option by TPH- A/TPH shall take place on the date specified in the Call Exercise Notice (which shall be a date after at least sixty (60) days from the date of the Call Exercise Notice) (the ""Call Closing Date"") and on which date: (i) TPH-A shall, or shall cause its designees to, and TPH shall cause TPH-A or TPH-AÕs designees to, pay to AFSL the Call Option Price for the Call Shares by way of a bank transfer to the bank account as separately designated by AFSL_ and (ii) in exchange for which, AFSL shall deliver to TPH-A or its designees duly executed a letter of request to enter in the shareholder register of the Company the information that is required to be registered with regard to the Call Shares.",ROFR/ROFO/ROFN,Yes
AFSL and TPH-A shall cause the Board to approve the share transfer of the Call Shares on or prior to the Call Closing Date.,ROFR/ROFO/ROFN,Yes
"Each PartyÕs obligation to complete the Put Option or Call Option at the Put Closing Date or Call Closing Date, as applicable, is subject to the fulfillment on or before such Put Closing Date or Call Closing Date of each of the following conditions, unless waived in writing (where permissible) by the applicable party in such closing:",ROFR/ROFO/ROFN,Yes
"(v) By FSL/AFSL and TPH/TPH-A, if there is a change in the Control of the other and the acquiring/succeeding entity causing such change in the Control is an entity that may be reasonably believed to be objectionable to the Japanese Government and/or FSL including FSLÕs Affiliates in case of the termination by FSL/AFSL or the US Government and/or TPH in case of the termination by TPH/TPH-A, termination to be effective upon thirty (30) daysÕ notice of termination.",Change of Control,Yes
"Except as set forth in this Article VIII, prior to the Option Starting Date, without the prior written consent of the other Shareholders, no Shareholder may sell, assign, transfer, pledge, encumber or otherwise dispose of, by operation of Law or otherwise, any of its Shares, or rights in or associated with such Shares, and any purported sale, assignment, transfer, pledge, encumbrance or disposition by a Shareholder of its Shares in violation of this Article VIII shall be invalid and of no force and effect.",Anti-assignment,Yes
"AFSL shall be entitled at any time to transfer all but not a portion of the Shares registered in its name to FSL or any other entity Controlled by FSL, and TPH-A shall be entitled at any time to transfer all but not a portion of the Shares registered in its name to TPH or any other entity Controlled by TPH_ provided that FSL (or such other entity Controlled by FSL) and TPH (or such other entity Controlled by TPH), as applicable, shall assume the obligations of AFSL and TPH-A, as applicable, hereunder, as set forth in Article VI.",Anti-assignment,Yes
"Notwithstanding the foregoing, no rights, obligations or liabilities hereunder shall be assignable by a Party without prior written consent of all of the other Parties_ provided, however, that a Party shall not unreasonably withhold its consent to the assignment of rights and obligations by the other Parties to its Affiliate if that AffiliateÕs performance has been guaranteed satisfactorily in form and substance by the assigning Party.",Anti-assignment,Yes
"The Parties expect the Company to comply with the Business Plan_ provided, however, deviations from the Business Plan that result in an increase or decrease of less than twenty percent (20%) of the original cost or revenue to the Company attributable to such item as set forth in the Business Plan shall not require the consent of the Parties, so long as all such deviations in any given quarter do not represent a deviation of more than ten percent (10%) of total revenue or total expense, as the case may be, in the aggregate for the quarter in which the deviation occurs.",Revenue/Profit Sharing,Yes
"In such case: (i) TPH-A or TPH, as the case may be, shall acquire sole and exclusive title to the GaN Equipment, free and clear of all Encumbrances, and none of FSL, AFSL or the Company shall have any right, title or interest in such GaN Equipment, (ii) such GaN Equipment shall be clearly labeled as the property of TPH-A or TPH, as the case may be, and (iii) FSL and AFSL shall cause to be assigned to TPH-A or TPH, as the case may be, all licenses and warranties for such GaN Equipment and the software or firmware required to operate such GaN Equipment that are attached to, installed on, or embodied in such GaN Equipment as of the Effective Date. During the term if this Agreement, the GaN Equipment shall be used exclusively in GaN wafer processing, and shall not be used in the silicon wafer processing for AFSLÕs or FSLÕs current products.",IP Ownership Assignment,Yes
"The Parties shall cause the Company to deliver to each Party, at the CompanyÕs expense, (i) annual audited and quarterly and monthly unaudited financial statements prepared in accordance with Japanese GAAP consistently applied, including any independent auditorÕs report or opinion thereon, if any, and (ii) any information necessary to enable a Party to prepare consolidated financial statements, in each case within sixty (60) days after the end of each fiscal year of the Company and within thirty (30) days after the end of each quarterly accounting period of the Company and calendar month. Each Party will indemnify the Company and hold it harmless for, from and against any claims, demands, costs or expenses arising out of or relating to such consolidated financial statements, provided that such indemnity shall not apply to claims, demands, costs or expenses to the extent they are related to the CompanyÕs financial statements provided to such Party.",Audit Rights,Yes
"In addition to any inspection rights granted under Law, upon notice to the Company of at least twenty-four (24) hours, each Party shall have full access to all properties, books of account, and records of the Company.",Audit Rights,Yes
"In case it is necessary for AFSL/FSL to access to any materials or information of the Company prepared or otherwise made on or before the Put Closing Date or the Call Closing Date due to requirement by any Governmental Authority or any third party on or after the Put Closing Date or the Call Closing Date, then, TPH/TPH-A shall fully cooperate, and shall cause the Company to fully cooperate, with AFSL/FSL so that AFSL/FSL can access such materials or information.",Audit Rights,Yes
