Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
"COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",Document Name,"COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT"
"If Net Sales of the applicable Product in a country in a Calendar Quarter following the Launch Quarter for such country are: A. lower than or equal to [***]%, but more than [***]%, of Base Net Sales of the applicable Product in such country, then the Applicable Reduction Percentage shall be [***]%; or B. lower than or equal to [***]% of Base Net Sales of the applicable Product in such country, then the Applicable Reduction Percentage shall be [***]%.",Revenue/Profit Sharing,Yes
"If Sanofi enters into an agreement with a Third Party in order to obtain a license or other right to a Third Party Right that is reasonably necessary to manufacture, use or sell a Product (or the SHP2 Inhibitor contained therein) in a country pursuant to Section 10.7, Sanofi shall be entitled to deduct from the royalties payable under Section 9.3(a) with respect to such Product in such country in a particular Calendar Quarter [***] paid by Sanofi to such Third Party in respect of such agreement for such Calendar Quarter, in each case to the extent reasonably allocable to such Third Party Right and such Product and country; provided that in no event shall the royalties payable for such Product and country in any Calendar Quarter be reduced to less than [***]% of the amount otherwise due under Section 9.3(a) (the ""Royalty Floor"").",Revenue/Profit Sharing,Yes
"No later than the Initiation of the first Registrational Clinical Trial for the first Product, Sanofi and RevMed shall enter into a profit/loss share agreement (the ""Profit/Loss Share Agreement"") pursuant to which the Parties shall equally share the Net Profit and Net Loss (as defined in Exhibit M of the Correspondence) applicable with respect to Commercialization of Products (but, for clarity, not any costs of Development) of Products in the U.S.",Revenue/Profit Sharing,Yes
"In no event shall the total Milestone Payments under this Agreement exceed: $520,000,000",Price Restrictions,Yes
"If Sanofi enters into an agreement with a Third Party in order to obtain a license or other right to a Third Party Right that is reasonably necessary to manufacture, use or sell a Product (or the SHP2 Inhibitor contained therein) in a country pursuant to Section 10.7, Sanofi shall be entitled to deduct from the royalties payable under Section 9.3(a) with respect to such Product in such country in a particular Calendar Quarter [***] paid by Sanofi to such Third Party in respect of such agreement for such Calendar Quarter, in each case to the extent reasonably allocable to such Third Party Right and such Product and country_ provided that in no event shall the royalties payable for such Product and country in any Calendar Quarter be reduced to less than [***]% of the amount otherwise due under Section 9.3(a) (the ""Royalty Floor"").",Price Restrictions,Yes
"Once RevMed has completed conducting all Clinical Trials for a Product assigned to it under the Development Plan for such Product, RevMed agrees to assign, and hereby does assign, to Sanofi all of its rights, title and interests in and to all Regulatory Approvals (including INDs and NDAs) for such Product.",IP Ownership Assignment,Yes
"Sanofi shall transfer and assign, and shall ensure that its Affiliates transfer and assign, to RevMed, at no cost to RevMed, all Product Marks exclusively relating to any Termination Product, provided that such Product Marks do not contain the business entity names of Sanofi or its Affiliates or variations thereof, except as may otherwise be required by Applicable Law during a transition period to avoid any interruptions in supply of Termination Product to patients. I",IP Ownership Assignment,Yes
"Subject to the other terms and conditions of this Agreement (including the licenses and other rights granted under this Agreement or any Ancillary Agreement), each Party shall have the right to exploit, including license, the Joint Program Technology, without a duty of accounting or any obligation to seek consent from the other Party to exploit such Joint Program Technology.",Joint IP Ownership,Yes
"Subject to the terms and conditions of this Agreement, Sanofi hereby grants to RevMed a non-exclusive, royalty-free sublicense (which shall only be further sub-licensable (a) to RevMedÕs Subsidiaries, (b) to the Permitted Contractors or Researchers, and (c) solely with SanofiÕs prior written consent, such consent not to be unreasonably withheld, delayed or conditioned, to Third Parties who are not Permitted Contractors or Researchers) under the rights exclusively licensed to Sanofi pursuant to Section 3.1, solely to the extent necessary for RevMed to perform its obligations under this Agreement and the Ancillary Agreements.",License Grant,Yes,Affiliate License-Licensee,Yes
"Sanofi shall have rights to use, at no additional cost, any RevMed Study Data in its performance of its obligations and exercise of its rights under the Collaboration except in connection with filing of MAAs for the Indication and Product Treatment Regimen that were the subject of such RevMed Study.",License Grant,Yes
"To the extent necessary to effect the foregoing in a country other than the United States, each Party grants to the other Party a nonexclusive, irrevocable, perpetual, fully-paid, worldwide license, with the right to grant sublicenses, under the granting PartyÕs interest in Joint Program Technology, for any and all purposes, provided that RevMedÕs interest therein shall be subject to the other terms and conditions of this Agreement, including the exclusive licenses granted herein (during the Term) and all payment obligations.",License Grant,Yes,Irrevocable or Perpetual License,Yes
"All licenses and other rights granted to Sanofi under the RevMed Licensed Technology under this Agreement shall terminate (except as necessary to permit Sanofi to perform its surviving obligations under this Article XII) and all rights thereunder shall revert to RevMed; provided, however, RevMed shall, effective upon any such termination of this Agreement, and hereby does, grant to Sanofi a non- exclusive, worldwide license, with the right to grant sublicenses to contractors and otherwise only with RevMedÕs prior written consent, under each (1) RevMed Program Invention and (2) [***]. F",License Grant,Yes
"Except as part of a transaction permitted under this Section 15.2, in no event shall RevMed assign or transfer, or agree to assign or transfer to any Third Party, any or all of the RevMed Licensed Patents without the consent of Sanofi, not be unreasonably withheld or conditioned.",Non-Transferable License,Yes
"Sanofi shall have the right, in its sole discretion, to appoint its Affiliates, and Sanofi and its Affiliates shall have the right, in its sole discretion, to appoint any other Persons, in the Licensed Territory to distribute, market, and sell the Products (with or without packaging rights), in circumstances where the Person purchases its requirements of Products from Sanofi or its Affiliates but does not otherwise make any royalty or other payment to Sanofi or its Affiliates with respect to its intellectual property or other proprietary rights.",Affiliate License-Licensee,Yes
"Upon expiration of this Agreement, the licenses granted to Sanofi under Section 3.1 will become fully paid up, royalty free, perpetual and irrevocable.",Irrevocable or Perpetual License,Yes
"Each Party shall maintain complete, current and accurate records of all Development activities conducted by it hereunder, and all data and other information resulting from such activities, for at least [***] after the expiration or termination of this Agreement in its entirety or for such longer period as may be required by Applicable Law.",Post-termination Services,Yes
"If this Agreement is terminated in its entirety or with respect to one or more Products, other than by RevMed pursuant to Section 12.2(b) (Termination for Material Breach) or 12.2(c) (Termination for Insolvency), RevMed shall pay to Sanofi on a Product-by-Product basis royalties on sales of terminated Products (such Products, which for the purpose of clarity shall not include any Non-SHP2 Product, hereinafter referred to as ""Termination Products""), calculated based on worldwide Net Sales (as such term is applied mutatis mutandis to RevMed and including sales in the U.S.) by RevMed and its Affiliates and Sublicensees of such Termination Products as follows: [***].",Post-termination Services,Yes
"In the case of a termination of this Agreement, Sanofi (with respect to the Termination Products in the Licensed Territory), shall be entitled, for a period of [***] after termination, to (i) complete Manufacture of work-in-progress, and (ii) continue conducting Commercialization activities being conducted by Sanofi hereunder as of such termination (if applicable, with respect to the terminated country(ies)), to the extent related to such Termination Product in SanofiÕs inventory as of such termination (or added to such inventory as a result of the completion described in clause (i)), provided that Sanofi fulfills its payment obligations under this Agreement in connection with such inventory sell-off, provided further that the sharing of Net Profits and Net Losses under the Profit/Loss Share Agreement shall continue to apply during the sell-off period.",Post-termination Services,Yes
"Within [***] after the effective date of such termination for Termination Products for which Regulatory Approval has been obtained prior to the effective date of such termination or [***] for other Termination Products (or as promptly as practical thereafter, if such period is not practical under Applicable Law), Sanofi shall transfer and assign to RevMed all Regulatory Approvals relating to such Termination Products, and, to the extent not previously provided to RevMed, transfer other Regulatory Materials including data from preclinical, non-clinical and clinical studies conducted by or on behalf of Sanofi, its Affiliates or Sublicensees on such Termination Products and all pharmacovigilance data (including all adverse event databases) on such Termination Products",Post-termination Services,Yes
"At RevMedÕs reasonable request, for a period not to exceed [***] following the effective date of termination, Sanofi shall provide RevMed with assistance up to a total of [***] with any inquiries and correspondence with Regulatory Authorities relating to any such Termination Product.",Post-termination Services,Yes
"With regard to Termination Products in countries for which the licenses to Sanofi are terminating, Sanofi shall provide the following transitional assistance, with costs allocated as set forth below",Post-termination Services,Yes
"Sanofi shall, at RevMedÕs request, for a period not to exceed [***] following the effective date of termination, provide reasonable technical assistance up to a total of [***] and, to the extent not already provided to RevMed, transfer copies of (including when available, in electronic format) all Sanofi Sole Program Know-How to RevMed or its designee, including without limitation: [***], in each case to the extent such materials are exclusively related to the Termination Product.",Post-termination Services,Yes
"Furthermore, Sanofi shall within [***] after the effective date of such termination, transfer to RevMed all files and documents relating to the prosecution, defense or enforcement of the RevMed Licensed Patents or Joint Program Patents and provide reasonable assistance for a period not to exceed [***] following the effective date of termination, up to a total of [***], in the transfer of the prosecution, defense and enforcement responsibilities to RevMed, including by executing any documents reasonable necessary therefor.",Post-termination Services,Yes
"At the end of the sell-off period set forth in Section 12.3(c)(iii), Sanofi shall transfer to RevMed any and all inventory of SHP2 Inhibitors and Termination Products (including all research materials, final product, bulk drug substance, intermediates, work-in-process, formulation materials, reference standards, drug product clinical reserve samples, packaged retention samples, and the like) then in the possession of Sanofi, its Affiliates or Sublicensees, and continue or have continued any ongoing stability studies pertaining to any materials so transferred to RevMed for a reasonable period of time until RevMed can assume responsibility for such activities",Post-termination Services,Yes
"If at the time of such termination, Sanofi or its Affiliates are conducting any Clinical Trials (including Registrational Clinical Trials) of a Termination Product, then, at RevMedÕs election on a trial-by-trial basis, Sanofi shall cooperate, and shall ensure that its Affiliates cooperate, with RevMed to transfer the conduct of all such Clinical Trials to RevMed within [***] after the effective date of such transfer (to the extent practical in light of applicable regulatory and patient safety concerns) and RevMed shall assume any and all liability, and is liable, for such Clinical Trials conducted after the effective date of such termination (except to the extent Sanofi has an obligation of indemnification under Article XIV existing for a claim that arose prior to the effective date of such termination).",Post-termination Services,Yes
"If at the time of such termination, Sanofi or its Affiliates are Commercializing a particular Termination Product, then, at RevMedÕs request, the Parties shall negotiate in good faith a transition services agreement to cover detailing and promotion of such Termination Product (in the same manner and no more extensive than the then-current detailing and promotional efforts of Sanofi) by Sanofi or its Affiliate or contract sales force pursuant to a transition plan agreed by the Parties for a period not to exceed [***], and RevMed shall pay Sanofi a commercially reasonable amount to conduct such activities (which amount would include a commercially reasonable per-detail rate).",Post-termination Services,Yes
"In the case of a termination of this Agreement, Sanofi (with respect to the Termination Products in the Licensed Territory), shall be entitled, for a period of [***] after termination, to (i) complete Manufacture of work-in-progress, and (ii) continue conducting Commercialization activities being conducted by Sanofi hereunder as of such termination (if applicable, with respect to the terminated country(ies)), to the extent related to Termination Product in SanofiÕs inventory as of such termination (or added to such inventory as a result of the completion described in clause (i)), provided that Sanofi fulfills its payment obligations under this Agreement in connection with such inventory sell-off, provided further that the payment of royalties to RevMed and the sharing of Net Profits and Net Losses under the Profit/Loss Share Agreement shall continue to apply during the sell-off period.",Post-termination Services,Yes
"Within [***] of the effective date of such termination (or as promptly as practical thereafter, if such period is not practical under Applicable Law), [***], Sanofi shall transfer and assign to RevMed all Regulatory Approvals relating to Termination Products, and, to the extent not previously provided to RevMed, transfer other Regulatory Materials including data from preclinical, non-clinical and clinical studies conducted by or on behalf of Sanofi, its Affiliates or Sublicensees on any Termination Products and all pharmacovigilance data (including all adverse event databases) on any Termination Products.",Post-termination Services,Yes
"Upon termination of [***] by Sanofi pursuant to Section 12.2(a)(ii)B (Termination by Sanofi for Change of Control) in the case of an Acquiror of RevMed that is a Major Biopharmaceutical Company, RevMed, [***], will (1) make available to Sanofi copies of [***], (2) provide Sanofi with copies of [***], (3) provide Sanofi with all [***], and (4) otherwise provide Sanofi all reasonable assistance in [***].",Post-termination Services,Yes
"In addition, Sanofi shall have the right to conduct customary reviews and audits of RevMed and its Affiliates and subcontractors (provided that, with respect to Permitted Contractors or Researchers that 40 Source: REVOLUTION MEDICINES, INC., S-1, 1/17/2020RevMed entered into a written agreements with prior to the Effective Date, such right of Sanofi shall be to the extent RevMed has the right to permit Sanofi to do so under such written agreements, and provided further, that RevMed shall use Commercially Reasonable Efforts to secure such right for Sanofi where one does not exist).",Audit Rights,Yes
"In addition, Sanofi shall have the right to conduct customary reviews and audits of RevMed and its Affiliates and subcontractors (provided that, with respect to Permitted Contractors or Researchers that RevMed entered into a written agreements with prior to the Effective Date, such right of Sanofi shall be to the extent RevMed has the right to permit Sanofi to do so under such written agreements, and provided further, that RevMed shall use Commercially Reasonable Efforts to secure such right for Sanofi where one does not exist).",Audit Rights,Yes
"Upon reasonable prior notice of the other Party, but in any event at least [***] prior notice, each Party shall and shall cause its Affiliates and its and their Sublicensees to permit an independent auditor of international prominence, selected by the auditing Party and reasonably acceptable to the audited Party, to audit the books and records maintained pursuant to Section 9.8 for the sole purpose of verifying for the auditing Party the accuracy of the financial reports furnished by the audited Party pursuant to this Agreement or of any payments made, or required to be made, by or to the audited Party pursuant to this Agreement or any Ancillary Agreement. Such audit shall not occur more than [***] in a given Calendar Year, unless for cause, and shall not concern books and records relating to a period more than [***] preceding the current Calendar Year.",Audit Rights,Yes
"NOTHING IN THIS SECTION 14.5 IS INTENDED TO OR SHALL LIMIT OR RESTRICT THE INDEMNIFICATION RIGHTS OR OBLIGATIONS OF ANY PARTY UNDER SECTION 14.1 OR SECTION 14.2, OR DAMAGES AVAILABLE FOR A PARTYÕS BREACH OF ITS OBLIGATIONS RELATING TO CONFIDENTIALITY UNDER ARTICLE XI OR INTELLECTUAL PROPERTY UNDER ARTICLE X.",Uncapped Liability,Yes
"NEITHER PARTY SHALL BE LIABLE TO THE OTHER FOR ANY SPECIAL, CONSEQUENTIAL, INCIDENTAL, PUNITIVE, OR INDIRECT DAMAGES OR LOST PROFITS ARISING FROM OR RELATING TO ANY BREACH OF THIS AGREEMENT, REGARDLESS OF ANY NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.",Cap on Liability,Yes
"Each Party shall procure and maintain insurance, including product liability insurance, with respect to its activities hereunder and under the Ancillary Agreements and which is consistent with normal business practices of companies similarly situated at all times during which any SHP2 Inhibitors or Product is being clinically tested in human subjects or commercially distributed or sold.",Insurance,Yes
"Each Party shall provide the other Party with evidence of such insurance upon request and, in the case of RevMed, shall provide Sanofi with written notice at least [***] prior to the cancellation, non-renewal or material changes in such insurance.",Insurance,Yes
