Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
ENDORSEMENT AGREEMENT,Document Name,ENDORSEMENT AGREEMENT
"Except as otherwise provided herein, all the results of ABGÕs provision of CELEBRITYÕS Services hereunder, including, but not limited to, Materials (but in all cases specifically excluding the Celebrity Endorsement and the Personality Rights), will be deemed a ""work made for hire"" under the provisions of the United States Copyright Act (17 U.S.C. Sec. 101) and will be owned by PAPA JOHNÕS for all purposes.",IP Ownership Assignment,Yes
"If any Materials created under this Agreement are not legally capable of being a work-made-for-hire under the applicable copyright laws, then all right, title, and interest in such Materials is hereby assigned to Papa JohnÕs and CELEBRITY or ABG will execute any documents consistent herewith necessary to perfect such assignment.",IP Ownership Assignment,Yes
"In consideration of the remuneration to be paid to ABG pursuant hereto and subject to the conditions and limitations contained herein, ABG grants to PAPA JOHNÕS the non-transferrable, non-assignable, non-sublicensable, indivisible right and license solely during the Term of the Agreement and within the Territory to use the Celebrity Endorsement, in each instance, subject to ABGÕs Approval (as hereinafter defined).",License Grant,Yes,Non-Transferable License,Yes
"PAPA JOHNÕS hereby grants to ABG and CELEBRITY, a royalty-free, perpetual, irrevocable, fully- paid, assignable, transferable, sublicensable right and license to utilize the Materials, in their entirety or any portions thereof, in all media now known or hereafter developed, throughout the universe (individually and collectively, ""PJ Rights"") as follows: (i) on or in connection the performance of the Services hereunder; (ii) in connection with historical and archival purposes (e.g., documentary, commentary, corporate retrospective, historical files on websites of ABG), so-called business-to-business uses and other non-commercial purposes; and (iii) for industry recognition purposes (e.g., award competition submissions); in each case, in all media now known or hereafter devised.",License Grant,Yes,Irrevocable or Perpetual License,Yes
"Upon expiration or termination of this Agreement by PAPA JOHNÕS (but not in the event of termination by ABG), and subject to PAPA JOHNÕS ongoing compliance with the terms and conditions of this Agreement, PAPA JOHNÕS shall have the following rights to use the Celebrity Endorsement solely as follows: (i) for a period of six (6) months following the effective date of expiration or termination, PAPA JOHNÕS shall have the right to continue to use, display and distribute copies of Materials which bear the Celebrity Endorsement and which were printed and published, or irrevocably booked for publication or display with a third party, prior to the effective date of expiration or termination; and (ii) PAPA JOHNÕS shall have the right, without restriction, to the in-house, non-commercial use of any Materials.",Post-termination Services,Yes
"TO THE MAXIMUM EXTENT PERMISSIBLE UNDER APPLICABLE LAW, NEITHER ABG NOR AUTHENTIC BRANDS GROUP LLC NOR CELEBRITY SHALL BE LIABLE TO PAPA JOHNÕS FOR ANY CONSEQUENTIAL, INCIDENTAL, PUNITIVE, EXEMPLARY, OR SPECIAL DAMAGES, REGARDLESS OF THE FORM OR ACTION, WHETHER IN CONTRACT OR IN TORT, EVEN IF ABG OR AUTHENTIC BRANDS GROUP LLC HAS BEEN ADVISED OF THE POSSIBLITY OF SUCH DAMAGES OR LOSSES.",Cap on Liability,Yes
"IN NO EVENT SHALL ABGÕS, AUTHENTIC BRANDS GROUP LLCÕS, AND CELEBRITYÕS TOTAL LIABILITY UNDER THIS AGREEMENT EXCEED THE AMOUNTS ACTUALLY RECEIVED BY ABG (EXCLUSIVE OF REIUMBURSEMENT OF EXPENSES) HEREUNDER, REGARDLESS OF THE NUMBER OR TYPE OF CLAIMS.",Cap on Liability,Yes
"PAPA JOHNÕS shall procure and maintain, at its sole cost and expense, and use commercially reasonable efforts cause its Sub-Contractors to obtain, at their sole cost and expense, during the Term and for a period of three (3) years thereafter (""Insurance Period""), comprehensive general liability insurance (including, without limitation, product liability insurance, inventory insurance, workerÕs compensation insurance, and advertising injury insurance), to defend and protect the Parties against claims arising out of or in connection with PAPA JOHNÕs business, the Materials, the Products, and Advertisements therefor.",Insurance,Yes
"Insurance must be obtained from a company reasonably acceptable to ABG, in an amount not less than Five Million United States Dollars ($5,000,000 USD) in the aggregate, or PAPA JOHNÕS standard insurance policy limits, whichever is greater.",Insurance,Yes
"Within five (5) business days of the date on which this Agreement is fully executed, PAPA JOHNÕS shall submit to ABG a certificate of insurance naming each of ABG, CELEBRITY and Authentic Brands Group, LLC as additional insureds (""COI""), which COI, or a renewal or replacement thereof, shall remain in force at all times during the Insurance Period, and shall require the insurer to provide at least thirty (30) daysÕ prior written notice to PAPA JOHNÕS, and all additional insureds, of any termination, cancellation or modification thereof.",Insurance,Yes
"Each party acknowledges and agrees that (i) all copyrights and trademarks used in connection herewith that are owned by a party shall be and remain the sole and complete property of such party_ (ii) the other party shall not at any time acquire or claim any right, title or interest of any nature whatsoever in any such copyright or trademark by virtue of this Agreement_ (iii) the other party shall not contest or assist others to contest the validity of all such copyrights and trademarks_ and (iv) it will not incur or create any expenses chargeable to the other party.",Covenant Not To Sue,Yes
