Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
WIRELESS CONTENT LICENSE AGREEMENT,Document Name,WIRELESS CONTENT LICENSE AGREEMENT
"Licensee will (A) conduct its business in a manner that reflects favorably at all times on the Property, the Wireless Products and the good name, goodwill and reputation of Fox, (B) avoid deceptive, misleading or unethical practices, that are or might be detrimental to Fox, the Property, the Wireless Products or the public, (C) avoid making disparaging, false or misleading statements or representations with regard to Fox, the Property or the Wireless Products, (D) not employ or cooperate in the employment of any deceptive or Wireless Content License Agreement Multiple Properties / Sorrent, Inc. / Final PLZ -20- Source: GLU MOBILE INC, S-1/A, 3/19/2007       misleading advertising material with regard to Fox, the Property or the Wireless Products, (E) make no representations, warranties or guarantees to customers or to the trade with respect to the specifications, features or capabilities of the Wireless Products that are inconsistent with the warranties and disclaimers included in or with the Wireless Products, (F) not sell the Wireless Products to any party who it knows, or reasonably should know, will infringe FoxÕs Intellectual Property Rights in the Wireless Products, and (G) comply with all applicable international, national, regional, and local laws in performing its duties hereunder and in any of its dealings with respect to the Wireless Products.",Non-Disparagement,Yes
"Licensee will (A) conduct its business in a manner that reflects favorably at all times on the Property, the Wireless Products and the good name, goodwill and reputation of Fox, (B) avoid deceptive, misleading or unethical practices, that are or might be detrimental to Fox, the Property, the Wireless Products or the public, (C) avoid making disparaging, false or misleading statements or representations with regard to Fox, the Property or the Wireless Products, (D) not employ or cooperate in the employment of any deceptive or misleading advertising material with regard to Fox, the Property or the Wireless Products, (E) make no representations, warranties or guarantees to customers or to the trade with respect to the specifications, features or capabilities of the Wireless Products that are inconsistent with the warranties and disclaimers included in or with the Wireless Products, (F) not sell the Wireless Products to any party who it knows, or reasonably should know, will infringe FoxÕs Intellectual Property Rights in the Wireless Products, and (G) comply with all applicable international, national, regional, and local laws in performing its duties hereunder and in any of its dealings with respect to the Wireless Products.",Non-Disparagement,Yes
"For the Term of this Agreement, Fox hereby grants to Licensee a right of first negotiation with respect to those theatrical motion pictures released during the Term of this Agreement (in addition to the Properties identified in Exhibit A) in which (i) Fox owns or controls licensing and merchandising rights, for which Fox determines in its sole discretion to grant to any third party any licensing rights for the development and distribution of wireless products, and (ii) which theatrical motion pictures Fox reasonably deems to be a Major Release consistent with its past practices.",ROFR/ROFO/ROFN,Yes
"If a substantial portion of the assets or controlling stock in LicenseeÕs business is sold or transferred, or if there is a substantial change in LicenseeÕs management, or if LicenseeÕs property is expropriated, confiscated or nationalized by any government or if any government assumes de facto control of LicenseeÕs business, in whole or in part, Fox may terminate this Agreement upon 30 daysÕ notice to Licensee.",Change of Control,Yes
"Licensee shall be permitted to sublicense the rights and licenses granted herein to third party contractors of Licensee, solely for purposes of development and distribution of the Wireless Products on behalf of Licensee in accordance with this Agreement; provided that such third party contractors have entered into binding written agreements with Licensee that are no less protective of FoxÕs intellectual property rights than are the terms and conditions of this Agreement, and provided further that Licensee will not subcontract development of any video games hereunder without FoxÕs prior written approval of the third party game development contractor.",Anti-assignment,Yes
"Licensee may not assign any of its rights and obligations under this Agreement without the prior written consent of Fox; provided that Licensee may assign all of its rights and obligations hereunder to its successor in the event of a sale of all or substantially all of its assets or voting securities, or of the business unit associated with this Agreement",Anti-assignment,Yes
Any purported assignment or transfer except in accordance with the above shall be void and of no effect.,Anti-assignment,Yes
"Payments from Licensee to Fox: In consideration of the rights granted to Licensee pursuant to this Agreement, Licensee shall pay to Fox, or such other party as Fox may designate in writing, a royalty in the following amounts: (i) Major Releases: (A) Until such time as ***** percent (*****%) of an Individual Property Guarantee for a Major Release is recouped by Licensee, Fox shall earn, and credit against the Individual Property Guarantees, Royalties at the rate of ***** percent (*****%) of LicenseeÕs Gross Receipts from LicenseeÕs sale, license, distribution or other exploitation of the Wireless Products derived from the respective Major Release; and (B) Thereafter and until such time as ***** percent (*****%) of an Individual Property Guarantee for a Major Release is recouped by Licensee, Fox shall earn and Licensee shall pay to Fox Royalties at the rate of ***** percent (*****%) of LicenseeÕs Gross Receipts from LicenseeÕs sale, license, distribution or other exploitation of the Wireless Products derived from the respective Major Release; and (C) Thereafter (and for the remainder of the Term), Fox shall earn and Licensee shall pay to Fox Royalties at the rate of ***** percent (*****%) of LicenseeÕs Gross Receipts from LicenseeÕs sale, license, distribution or other exploitation of the Wireless Products derived from the respective Major Release.",Revenue/Profit Sharing,Yes
"Until such time as ***** percent (*****%) of an Individual Property Guarantee for a Targeted Release is recouped by Licensee, Fox shall earn, and credit against the Individual Property Guarantees, Royalties at the rate of ***** percent (*****%) of LicenseeÕs Gross Receipts from LicenseeÕs sale, license, distribution or other exploitation of the Wireless Products derived from the respective Targeted Release;",Revenue/Profit Sharing,Yes
"Thereafter (and for the remainder of the Term), Fox shall earn and Licensee shall pay to Fox Royalties at the rate of ***** percent (*****%) of LicenseeÕs gross receipts from LicenseeÕs sale, license, distribution or other exploitation of the Wireless Products derived from the respective Targeted Release.",Revenue/Profit Sharing,Yes
"In consideration of the rights granted by Licensee to Fox and VGSL pursuant to this Agreement, Fox shall pay to Licensee, or such other party as Licensee may designate in writing, a royalty in the following amounts: (i) Distribution in Japan. In the event that Fox distributes, licenses, or otherwise exploits the Wireless Products in Japan pursuant to Paragraph 2(c)(iii), or grants to any third party any rights to distribute the Wireless Products for the Wireless Platform to end users within Japan, or otherwise uses in Japan any elements of the Fox Intellectual Property (as defined in Paragraph 11(a) that are solely attributable to LicenseeÕs development efforts pursuant to this Agreement, Fox agrees to pay Licensee a royalty in the amount of ***** percent (*****%) of FoxÕs gross receipts for any such activity, which shall be defined as all monies actually received by Fox for the Wireless Products or other such elements of the PSM, less any Deductions.",Revenue/Profit Sharing,Yes
"As set forth in Paragraph 2(c)(ii) above, pursuant to the VGSL Agreement, VGSL will remit directly to Fox FoxÕs contractual share (pursuant to the VGSL Agreement) of all revenue from sales of the Wireless Products by VGSL in the VGSL Territories (""VGSL Revenue"").",Revenue/Profit Sharing,Yes
Fox will remit all VGSL Revenue to Licensee and such VGSL Revenue shall be treated as Gross Receipts for the purpose of this Agreement.,Revenue/Profit Sharing,Yes
"Licensee acknowledges that VGSL will be responsible for making pricing decisions for the Wireless Products distributed through VGSL, provided that Fox will not agree to any reduction in the share of revenue it receives from VGSL, other than the ***** percent (*****%) reduction in FoxÕs revenue share for late delivery provided for in the current version of the VGSL Agreement.",Price Restrictions,Yes
"Licensee furthermore shall use all commercially reasonable efforts to achieve the following market penetration targets in Europe for the Major Releases (""Market Penetration Targets""): (1) distribution of the Wireless Products for the Major Releases through CSPÕs that hold at least ***** (*****%) of the subscribers in Western Europe during the ***** of this Agreement_ and (2) distribution of the Wireless Products for the Major Releases through CSPÕs that hold at least ***** percent (*****%) of the subscribers in Western Europe during the ***** of this Agreement. If",Minimum Commitment,Yes
Licensee fails to reach the Market Penetration Targets Fox shall in its sole discretion have the right to terminate LicenseeÕs exclusivity under this Agreement.,Minimum Commitment,Yes
A minimum of: 12-D Java Game in connection with the initial theatrical release 1 3-D Java Game in connection with the DVD release 5 Java Applications (ÔScreensaversÕ) (2 3-D Screensavers and 3 2-D Screensavers) in connection with the initial theatrical release 5 MMS 10 Wallpapers 5 Voicetones,Minimum Commitment,Yes
"A minimum of: 1 2-D Java Game, which shall include mutually agreed upon 3-D elements 1 Java Application (ÔScreensaverÕ) where feasible 5 MMS 10 Wallpapers 5 Voicetones",Minimum Commitment,Yes
A minimum of: 1 Java Game (2-D or 3-D to be mutually agreed) 1 Java Application (ÔScreensaverÕ) where feasible 5 MMS 10 Wallpapers 5 Voicetones,Minimum Commitment,Yes
"A minimum of: 1 Java Game (2-D or 3-D to be mutually agreed provided that if the parties are unable to reach an agreement, LicenseeÕs decision will prevail) 1 Java Application (ÔScreensaverÕ) where feasible 5 MMS 10 Wallpapers 5 Voicetones",Minimum Commitment,Yes
"A minimum of: 1 Java Game (2-D or 3-D to be mutually agreed provided that if the parties are unable to reach an agreement, LicenseeÕs decision will prevail) 1 Java Application (ÔScreensaverÕ) where feasible 5 MMS 10 Wallpapers 5 Voicetones, if talent agreements so allow",Minimum Commitment,Yes
"Up to: 1 Java Game (2-D or 3-D to be mutually agreed provided that if the parties are unable to reach an agreement, LicenseeÕs decision will prevail) 1 Java Application (ÔScreensaverÕ) where feasible 5 MMS 10 Wallpapers 5 Voicetones, if talent agreements so allow",Volume Restriction,Yes
"Fox shall own all Intellectual Property Rights in and to any derivative works made from the Properties, whether or not used in the Wireless Products, including without limitation design documents, graphics, animation, music, packaging, advertising, promotional and other artwork used in connection with the development and distribution of the Wireless Products but at all times excluding the Licensee Materials as defined in Paragraph 11(c) below (collectively, the ""Fox Intellectual Property"").",IP Ownership Assignment,Yes
Licensee acknowledges and agrees Fox shall be the exclusive owner of these rights as a work made for hire.,IP Ownership Assignment,Yes
"All materials created hereunder shall be prepared by an employee-for-hire of Licensee under LicenseeÕs sole supervision, responsibility and monetary obligation, or, if third parties who are not employees of Licensee, including without limitation all software developers developing the Wireless Products contribute to the creation of any Fox Intellectual Property, Licensee shall obtain from such third parties a full written assignment of rights so that all right, title and interest in the Fox Intellectual Property shall vest in Fox.",IP Ownership Assignment,Yes
"Licensee hereby does expressly assign to Fox any and all rights of paternity or integrity, rights to claim authorship, to object to any distortion, mutilation or other modification of, or other derogatory actions in relation to the PSM, the Fox Intellectual Property, and any of FoxÕs Intellectual Property Rights in and to the PSM and or the Fox Intellectual Property and any derivative works thereof, whether or not such would be prejudicial to FoxÕs honor or reputation, and any similar right, existing under judicial or statutory law of any country in the world, or under any treaty (""Moral Rights""), regardless of whether such right is denominated or generally referred to as a moral right.",IP Ownership Assignment,Yes
"Licensee hereby does irrevocably transfer and assign to Fox any and all Moral Rights that Licensee may have in FoxÕs Intellectual Property Rights in and to the PSM and the Fox Intellectual Property and any derivative works thereof and shall cause LicenseeÕs employees and contractors, including LicenseeÕs developers of the Wireless Products, to do likewise.",IP Ownership Assignment,Yes
"Fox grants to Licensee a limited, exclusive (except as otherwise may be provided in this Agreement), non-transferable (except as permitted in Paragraph 17(d)) right and license to use, make, have made (as set forth in Paragraph 1(a)(i) below), reproduce, modify, and create derivative works of Wireless Content License Agreement Multiple Properties / Sorrent, Inc. / Final PLZ   *****  The omitted portions of this exhibit have been filed with the Securities and Exchange Commission pursuant to a request for confidential treatment under Rule 406 promulgated under the Securities Act of 1933. -1-   Source: GLU MOBILE INC, S-1/A, 3/19/2007 the PSM in each Property, solely for the purpose of developing the wireless applications specifically set forth for each of the Properties on Exhibits B through M attached hereto (""Wireless Products""), some of which Wireless Products are defined in the Glossary attached hereto as Exhibit N.",License Grant,Yes
"Furthermore, Fox grants to Licensee a limited, exclusive (except as may otherwise be provided in this Agreement), non-transferable (except as permitted in Paragraph 17(d)) right and license to make, have made, reproduce, modify, create derivative works of, advertise, promote, distribute, sell and license the Wireless Products, including any PSM included therein, solely (i) for use on mobile or cellular telephones (the ""Wireless Platform""); (ii) in the Territory (as defined in Paragraph 3), (iii) during the Term (as defined in Paragraph 4), (iv) for distribution by Licensee through the Distribution Channels (as defined in Paragraph 2(c)) granted herein; and (v) by means of periodic subscription fee, a per-download basis, or through a retail purchase.",License Grant,Yes
"Except as otherwise specifically stated herein with respect to the Wireless Products, Licensee shall have no right to develop, manufacture, reproduce, distribute, sell or exploit any other products based on the PSM or the Property.",License Grant,Yes
"Subject to FoxÕs compliance with the terms and conditions of this Agreement, including its payment obligations in accordance with Section 7, Licensee hereby grants to Fox a limited, non-exclusive, non-transferable (except as permitted in Section 17(d)), right to distribute Licensee Materials (as defined in Paragraph 11 (c)) to VGSL and T-Mobile, solely as incorporated into Wireless Products, and to authorize VGSL and T-Mobile to distribute such Wireless Products to end users outside of the United States",License Grant,Yes
"Licensee hereby grants all licenses to Fox to enable Fox to provide Wireless Products to VGSL and T-Mobile for distribution to VGSL and T-Mobile subscribers outside of the United States in accordance with the terms of this Agreement, and shall further deliver such Wireless Products to VGSL and T-Mobile on behalf of Fox.",License Grant,Yes
"In the event Fox provides such termination notice to Licensee, Licensee hereby grants Fox a license to the Licensee Materials in order for Fox to distribute the Wireless Products that Licensee has developed for distribution in Japan prior to such termination, either directly or through a third-party.",License Grant,Yes
"Furthermore, Fox grants to Licensee a limited, exclusive (except as may otherwise be provided in this Agreement), non-transferable (except as permitted in Paragraph 17(d)) right and license to make, have made, reproduce, modify, create derivative works of, advertise, promote, distribute, sell and license the Wireless Products, including any PSM included therein, solely (i) for use on mobile or cellular telephones (the ""Wireless Platform"")_ (ii) in the Territory (as defined in Paragraph 3), (iii) during the Term (as defined in Paragraph 4), (iv) for distribution by Licensee through the Distribution Channels (as defined in Paragraph 2(c)) granted herein_ and (v) by means of periodic subscription fee, a per-download basis, or through a retail purchase.",Non-Transferable License,Yes
"Subject to FoxÕs compliance with the terms and conditions of this Agreement, including its payment obligations in accordance with Section 7, Licensee hereby grants to Fox a limited, non-exclusive, non-transferable (except as permitted in Section 17(d)), right to distribute Licensee Materials (as defined in Paragraph 11 (c)) to VGSL and T-Mobile, solely as incorporated into Wireless Products, and to authorize VGSL and T-Mobile to distribute such Wireless Products to end users outside of the United States.",Non-Transferable License,Yes
"Notwithstanding Paragraph 15(b), in the event of termination of this Agreement, Licensee shall have a period of ***** from the date of such termination (unless such termination occurs less than ***** prior to the expiration of this Agreement in which case the time period shall be shortened accordingly so as not to exceed the date of expiration) in which to sell-off existing inventory of Wireless Products already in the Distribution Channels (""Sell Off Period"").",Post-termination Services,Yes
"Any revenues, credits or other consideration received by Licensee for the Wireless Products during the Sell Off Period will be subject to LicenseeÕs obligation to pay Fox Royalties pursuant to Paragraph 7 above.",Post-termination Services,Yes
"In the event of termination or expiration of this Agreement or LicenseeÕs loss of exclusive rights under this Agreement, Fox shall be free to create and exploit, or have a third party create or exploit, wireless products which may be similar to those developed and distributed by Licensee pursuant to this Agreement for the Properties.",Post-termination Services,Yes
"On reasonable notice, each party shall have the right to examine said books and records; provided that such examination will be made no more than twice in any given twelve month period, and shall be made during normal business hours.",Audit Rights,Yes
"In the event of termination of this Agreement and without limitation of FoxÕs rights and remedies all of which are expressly reserved, the following payment penalties shall apply: (i) if termination occurs in the first year of the Term, Licensee shall forfeit any Guarantee paid, and shall immediately pay any remaining Guarantee, up to the amount of ***** dollars (US$*****), and any Guarantee payments made in excess of ***** dollars ($*****) shall be refunded by Fox to Licensee_ and (ii) if termination occurs in the second year of the Term, Licensee shall forfeit any Guarantee paid, and shall immediately pay any remaining portion of the Guarantee then unpaid, up to the amount of ***** dollars (US$*****). Any forfeited Guarantees will apply as a set off against any additional damages claimed by Fox.",Liquidated Damages,Yes
"Licensee acknowledges that Fox is the owner of all right, title and interest in and to the PSM and the Properties, and further acknowledges the great value of the goodwill associated with the PSM and the Properties and that the PSM and the Properties have acquired secondary meaning in the mind of the public and that the trademarks and copyrights included in the PSM and the Properties, and the registrations thereof, are valid and subsisting, and further agrees that it shall not during the Term of this Agreement or at any time thereafter dispute or contest directly or indirectly, or do or cause to be done any act which in any way contests, impairs or tends to impair FoxÕs Wireless Content License Agreement Multiple Properties / Sorrent, Inc. / Final PLZ -19- Source: GLU MOBILE INC, S-1/A, 3/19/2007 exclusive rights and title to the PSM and the Properties, or the validity thereof or the validity of this Agreement, and shall not assist others in so doing.",Covenant Not To Sue,Yes
"Licensee acknowledges that Fox is the owner of all right, title and interest in and to the PSM and the Properties, and further acknowledges the great value of the goodwill associated with the PSM and the Properties and that the PSM and the Properties have acquired secondary meaning in the mind of the public and that the trademarks and copyrights included in the PSM and the Properties, and the registrations thereof, are valid and subsisting, and further agrees that it shall not during the Term of this Agreement or at any time thereafter dispute or contest directly or indirectly, or do or cause to be done any act which in any way contests, impairs or tends to impair FoxÕs exclusive rights and title to the PSM and the Properties, or the validity thereof or the validity of this Agreement, and shall not assist others in so doing.",Covenant Not To Sue,Yes
