Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
MANUFACTURING AND SUPPLY AGREEMENT,Document Name,MANUFACTURING AND SUPPLY AGREEMENT
"NOTWITHSTANDING ANY OTHER PROVISION OF THIS AGREEMENT TO THE CONTRARY, EXCEPT FOR DAMAGES OR CLAIMS ARISING OUT OF (I) A BREACH OF SECTION 13 OF THIS AGREEMENT, (II) CUSTOMER LIABILITIES PURSUANT TO, AND SUBJECT TO THE LIMITATIONS SET FORTH IN, SECTION 2.5(E), (III) A PARTYÕS OR ITS PERSONNELÕS GROSS NEGLIGENCE, FRAUD OR WILLFUL MISCONDUCT, (IV) A PARTYÕS WILLFUL BREACH OF THIS AGREEMENT, OR (V) A PARTYÕS INDEMNIFICATION OBLIGATION WITH RESPECT TO THIRD PARTY CLAIMS UNDER SECTION 10.1 OR SECTION 10.2, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY OR ANY INDEMNIFIED PARTY HEREUNDER FOR ANY CONSEQUENTIAL DAMAGES, SPECIAL DAMAGES, INCIDENTAL OR INDIRECT DAMAGES, LOSS OF REVENUE OR PROFITS, DIMINUTION IN VALUE, DAMAGES BASED ON MULTIPLE OF REVENUE OR EARNINGS OR OTHER PERFORMANCE METRIC, LOSS OF BUSINESS REPUTATION, PUNITIVE AND EXEMPLARY DAMAGES OR ANY SIMILAR DAMAGES ARISING OR RESULTING FROM OR RELATING TO THIS AGREEMENT, WHETHER SUCH ACTION IS BASED ON WARRANTY, CONTRACT, TORT (INCLUDING NEGLIGENCE OR STRICT LIABILITY) OR OTHERWISE.",Uncapped Liability,Yes,Cap on Liability,Yes
"In the event of a Triggering Event, Manufacturer shall be liable for any actual amounts that Customer is contractually required to pay to any Third-Party customer of Customer that result from CustomerÕs inability to supply the affected Product to such Third-Party customer as a direct result of such Triggering Event; provided that (1) Customer shall provide to Manufacturer appropriate evidence of such amounts (including invoices from the applicable customers) and the applicable contractual requirements (redacted, in each case, of information pertaining to pricing and other commercial terms that are not directly related to the claimed amounts), it being understood and agreed that, upon request, Manufacturer will enter into customary confidentiality arrangements prior to such information being shared and (2) Manufacturer shall not be liable for any such amounts in the aggregate in any Fiscal Year in excess of the aggregate Conversion Cost Markup during such Fiscal Year with respect to all Products manufactured at the Facility that is the subject of the applicable Triggering Event. ""Conversion Cost Markup"" means, for a Product for any Fiscal Year, ten percent (10%) of the product of (A) ManufacturerÕs Standard Conversion Cost for such Product for such Fiscal Year and (B) the quantity of such Product ordered by Customer for delivery during such Fiscal Year.",Cap on Liability,Yes
"Where a Party or any member of its Group is required by this Agreement to reimburse or indemnify the other Party or any member of its Group for any cost or expense, the reimbursing or indemnifying Party (or the applicable member of its Group) shall reimburse or indemnify the other Party (or the applicable member of its Group) for the full amount of the cost or expense, inclusive of any amounts in respect of VAT imposed on that amount to the extent properly reflected on a valid invoice, except to the extent that the reimbursed or indemnified Party reasonably determines that it (or such member of its Group), or a member of the same group as it (or such member of its Group) for VAT purposes, is entitled to credit for or repayment of that VAT from any relevant taxing authority.",Cap on Liability,Yes
"Notwithstanding the foregoing clauses (i) through (v) of this Section 5.2(e) or anything else contained in this Agreement or any Facility Addendum or Quality Agreement, Manufacturer shall have no liability under this Agreement (including under Section 4.11(b) or Section 10.1) or any Facility Addendum or Quality Agreement for any Non-Complying Product which is non-complying due to any Non-Complying Customer-Supplied Materials or Non-Complying Buy-Sell Materials.",Cap on Liability,Yes
"Notwithstanding the foregoing, Manufacturer shall not be liable for Losses described in Section 10.1(a) to the extent such Losses are: (i) caused by the gross negligence, fraud or willful misconduct of a Customer Indemnified Party in connection with the performance or non-performance of this Agreement; (ii) caused by the breach of any of the terms of this Agreement or a Facility Addendum by a Customer Indemnified Party, including in connection with the performance or non-performance of this Agreement or (iii) subject to CustomerÕs indemnification obligations pursuant to Section 10.2.",Cap on Liability,Yes
"Notwithstanding the foregoing, Customer shall not be liable for Losses described in Section 10.2(a) to the extent such Losses are: (i) caused by the gross negligence, fraud or willful misconduct of a Manufacturer Indemnified Party in connection with the performance or non-performance of this Agreement; (ii) caused by the breach of any of the terms of this Agreement or any Facility Addendum by a Manufacturer Indemnified Party or (iii) are subject to ManufacturerÕs indemnification obligation pursuant to Section 10.1.",Cap on Liability,Yes
"Furthermore, Customer shall not be liable for Losses pursuant to Section 10.2(a)(iii) above to the extent such infringement or misappropriation is caused by ManufacturerÕs unauthorized use or unauthorized modification of any Customer Property, Customer- Owned Improvements and Developments, Buy-Sell Materials or Customer-Supplied Materials.",Cap on Liability,Yes
"accordance with this Agreement by providing written notice of such rejection to Manufacturer within seventy-five (75) days following CustomerÕs receipt of any Delivery of Product hereunder; provided, however, that Customer may, until the expiry date for a Product, provide notice of rejection of any Delivery of such Product having (i) latent defects, (ii) any defects that are not reasonably discoverable by Customer through standard inspection and testing of Products or (iii) defects caused by the breach by Manufacturer of any of its representations or warranties under this Agreement (collectively, ""Latent Defects""); provided, further, that, and notwithstanding the foregoing, Customer shall notify Manufacturer within sixty (60) days after Customer first becomes aware of any such Latent Defect.",Warranty Duration,Yes
"Manufacturer may reject any Non-Complying Product by (i) providing Customer with no less than sixty (60) daysÕ prior written notice of ManufacturerÕs intention to reject such Non-Complying Product along with the documentation set forth in Section 4.7, (ii) meeting with Customer at CustomerÕs request to discuss the basis for the proposed rejection of the subject Non-Complying Product, and (iii) providing Customer with notice of rejection in the event that Manufacturer rejects the subject Non- Complying Product at the end of such sixty (60) day period (or such other time frame as the parties may agree upon).",Warranty Duration,Yes
"During the Term, Manufacturer shall self-insure or shall provide and maintain such insurance coverage, in minimum types and amounts as described below in this Section 11.",Insurance,Yes
"Any and all deductibles or retentions for such insurance policies shall be assumed by, for the account of, and at ManufacturerÕs sole risk.",Insurance,Yes
"To the extent of the liabilities assumed by Manufacturer under this Agreement, such insurance policies of Manufacturer shall be primary and non-contributing with respect to any other similar insurance policies available to Customer or its Affiliates.",Insurance,Yes
"Manufacturer shall furnish to Customer certificates of insurance (electronic is acceptable), evidencing the required insurance coverage, upon execution of this Agreement and annually, thereafter.",Insurance,Yes
"The insurance required under this Section 11 shall be written for not less than any limits of liability specified herein or as required by applicable Law, whichever is greater.",Insurance,Yes
"All insurance carriers shall have a minimum of ""A-"" A.M. Best rating.",Insurance,Yes
"Manufacturer shall have the right to provide the total limits required by any combination of self-insurance, primary and umbrella/excess coverage; said insurance to include the following: (a) Insurance for liability under the workersÕ compensation or occupational disease Laws of any state of the United States (or be a qualified self-insurer in those states of the United States) or otherwise applicable with respect to Persons performing the services and employerÕs liability insurance covering all claims by or in respect to the employees of Manufacturer, providing: (i) Coverage for the statutory limits of all claims under the applicable State WorkersÕ Compensation Act or Acts. If a Facility Addendum will result in exposures under the U.S. Longshore and Harbor WorkersÕ Compensation Act and its amendments (work dockside or on water), the Jones Act (involving seamen, masters and crew of vessels) or the Federal EmployersÕ Liability Act (railroad exposure), coverage shall be extended to include insurance coverages mandated thereby; (ii) EmployerÕs liability insurance with a limit of not less than $1,000,000; (iii) Manufacturer warrants that all of its employees involved in this Agreement are covered by statutory workersÕ compensation; and -65- Source: UPJOHN INC, 10-12G, 1/21/2020(iv) Where allowed by Applicable Law, Customer and its Affiliates shall be provided a waiver of subrogation, except for losses due to the sole negligence of Manufacturer.",Insurance,Yes
"Commercial general liability insurance with the following limits and forms/endorsements: Each Occurrence: $2,000,000 (i) Occurrence form including premises and operations coverage, property damage, liability, personal injury coverage, products and completed operations coverage, and transit. (ii) To the extent of ManufacturerÕs indemnification obligations, Customer and its Affiliates shall be additional insureds via ISO form CG20101185 or its equivalent.",Insurance,Yes
"Automobile and Truck Liability Insurance: $2,000,000 combined single limit for bodily injury and property damage arising out of all owned, non- owned and hired vehicles, including coverage for all automotive and truck equipment used in the performance of this Agreement and including the loading and unloading of same.",Insurance,Yes
"Umbrella (excess) liability coverage in an amount not less than $3,000,000 per occurrence and in the aggregate.",Insurance,Yes
