Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
DISTRIBUTORSHIP AGREEMENT,Document Name,DISTRIBUTORSHIP AGREEMENT
"This Agreement may be terminated by either Party upon [***] written notice to the other Party in the event that the other Party undergoes a Change of Control; provided, however, that such termination notice shall only be effective if delivered within [***] after the later of the occurrence of such Change of Control or the date the Party undergoing the Change of Control delivers written notice thereof to the other Party.",Change of Control,Yes
"Except as expressly provided in this Section 14.3, neither this Agreement nor any rights or obligations hereunder may be assigned or otherwise transferred by either Party without the prior written consent of the other Party, which consent shall not be unreasonably withheld; provided, however, that either Party may assign this Agreement and its rights and obligations hereunder without the other PartyÕs consent: (a) in connection with the transfer or sale of all or substantially all of the business of the assigning Party to a Third Party, whether by merger, sale of stock, sale of assets or otherwise; provided that in the event of a transaction (whether this Agreement is actually assigned or is assumed by the acquiring party by operation of law (e.g., in the context of a reverse triangular merger)), unless otherwise agreed with the acquiring party in writing, intellectual property of the acquiring party shall not be included in the intellectual property to which the other Party has access under this Agreement; or (b) to an Affiliate, provided that the assigning Party shall remain liable and responsible to the non_assigning Party hereto for the performance and observance of all such duties and obligations by such Affiliate.",Change of Control,Yes,Anti-assignment,Yes
"For the avoidance of doubt, in the event that either Party assigns this Agreement pursuant to this Section 14.3(a), the other Party shall have the right to terminate this Agreement pursuant to Section 12.2(i).",Anti-assignment,Yes
Any assignment not in accordance with this Section 14.3 will be null and void.,Anti-assignment,Yes
"During the Distribution Term, and in addition to the consideration provided pursuant to Sections 6.1, 6.2, 6.3, and 6.4, for all Product supplied by Zogenix to Distributor under purchase orders submitted pursuant to the Supply Agreement in a particular Fiscal Year, Distributor shall pay to Zogenix a transfer price per unit of Product supplied (the ""Transfer Price"") equal to the sum of (i) [***] of the Fully-Burdened Manufacturing Cost per unit of Product for such Fiscal Year, (ii) [***] of aggregate annual Net Sales for such Fiscal Year, and (iii) the applicable markup percent of the applicable aggregate Net Price for such Fiscal Year, which markup percent is determined based on the incremental amount of Product ordered in such Fiscal Year as set forth below, as may be adjusted pursuant to Section 6.5(b): Amount of Product Supplied per Fiscal Year Net Price Markup For the portion of Product supplied less than or equal to the equivalent of [***] in Net Sales in such Fiscal Year [***] For the portion of Product supplied in excess of the equivalent of [***] in Net Sales and less than or equal to the equivalent of [***] in Net Sales in such Fiscal Year [***] For the portion of Product supplied in excess of the equivalent of [***] in Net Sales and less than or equal to the equivalent of [***] in Net Sales in such Fiscal Year [***] For the portion of Product supplied in excess of the equivalent of [***] in Net Sales in such Fiscal Year [***]",Revenue/Profit Sharing,Yes
"Following the expiration of the Distribution Term and during the remaining Term of this Agreement, for all Product supplied by Zogenix to Distributor under purchase orders submitted pursuant to the Supply Agreement in a particular Fiscal Year, Distributor shall pay to Zogenix the Transfer Price per unit of Product supplied shall be equal to the sum of (i) [***] of the Fully-Burdened Manufacturing Cost per unit of Product for such Fiscal Year, and (ii) [***] of aggregate annual Net Sales for such Fiscal Year.",Revenue/Profit Sharing,Yes
"Unless this Agreement is terminated by Zogenix under Section 12.2(c), at ZogenixÕs option, which shall be exercised by written notice to Distributor, to the extent permitted under Applicable Laws, Distributor shall assign or cause to be assigned to Zogenix or its designee (or to the extent not so assignable, Distributor shall take all reasonable actions to make available to Zogenix or its designee the benefits of), at ZogenixÕs cost, all Regulatory Filings and Regulatory Approvals for the Product in the Field in the Territory.",IP Ownership Assignment,Yes,Post-termination Services,Yes
"Notwithstanding the foregoing, if Zogenix asks Distributor to solely conduct any additional Territory-specific Development activities which are urgently required by the MHLW for the MAA in the Territory, Distributor shall retain co-ownership with Zogenix of any Data generated solely by Distributor.",Joint IP Ownership,Yes
"Zogenix and Distributor shall each own an undivided right, title, and interest in and to any and all Inventions discovered, developed, identified, made, conceived or reduced to practice jointly by or on behalf of Zogenix under or in connection with this Agreement and by Distributor or its Affiliates or Sub-distributors or its other subcontractors in the Territory and under or in connection with this Agreement (""Joint Invention"").",Joint IP Ownership,Yes
"In the event that either Zogenix or Distributor intends to file a patent application containing a Joint Invention, such Party shall promptly notify the other Party of such intention and shall provide a draft of any such patent application to such other Party [***] before filing such patent application with any patent office and the Parties shall negotiate in good faith concerning the terms and conditions of a joint patent agreement.",Joint IP Ownership,Yes
"Subject to the terms and conditions of this Agreement, Zogenix hereby appoints Distributor, and Distributor accepts appointment, as the exclusive distributor (even as to Zogenix) of the Product in the Field in the Territory during the Term, and grants to Distributor the exclusive rights to maintain Regulatory Approval of (while Distributor is the MAH Party), package, promote, market, offer for sale, sell, import and distribute the Product in the Field in the Territory during the Term.",License Grant,Yes
"Subject to the terms and conditions of this Agreement, Zogenix hereby grants to Distributor an co-exclusive, royalty-free, limited right under the Product Trademarks solely to promote, market, sell, offer for sale, import, package and distribute the Product in Field in the Territory in accordance with the terms of this Agreement.",License Grant,Yes
"Subject to the terms and conditions of this Agreement, Zogenix hereby grants to Distributor a non-exclusive, royalty-free, limited right under the Zogenix Trademarks solely to promote, market, sell, offer for sale, import, package and distribute the Product in Field in the Territory in accordance with the terms of this Agreement.",License Grant,Yes
"Distributor hereby grants Zogenix an irrevocable, perpetual, world-wide, royalty-free, fully paid-up, non-exclusive license with the right to grant sublicenses under such Distributor Inventions and any patents or patent applications claiming or disclosing such Distributor Inventions.",License Grant,Yes,Affiliate License-Licensee,Yes,Irrevocable or Perpetual License,Yes
"In the event that Zogenix is the holder of the Regulatory Approval for the Product in the Territory at the time of termination pursuant to Section 12.2(c) by Zogenix or Section 12.2(d) by Distributor or expiration pursuant to Section 12.1, such license agreement shall also include a grant by Zogenix to Distributor of the right to reference and use all Data and Regulatory Filings (including all Regulatory Approvals), such reference and use solely for maintaining Regulatory Approval and commercializing the Product in the Territory in the Field.",License Grant,Yes
Such license shall also include ZogenixÕs agreement to use Commercially Reasonable Efforts to enable Distributor to establish manufacturing capability for the Product in or for the Territory at DistributorÕs cost.,License Grant,Yes
"Distributor hereby grants Zogenix an irrevocable, perpetual, royalty-free, fully paid-up, exclusive license with the right to grant sublicenses to use such Data solely generated and co-owned by Distributor outside of the Territory and a co-exclusive license in the Territory upon expiration or termination of the Agreement.""Data"" means any and all scientific, technical or test data pertaining to the Product in the Field that is generated by or under the authority of Distributor or its Affiliates, Sub-distributors or other subcontractors or by or under the authority of Zogenix or Zogenix ex-Territory Distributors before or during the Term, including research data, clinical pharmacology data, CMC data (including analytical and quality control data and stability data), preclinical data, clinical data and all submissions made in association with an IND or MAA filed in or outside the Territory with respect to the Product in the Field, in each case to the extent such data either (a) is Controlled by Zogenix on the Effective Date or (b) comes within a PartyÕs Control during the Term.",Affiliate License-Licensor,Yes
"In the event that Zogenix terminates this Agreement pursuant to Section 12.2(c) or Distributor terminates this Agreement pursuant to Section 12.2(d), or after the expiration of this Agreement in accordance with Section 12.1, Zogenix shall negotiate in good faith with Distributor a license agreement for Distributor to make, use and sell the Product in the Field in the Territory under the Zogenix Technology, Zogenix Trademarks and the Product Trademarks.",Post-termination Services,Yes
"Unless this Agreement is terminated by Zogenix under Sections 12.2(f), (g)(i), (h)(ii), (j)(ii), or (j)(iii), or by Distributor under Sections 12.2(d), (g), or (l), or terminated automatically under Section 12.2(k), Distributor shall continue, to the extent that Distributor continues to have Product inventory, to fulfill orders received from customers for Product in the Territory until up to [***] after the date on which Zogenix notifies Distributor in writing that Zogenix has secured an alternative distributor for the Product in the Territory, but in no event for more for than [***] after the effective date of termination.",Post-termination Services,Yes
"Unless this Agreement is terminated by Zogenix under Section 12.2(c), Distributor shall use Commercially Reasonable Efforts to cooperate with Zogenix and/or its designee to effect a smooth and orderly transition in the registration and Commercialization of the Product in the Field in the Territory during the applicable notice period under Section 12.2 and following the effective date of termination.",Post-termination Services,Yes
"Unless this Agreement is terminated by Zogenix under Section 12.2(c), at the written request of Zogenix, Distributor shall assign to Zogenix any Product-specific Third Party agreements, to the furthest extent possible, provided that such assignment is permitted under the Product-specific agreement or is otherwise agreed by the applicable Third Party.",Post-termination Services,Yes
Such records shall be subject to inspection in accordance with Section 7.5.,Audit Rights,Yes
"Upon reasonable prior written notice, Distributor shall permit an independent, certified public accountant selected by Zogenix and reasonably acceptable to Distributor, which acceptance will not be unreasonably withheld or delayed, to audit or inspect those books or records of Distributor and its Affiliates and Sub-distributors that relate to Net Sales for the sole purpose of verifying: (a) the payments due hereunder and payments due under the Supply Agreement; (b) the withholding taxes, if any, required by Applicable Laws to be withheld; and (c) DistributorÕs compliance with Sections 10.1 and 10.2. Such accountant will disclose to Zogenix only the amount and accuracy of payments reported and actually paid or otherwise payable under this Agreement or the Supply Agreement, and will send a copy of the report to Distributor at the same time it is sent to Zogenix. Prompt adjustments (including 28 US-DOCS\105216871.19 Source: ZOGENIX, INC., 10-Q, 5/9/2019interest under Section 7.6 for underpaid amounts) shall be made by the Parties to reflect the results of such audit.",Audit Rights,Yes
"Upon reasonable prior written notice, Distributor shall permit an independent, certified public accountant selected by Zogenix and reasonably acceptable to Distributor, which acceptance will not be unreasonably withheld or delayed, to audit or inspect those books or records of Distributor and its Affiliates and Sub-distributors that relate to Net Sales for the sole purpose of verifying: (a) the payments due hereunder and payments due under the Supply Agreement; (b) the withholding taxes, if any, required by Applicable Laws to be withheld; and (c) DistributorÕs compliance with Sections 10.1 and 10.2. Such accountant will disclose to Zogenix only the amount and accuracy of payments reported and actually paid or otherwise payable under this Agreement or the Supply Agreement, and will send a copy of the report to Distributor at the same time it is sent to Zogenix. Prompt adjustments (including interest under Section 7.6 for underpaid amounts) shall be made by the Parties to reflect the results of such audit.",Audit Rights,Yes
"Such inspections may be made no more than once each Fiscal Year (unless an audit or inspection reveals a material inaccuracy in reports made under this Agreement, in which case it may be repeated within such Fiscal Year), and during normal business hours, with reasonable efforts to minimize disruption of DistributorÕs normal business activities.",Audit Rights,Yes
"Inspections conducted under this Section 7.5 shall be at the expense of Zogenix, unless a variation or error producing an underpayment in amounts payable exceeding [***] of the amount paid for a period covered by the inspection is established, in which case all reasonable costs relating to the inspection for such period shall be paid by Distributor.",Audit Rights,Yes
"Zogenix will have the right, upon reasonable prior written notice and during DistributorÕs regular business hours, to audit DistributorÕs and its AffiliatesÕ books and records by an independent certified public accounting firm of recognized international standing, and Distributor shall ensure that Zogenix has the right to audit its Sub-distributorsÕ and subcontractorsÕ books and records, to investigation potential violations of any of the representations, warranties or covenants in this Section 10.2, the FCPA or other Applicable Laws or DistributorÕs compliance policies.",Audit Rights,Yes
"Such audit may be made no more than once each Fiscal Year (unless an audit reveals a violation under this Agreement, in which case an additional audit may be conducted within such Fiscal Year);",Audit Rights,Yes
"Not more than once per Fiscal Year or as otherwise agreed by the Parties, and subject to the terms of the applicable agreement between Zogenix and its Third Party manufacturers, Zogenix shall, at DistributorÕs request, conduct GMP audits of the Third Party manufacturers and, if applicable, exercise such other audit rights that Zogenix may have under such agreements, and shall disclose to Distributor the results of such audits.",Audit Rights,Yes
"NEITHER PARTY SHALL BE ENTITLED TO RECOVER FROM THE OTHER PARTY ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL OR PUNITIVE DAMAGES IN CONNECTION WITH THIS AGREEMENT_ provided however, that this Section 10.5 shall not be construed to limit (a) either PartyÕs right to special, incidental or consequential damages for the other PartyÕs breach of Article 8 or (b) either PartyÕs indemnification rights or obligations under Article 11.",Uncapped Liability,Yes
Neither Party will be liable to the other for Indirect Losses in connection with any recall or withdrawal pursuant to this Section.,Cap on Liability,Yes
"NEITHER PARTY SHALL BE ENTITLED TO RECOVER FROM THE OTHER PARTY ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL OR PUNITIVE DAMAGES IN CONNECTION WITH THIS AGREEMENT; provided however, that this Section 10.5 shall not be construed to limit (a) either PartyÕs right to special, incidental or consequential damages for the other PartyÕs breach of Article 8 or (b) either PartyÕs indemnification rights or obligations under Article 11.",Cap on Liability,Yes
"Each Party, at its own expense, shall maintain product liability and other appropriate insurance (or self- insure) in an amount consistent with industry standards during the Term.",Insurance,Yes
Each Party shall provide a certificate of insurance (or evidence of self-insurance) evidencing such coverage to the other Party upon written request.,Insurance,Yes
Distributor acknowledges ZogenixÕs exclusive ownership of the Zogenix Trademarks and agrees not to take any action inconsistent with such ownership.,Covenant Not To Sue,Yes
Distributor acknowledges ZogenixÕs exclusive ownership of the Product Trademarks and agrees not to take any action inconsistent with such ownership.,Covenant Not To Sue,Yes
"Zogenix shall have the right to terminate this Agreement immediately upon written notice to Distributor (i) if Distributor or any of its Affiliates or Sub-distributors, directly or indirectly through any Third Party, commences any interference or opposition proceeding with respect to, challenges the validity or enforceability of, or opposes any extension of or the grant of a supplementary protection certificate with respect to, any Zogenix Patent (or any related Patent owned or controlled by Zogenix outside the Territory); (ii) if Zogenix determines that Distributor or its Affiliates or Sub- distributors are, or have caused or shall cause any Zogenix Indemnitee to be, in violation of the FCPA or any other Applicable Laws; or (iii) if Zogenix decides to withdraw the Product from the market in the Territory or otherwise believes that the promotion of the Product in the Field in the Territory presents a substantial risk of harm or injury to consumers which risk is unacceptable according to established principles of medical ethics.",Covenant Not To Sue,Yes
