Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer
DEVELOPMENT AND OPTION AGREEMENT,Document Name,DEVELOPMENT AND OPTION AGREEMENT
"Harpoon shall not, and shall cause its Affiliates not to (a) directly or indirectly, develop, commercialize or otherwise exploit any Competing Product in any country or other jurisdiction in the Territory, or (b) license, authorize, appoint, or otherwise enable any Third Party to directly or indirectly, develop, commercialize or otherwise exploit any Competing Product in any country or other jurisdiction in the Territory, except, in each case ((a) and (b)), as otherwise expressly provided in this Agreement.",Exclusivity,Yes
"AbbVie may terminate this Agreement in its entirety, or on a country or other jurisdiction -by-country or other jurisdiction basis, for any or no reason, upon ninety (90) daysÕ prior written notice to Harpoon.",Termination For Convenience,Yes
"Following the License Option Exercise Closing Date, if [***] owned or controlled by a Third Party in a particular country or jurisdiction is necessary to Exploit a Licensed Compound or Licensed Product, AbbVie shall have the first right, but not the obligation, to negotiate and enter into an agreement with a Third Party in order to obtain a license or right under such Patent or intellectual property right.",ROFR/ROFO/ROFN,Yes
"If AbbVie notifies Harpoon in writing within [***] after receipt of such copy that AbbVie wishes to receive a license or sublicense (as applicable) under, and be subject to the rights and obligations of, the Proposed Future In-Licensed Rights as they apply to AbbVie and this Agreement, then the Proposed Future In-Licensed Rights shall automatically be included in the Harpoon Patents and/or Harpoon Know-How (as applicable) hereunder and AbbVie agrees to abide by all applicable terms and conditions of such license, sublicense or other agreement, as it relates to AbbVie and this Agreement, including payment of any financial obligations based upon AbbVieÕs practice of such intellectual property rights.",ROFR/ROFO/ROFN,Yes
"If Harpoon decides not to prepare, file, prosecute, or maintain a Harpoon Patent or Joint Patent in a country or other jurisdiction in the Territory, Harpoon shall provide reasonable prior written notice to AbbVie of such intention (which notice shall, in any event, be given no later than [***] prior to the next deadline for any action that may be taken with respect to such Harpoon Patent or Joint Patent in such country or other jurisdiction), AbbVie shall thereupon have the option, in its sole discretion, to assume the control and direction of the preparation, filing, prosecution, and maintenance of such Harpoon Patent or Joint Patent at its expense in such country or other jurisdiction.",ROFR/ROFO/ROFN,Yes
"If AbbVie decides not to prepare, file, prosecute, or maintain a Product-Specific Patent or Joint Patent in a country or other jurisdiction in the Territory, AbbVie shall provide reasonable prior written notice to Harpoon of such intention (which notice shall, in any event, be given no later than [***] prior to the next deadline for any action that may be taken with respect to such Product-Specific Patent or Joint Patent in such country or other jurisdiction), and Harpoon shall thereupon have the option, in its sole discretion, to assume the control and direction of the preparation, filing, prosecution, and maintenance of such Product-Specific Patent or Joint Patent at its sole cost and expense in such country or other jurisdiction.",ROFR/ROFO/ROFN,Yes
"Notwithstanding the provisions of Section 5.8, if, during the Term, (a) Harpoon or any of its Affiliates acquires, as the result of an Acquisition, rights to a Competing Product, such Acquisition, and the development, manufacture or commercialization of such Competing Product thereafter, shall not constitute a breach of Section 5.8 if Harpoon or such Affiliate, as applicable, [***]; or (b) Harpoon undergoes a Change in Control and the relevant acquirer is either then commercializing a Competing Product, or has in development any Competing Product, such Change in Control, and the commercialization (or development and subsequent commercialization, if such Competing Product receives Regulatory Approval) of such Competing Product by such relevant acquirer or any of its Affiliates, shall not constitute a breach of Section 5.8; provided that such (x) acquirer Segregates the Competing Product and (y) AbbVie shall have the right, in its sole and absolute discretion, by written notice delivered to Harpoon (or its successor) at any time during the [***] following the written notice contemplated by Section 13.2.1, to (i) terminate any or all provisions of this Agreement providing for any delivery by AbbVie to Harpoon of Confidential Information of AbbVie relating to activities contemplated by this Agreement, save only for (A) Article 6, (B) information regarding sublicenses pursuant to Section 5.3, (C) information regarding the prosecution, enforcement, defense, litigation, infringement and licensing of Patents pursuant to (1) Sections 7.2.1, 7.2.3, 7.3.1, 7.3.5, 7.4, and 7.5.2, (2) solely with respect to Joint Patents, Sections 7.2.2, 7.3.2, and 7.5.3, and (3) solely with respect to Joint Patents and Harpoon Patents, Sections 7.3.4 and 7.5.1, (D) notice of any license pursuant to Section 5.9.2, (E) safety data pursuant to Section 8.1, (F) proposed disclosures pursuant to Section 9.5, (G) communications under Section 11.4 and (H) notices pursuant to Sections 11.3 and 13.1; and (ii) disband the JGC and terminate its activities, in which case the provisions set forth in the last sentence of Section 2.3 shall apply.",Change of Control,Yes
Harpoon (or its successor) shall provide AbbVie with written notice of any Change in Control of Harpoon or Acquisition by Harpoon within [***] following the closing date of such transaction.,Change of Control,Yes
"Without the prior written consent of the other Party, such consent not to be unreasonably withheld, conditioned, or delayed, neither Party shall sell, transfer, assign, delegate, pledge, or otherwise dispose of, whether voluntarily, involuntarily, by operation of law or otherwise, this Agreement or any of its rights or duties hereunder_ provided that either Party may make such an assignment without the other PartyÕs consent to its Affiliate or to a successor, whether in a merger, sale of stock, sale of assets or any other transaction, of the business to which this Agreement relates.",Anti-assignment,Yes
Any attempted assignment or delegation in violation of this Section 13.4 shall be void and of no effect.,Anti-assignment,Yes
"AbbVie may use one (1) or more of its Affiliates to perform its obligations and duties hereunder and such AbbVie Affiliates are expressly granted certain rights herein_ provided that each such Affiliate shall be bound by the corresponding obligations of AbbVie and, subject to an assignment to such Affiliate pursuant to Section 13.4, AbbVie shall remain liable hereunder for the prompt payment and performance of all their respective obligations hereunder.",Anti-assignment,Yes,Affiliate License-Licensee,Yes
"As further consideration for the rights granted to AbbVie hereunder, subject to Section 6.5.3, commencing upon the First Commercial Sale of a Licensed Product in the Territory, on a Licensed Product- by-Licensed Product basis, AbbVie shall pay to Harpoon a royalty on Net Sales of each Licensed Product in the Territory (excluding Net Sales of each Licensed Product in any country or other jurisdiction in the Territory for which the Royalty Term for such Licensed Product in such country or other jurisdiction has expired) during [***] at the following rates: Net Sales in the Territory of each Licensed Product in a [***] Royalty Rate For that portion of aggregate Net Sales of each Licensed Product[***] [***] For that portion of aggregate Net Sales of each Licensed Product[***] [***] For that portion of aggregate Net Sales of each Licensed Product[***] [***] With respect to each Licensed Product in each country or other jurisdiction in the Territory, [***].",Revenue/Profit Sharing,Yes
The maximum aggregate amount payable by AbbVie pursuant to this Section 6.3 is [***].,Price Restrictions,Yes
"For clarity, if AbbVie does not exercise its License Option, Harpoon retains all rights under HarpoonÕs interests in the Joint Patents and the Joint Know-How, if any, to Exploit the Licensed Compounds and Licensed Products in its sole discretion without duty to account to AbbVie in connection with such use or Exploitation.",Joint IP Ownership,Yes
"Subject to Section 3.8.2(c), as between the Parties, each Party, or their respective Affiliates, shall own an equal, undivided interest in and to any and all (a) Information and inventions that are conceived, discovered, developed or otherwise made jointly by or on behalf of Harpoon or its Affiliates (including subcontractors thereof), on the one hand, and AbbVie or its Affiliates (including subcontractors thereof), on the other hand, in connection with the work conducted under or in connection with this Agreement, in each case whether or not patented or patentable (the ""Joint Know-How""), and (b) Patents (the ""Joint Patents"") and other intellectual property rights with respect to the Information and inventions described in subclause (a) (together with Joint Know-How and Joint Patents, the ""Joint Intellectual Property Rights"").",Joint IP Ownership,Yes
"Upon the License Option Exercise Closing Date, Harpoon (on behalf of itself and its Affiliates) hereby grants to AbbVie: (a) an exclusive (including with regard to Harpoon and its Affiliates, except as provided in Section 5.6) license (or sublicense), with the right to grant sublicenses in accordance with Section 5.3, under the Harpoon Patents, the Harpoon Know-How, and HarpoonÕs interests in the Joint Patents and the Joint Know-How, to Exploit the Licensed Compounds and Licensed Products in the Field in the Territory; (b) an exclusive (including with regard to Harpoon and its Affiliates, except as provided in Section 5.6) license and right of reference, with the right to grant sublicenses and further rights of reference in accordance with Section 5.3, under the Regulatory Approvals and any other Regulatory Documentation that Harpoon or its Affiliates may Control with respect to the Licensed Compounds or Licensed Products solely for purposes of Exploiting the Licensed Compounds and Licensed Products in the Field in the Territory.",License Grant,Yes,Affiliate License-Licensor,Yes
"Upon the Effective Date, AbbVie hereby grants to Harpoon a non-exclusive, royalty-free license, without the right to grant sublicenses (other than to permitted subcontractors of Harpoon in accordance with Section 3.7), under the AbbVie Patents, AbbVie Know-How, and AbbVieÕs interests in the Joint Patents and the Joint Know-How, to Develop and Manufacture the Licensed Compounds or Licensed Products in the Territory solely to the extent necessary for Harpoon to perform its obligations as set forth in, and subject to, the Initial Development Plan.",License Grant,Yes,Non-Transferable License,Yes
"At HarpoonÕs sole election by written notice to AbbVie, AbbVie shall grant, and hereby grants to Harpoon, effective as of the effective date of termination, [***] (the ""AbbVie Reversion IP""); provided that the foregoing license shall exclude (1) any license or other rights with respect to any active ingredient that is not a Licensed Compound and (2) any license or other rights with respect to any other Patents or Know-How owned or controlled by AbbVie or any of its Affiliates.",License Grant,Yes
"""Harpoon Know-How"" means all Information that is (a) Controlled by Harpoon or any of its Affiliates as of the Effective Date or at any time during the Term, (b) not generally known and (c) necessary or reasonably useful for the Exploitation of any Licensed Compound or any Licensed Product, but excluding any Joint Know-How or Information published in any (i) Harpoon Patents or (ii) Joint Patents.",Affiliate License-Licensor,Yes
"""Harpoon Patents"" means all of the Patents that are (a) Controlled by Harpoon or any of its Affiliates as of the Effective Date or at any time during the Term and (b) necessary or reasonably useful (or, with respect to Patent applications, would be necessary or reasonably useful if such Patent applications were to issue as Patents) for the Exploitation of any Licensed Compound or any Licensed Product, but excluding Joint Patents. The Harpoon Patents include the Existing Patents.",Affiliate License-Licensor,Yes
"AbbVie shall have the right to grant sublicenses (or further rights of reference), through multiple tiers of Sublicensees, under the licenses and rights of reference granted in Sections 5.1.1, 5.1.2 and 5.1.3, to its Affiliates and other Persons_ provided that any such sublicenses shall be consistent with the terms and conditions of this Agreement and AbbVie shall remain liable for its obligations under this Agreement and for the performance of all Sublicensees.",Affiliate License-Licensee,Yes
"AbbVie shall have the right, in its sole discretion, to appoint its Affiliates, and AbbVie and its Affiliates shall have the right, in their sole discretion, to appoint any other Persons, in the Territory or in any country or other jurisdiction of the Territory, to distribute, market, and sell the Licensed Products.",Affiliate License-Licensee,Yes
"For purposes of clarity, AbbVie and its Affiliates shall have the right, in their sole discretion, to co-promote the Licensed Products with any other Person(s), or to appoint one (1) or more Third Parties to promote the Licensed Products without AbbVie in all or any part of the Territory.",Affiliate License-Licensee,Yes
"Following the expiration of the Term pursuant to clause (a) (but not clause (b)) of Section 12.1.1, the grants in Section 5.1.3 shall become non-exclusive, fully-paid, royalty-free and irrevocable.",Irrevocable or Perpetual License,Yes
"In the event of a termination of this Agreement with respect to a country or other jurisdiction by AbbVie pursuant to Section 12.3 or with respect to a Terminated Territory by Harpoon pursuant to Section 12.2.2 (but not in the case of any termination of this Agreement in its entirety), the term ""Territory"" shall be automatically amended to exclude the Terminated Territory and all rights and licenses granted by Harpoon hereunder (a) shall automatically be deemed to be amended to exclude, if applicable, the right to market, promote, detail, distribute, import, sell, offer for sale, file any Drug Approval Application for, or seek any Regulatory Approval for Licensed Compound or Licensed Products in such Terminated Territory, and (b) shall otherwise survive and continue in effect in such Terminated Territory solely for the purpose of furthering any Commercialization of the Licensed Compounds or Licensed Products in the Territory other than the Terminated Territory or any Development or Manufacturing in support thereof.",Post-termination Services,Yes
"If AbbVie terminates this Agreement with respect to a country or other jurisdiction, or in its entirety pursuant to Section 12.3, AbbVie shall have the right for at least [***] and no more than [***], which period shall be determined by Harpoon in its sole discretion, after the effective date of such termination with respect to such country or other jurisdiction to sell or otherwise dispose of all Licensed Compound or Licensed Product then in its inventory and any in-progress inventory, in each case that is intended for sale or disposition in such country or other jurisdiction, as though this Agreement had not terminated with respect to such country or other jurisdiction, and such sale or disposition shall not constitute infringement of HarpoonÕs or its AffiliatesÕ Patent or other intellectual property or other proprietary rights.",Post-termination Services,Yes
"At the request of Harpoon, AbbVie shall permit an independent public accounting firm of nationally recognized standing designated by Harpoon and reasonably acceptable to AbbVie, [***], to audit the books and records maintained pursuant to this Section 6.11 to ensure the accuracy of all reports and payments made hereunder, including any permitted deductions from Net Sales pursuant to Section 1.108.",Audit Rights,Yes
"EXCEPT (A) FOR FRAUD, WILLFUL MISCONDUCT OR GROSS NEGLIGENCE, (B) FOR A PARTYÕS BREACH OF ITS OBLIGATIONS UNDER [ARTICLE 9 OR SECTION 5.8], (C) AS PROVIDED UNDER [***] AND (D) TO THE EXTENT ANY SUCH DAMAGES ARE REQUIRED TO BE PAID TO A THIRD PARTY AS PART OF A CLAIM FOR WHICH A PARTY PROVIDES INDEMNIFICATION UNDER THIS ARTICLE 11, NEITHER PARTY NOR ANY OF ITS AFFILIATES SHALL BE LIABLE FOR INDIRECT, INCIDENTAL, SPECIAL, EXEMPLARY, PUNITIVE OR CONSEQUENTIAL DAMAGES, INCLUDING LOSS OF PROFITS OR BUSINESS INTERRUPTION, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY, WHETHER IN CONTRACT, TORT, NEGLIGENCE, BREACH OF STATUTORY DUTY OR OTHERWISE IN CONNECTION WITH OR ARISING IN ANY WAY OUT OF THE TERMS OF THIS AGREEMENT OR THE TRANSACTIONS CONTEMPLATED HEREBY OR THE USE OF THE LICENSED COMPOUNDS OR LICENSED PRODUCTS, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
Each Party shall obtain and carry in full force and effect the minimum insurance requirements set forth herein.,Insurance,Yes
"Such insurance (a) shall be primary insurance with respect to each PartyÕs own participation under this Agreement, (b) shall be issued by a recognized insurer rated by A.M. Best ""A-VII"" (or its equivalent) or better, or an insurer pre- approved in writing by the other Party, and (c) shall list the other Party as an additional insured under the General Liability Policy.",Insurance,Yes
"The types of insurance, and minimum limits shall be: (a) WorkerÕs Compensation with statutory limits in compliance with the WorkerÕs Compensation laws of the state or states in which the Party has employees in the United States (excluding Puerto Rico).",Insurance,Yes
EmployerÕs Liability coverage with a minimum limit of [***] provided that a Party has employees in the United States (excluding Puerto Rico).,Insurance,Yes
General Liability Insurance with a minimum limit of [***] and [***] in the aggregate. General Liability Insurance shall include Clinical Trial Insurance. The limits may be met with a combination of primary and commercial umbrella insurance.,Insurance,Yes
"Upon request by a Party, the other Party shall provide Certificates of Insurance evidencing compliance with this Section. The insurance policies shall be under an occurrence form, but if only a claims-made form is available to a Party, then such Party shall continue to maintain such insurance after the expiration or termination of this Agreement for the longer of (a) a period of [***] following termination or expiration of this Agreement in its entirety, or (b) with respect to a particular Party, [***] by a Party.",Insurance,Yes
"Harpoon shall not, and shall not permit its Affiliates to, attack, dispute, or contest the validity of or ownership of such Product Trademark anywhere in the Territory or any registrations issued or issuing with respect thereto or use in their respective businesses, any Trademark that is confusingly similar to, misleading or deceptive with respect to or that dilutes any (or any part) of the Product Trademarks.",Covenant Not To Sue,Yes
