Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
BUSINESS DEVELOPMENT AGREEMENT,Document Name,BUSINESS DEVELOPMENT AGREEMENT
"Upon and subject to the terms and conditions stated in this Agreement, on the Effective Date, for the consideration described in this Agreement and EutectixÕs performance of its other obligations under this Agreement, Liquidmetal grants to Eutectix the right and license to use the following equipment owned by Liquidmetal (the ""Licensed Equipment"") (i) solely for use on LiquidmetalÕs behalf, (ii) for EutectixÕs own limited use in the production of Liquidmetal Products (as defined below) or Licensed Products (as defined below), (iii) for the continued development of applications utilizing bulk metallic glasses in cooperation between Liquidmetal and Eutectix, and (iv) independently by Eutectix pursuant to the terms of this Agreement: (a) Two (2) Engel e-motion 310/120 injection molding machines, and associated equipment; (b) Two (2) Eontec 300-C Die Casting Machines, and associated equipment; (c) One (1) Flow M21313B Waterjet Machine; (d) Two (2) DMG Mori Milltap 700 CNC machines, and associated consumables and fixtures; (e) Equipment for cut, mount, and polish analysis operations, including: i. One (1) Struers Accutom-10 cut-off machine ii. One (1) Struers Secotom-50 precision cutting machine iii. One (1) Struers Tegramin-30 tabletop grinding machine iv. One (1) Keyence VH X-S550E microscope (f) Equipment required for vibratory deburring operations, including: i. One (1) Rosler R 125 EC-KF rotary vibrator ii. One (1) Rosler R 125 EC rotary vibrator 2 Source: LIQUIDMETAL TECHNOLOGIES INC, 8-K, 2/5/2020(g) Equipment required for passivation operations, including: i. One (1) ESMA, Inc. E782C ultrasonic cleaning system (h) One (1) Dry Cooler D455 chill water system; (i) One (1) MTS 810 MTS mechanical testing frame; and (j) Molds and fixtures needed for production of sample parts.",License Grant,Yes
"Upon and subject to the terms and conditions stated in this Agreement, on the Effective Date, for the consideration described in this Agreement and EutectixÕs performance of its other obligations under this Agreement, Liquidmetal grants to Eutectix the right and license to use the following equipment owned by Liquidmetal (the ""Licensed Equipment"") (i) solely for use on LiquidmetalÕs behalf, (ii) for EutectixÕs own limited use in the production of Liquidmetal Products (as defined below) or Licensed Products (as defined below), (iii) for the continued development of applications utilizing bulk metallic glasses in cooperation between Liquidmetal and Eutectix, and (iv) independently by Eutectix pursuant to the terms of this Agreement: (a) Two (2) Engel e-motion 310/120 injection molding machines, and associated equipment; (b) Two (2) Eontec 300-C Die Casting Machines, and associated equipment; (c) One (1) Flow M21313B Waterjet Machine; (d) Two (2) DMG Mori Milltap 700 CNC machines, and associated consumables and fixtures; (e) Equipment for cut, mount, and polish analysis operations, including: i. One (1) Struers Accutom-10 cut-off machine ii. One (1) Struers Secotom-50 precision cutting machine iii. One (1) Struers Tegramin-30 tabletop grinding machine iv. One (1) Keyence VH X-S550E microscope (f) Equipment required for vibratory deburring operations, including: i. One (1) Rosler R 125 EC-KF rotary vibrator ii. One (1) Rosler R 125 EC rotary vibrator (g) Equipment required for passivation operations, including: i. One (1) ESMA, Inc. E782C ultrasonic cleaning system (h) One (1) Dry Cooler D455 chill water system; (i) One (1) MTS 810 MTS mechanical testing frame; and (j) Molds and fixtures needed for production of sample parts.",License Grant,Yes
"Liquidmetal grants to Eutectix during the Term of this Agreement and subject to the Field of Use Restrictions (as defined below), a royalty-bearing, worldwide, non-transferrable, non-exclusive license (or sublicense as the case may be) to the Licensed Patents (as defined below) and the Licensed Technical Information (as defined below) to make and have made, assemble and have assembled, use, sell, offer to sell, import and offer to import, export and offer to export, distribute and offer to distribute, repair, reconstruct, practice, and maintain Licensed Products in the Field (as defined below).",License Grant,Yes,Non-Transferable License,Yes
"Eutectix hereby grants to Liquidmetal a fully-paid up, royalty-free, perpetual, world-wide, non-exclusive license to any New Process Technologies in which Eutectix acquires licensing rights pursuant to Section 8.2 above.",License Grant,Yes,Irrevocable or Perpetual License,Yes
"The licenses granted under this Agreement shall be subject to the following exclusions, conditions, restrictions, and limitations: 1. The ""Field"" shall exclude the following products and fields of use: a. Any Consumer Electronic Products (as defined below) or any components or sub-components suitable for use with any Consumer Electronic Products. For this purpose, ""Consumer Electronic Products"" means personal computers (portable and desktop); tablet or slate style computing devices; handheld electronic and/or communication devices (e.g., smartphones, digital music players, multi-function devices, etc.); any device whose function includes the creation, storage or consumption of digital media; any component or sub-component in any Consumer Electronic Product; and any accessory that is the same or similar (in the sole discretion of Apple, Inc.) to an accessory made or sold by or on behalf of Apple (regardless of when Apple sold or started to sell such accessory, including after date of the closing of the Proposed Transaction) that is suitable for use with any Consumer Electronic Product. b. Any watches or components for watches. c. Finished or semi-finished Jewelry, and also any other products that are sold under the name of a Luxury Brand or incorporated into products that are sold under the name of a Luxury Brand, including without limitation (a) buckles for belts, briefcases, handbags, and clothing; and (b) cigarette lighters and cigar cutters. For purposes hereof, the term ""Jewelry"" means rings, necklaces, pins, cufflinks, and other objects that are ornamental in nature and used for adornment of the human body. ""Luxury Brands"" shall not include brands owned or used by Nokia, Motorola, Samsung, LG, Sony-Ericsson, Apple, RIM, HTC or similar companies that supply mobile phones and accessories to the mass-market. Otherwise, ""Luxury Brands"" consist of the following brands and any other similar, renowned luxury brand which is used as the sole or primary brand on a competitive product sold at similar price point:",License Grant,Yes
"Licensed Products may not be sold to any customer in, or to any customer for distribution into, the following countries, without LiquidmetalÕs prior written consent, which consent shall not be unreasonably withheld, conditioned or delayed: Brunei, Cambodia, China (P.R.C and R.O.C.), East Timor, Indonesia, Japan, Laos, Malaysia, Myanmar, North Korea, Philippines, Singapore, South Korea, Thailand and Vietnam.",License Grant,Yes
The foregoing Licensed Patents and Licensed Technical Information shall not include the right to sublicense the Licensed Patents and Licensed Technical Information without the prior written consent of Liquidmetal. F,Non-Transferable License,Yes
"The Licensed Equipment: (a) is and shall remain the sole property of Liquidmetal, (b) shall be made available for reasonable inspection upon at least three (3) weeks prior written request by Liquidmetal, such inspection not to occur more than once per year during the Term, to be conducted with minimal business disruption to Eutectix and to be conducted at LiquidmetalÕs sole cost and expense and",Post-termination Services,Yes,Audit Rights,Yes
"Notwithstanding the foregoing, with regard to orders received and accepted by Eutectix before expiration or notice of termination, Eutectix may finish making any products in process, may conclude any orders in process, including finishing manufacturing of such products and shipping such products to the customer for up to 6 months after termination or expiration of this Agreement;",Post-termination Services,Yes
"Upon expiration or termination of this Agreement for any reason, Eutectix shall have the option to purchase some or all of the Licensed Equipment at fair market value, less any amounts owed to Eutectix by Liquidmetal, except the equipment listed under Section 2.1(b) above",Post-termination Services,Yes
"Upon reasonable prior notice to Eutectix and at LiquidmetalÕs expense, no more than once per year, during the Term of this Agreement and for one (1) year following the expiration or termination of this Agreement, Liquidmetal or its designee shall have the right from time to time to confirm and validate: (a) that Eutectix has complied with the pricing provisions of this Agreement; (b) EutectixÕs financial condition, successorship planning, and ability to continue operations; (c) that EutectixÕs performance is consistent with the Agreement; (d) that Eutectix has complied with Article 10 (Compliance) of this Agreement.",Post-termination Services,Yes
"To the extent any insurance coverage required under this Agreement is purchased on a ""claims-made"" basis, such insurance shall cover all prior acts of Eutectix during the term of this Agreement, and such insurance shall be continuously maintained until at least two (2) years beyond the expiration or termination of the term of this Agreement, or Eutectix shall purchase ""tail"" coverage, effective upon termination of any such policy or upon termination or expiration of the term of this Agreement, to provide coverage for at least two (2) years from the occurrence of either such event.",Post-termination Services,Yes,Insurance,Yes
Eutectix shall keep its books and records in such a fashion that its compliance with this Article may be readily audited.,Audit Rights,Yes
"Upon reasonable prior notice to Eutectix and at LiquidmetalÕs expense, no more than once per year, during the Term of this Agreement and for one (1) year following the expiration or termination of this Agreement, Liquidmetal or its designee shall have the right from time to time to confirm and validate: (a) that Eutectix has complied with the pricing provisions of this Agreement; (b) EutectixÕs financial condition, successorship planning, and ability to continue operations; (c) that EutectixÕs performance is consistent with the Agreement; (d) that Eutectix has complied with Article 10 (Compliance) of this Agreement. Upon reasonable and prior notice to Eutectix, Eutectix will also provide Liquidmetal or its designee from time to time with reasonable access to EutectixÕs facility and the facilities of its sub-suppliers and other subcontractors to permit Liquidmetal to inspect the production, handling, and storage of Liquidmetal Products and the Licensed Equipment and inventories of raw materials and components. Eutectix shall maintain an orderly storage bookkeeping so that the respective inventory of the Licensed Equipment, Liquidmetal Products and property of Liquidmetal can be immediately recognized; and (e) such confirmation and validation to be conducted with minimal disruption to EutectixÕs business operations and all information disclosed during such exercise to be deemed to be Confidential Information.",Audit Rights,Yes
"NEITHER PARTY SHALL BE LIABLE TO OTHER PARTY FOR ANY LOST PROFITS, LOST REVENUES, OR ANY OTHER INCIDENTAL, INDIRECT, PUNITIVE, SPECIAL OR CONSEQUENTIAL DAMAGES WHATSOEVER ARISING OUT OF THIS AGREEMENT OR ANY ORDER, OR OUT OF THE PERFORMANCE OR BREACH OF THIS AGREEMENT OR ANY ORDER, EVEN IF THE PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Cap on Liability,Yes
"Unless Liquidmetal notifies Eutectix that the Liquidmetal Product does not meet the Specifications within thirty (30) calendar days after receipt of the Liquidmetal Product, then the Liquidmetal Product shall be deemed Accepted.",Warranty Duration,Yes
"Eutectix shall, at its own expense: (c) keep the Licensed Equipment in a suitable place, safe from loss or damage; (d) subscribe to an insurance policy from an insurance company reasonably acceptable to Eutectix covering the Licensed Equipment at full replacement value against fire, theft and such other normal business risks, with a waiver of subrogation in favor of Liquidmetal and with Liquidmetal to be named as an additional insured and loss payee, and provide, upon receipt of a written request from Liquidmetal, a certificate evidencing such insurance, and comply with all requirements associated with such insurance policy;",Insurance,Yes
"Eutectix shall obtain, pay for, and maintain insurance meeting or exceeding the minimum insurance requirements set forth on Schedule 2 attached hereto, with policy terms satisfactory to Liquidmetal.",Insurance,Yes
"Eutectix shall obtain, pay for, and maintain in full force and effect throughout the term of this Agreement insurance as follows: (a) WorkersÕ Compensation and EmployersÕ Liability insurance with limits to conform with the greater of the amount required by applicable law or one million dollars ($1,000,000) each accident, including occupational disease coverage and an endorsement to the WorkersÕ Compensation and EmployersÕ Liability insurance policy, in form acceptable to Liquidmetal, containing a waiver of subrogation by the insurance carrier with respect to Liquidmetal and its parent, subsidiaries, divisions and Affiliates, and all of their respective directors, officers, shareholders, employees and representatives; (b) Commercial General Liability insurance with limits of not less than five million dollars ($5,000,000) combined single limit for bodily injury, death, and property damage, including personal injury, contractual liability, independent contractors, broad- form property damage, and products and completed operations coverage; and, (c) Commercial Automobile Liability insurance with limits of not less than one million dollars ($1,000,000) each occurrence combined single limit of liability for bodily injury, death, and property damage, including owned and non-owned and hired automobile coverages, as applicable.",Insurance,Yes
EutectixÕs liability under the Agreement shall not be limited or modified in any way by the amount or terms of any insurance it is required to maintain hereunder.,Insurance,Yes
