Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
PRODUCT SALE AND MARKETING AGREEMENT,Document Name,PRODUCT SALE AND MARKETING AGREEMENT
XSPA shall pay to Calm on a monthly basis an amount equal to (i) fifty percent (50%) of the Retail Price for all Products sold in the Stores in the Territory during the applicable month minus (ii) fifty percent (50%) of any commission actually paid or payable to XSPA employee(s) or contractor(s) attributable to sales of such Products during such month; provided that in no event shall such commission be greater than fifteen percent (15%) of the Retail Price for the applicable Product.,Revenue/Profit Sharing,Yes
"Calm shall pay to XSPA on a monthly basis a retail commission of $20.00 for each sale of Calm digital product subscriptions (excluding, for the avoidance of doubt, any free trial subscriptions) that result from XSPAÕs distribution of Inserts and a customerÕs use of the unique promotional discount code set forth therein in accordance with the terms and conditions set forth herein (it being understood that XSPA shall ensure fifty percent (50%) of each such commission shall be distributed to the applicable StoreÕs retail employees or contractors via a pool or other format as mutually agreed to by the Parties).",Revenue/Profit Sharing,Yes
"In addition to the Products, Calm shall have the right to identify up to five (5) additional products, with such products and the price thereof to be mutually agreed by the Parties, to be displayed, marketed, promoted, offered for sale and sold in the Stores in the Territory.",Volume Restriction,Yes
"If any Product Collateral IP (or any aspect thereof) are not designed and/or created by Calm, such Product Collateral IP (or aspect thereof) shall be deemed ""works made for hire"" for Calm within the meaning of the U.S. Copyright Law and/or other applicable comparable laws or, if they do not so qualify, all ownership rights thereto shall be, and are hereby, assigned to Calm.",IP Ownership Assignment,Yes
"Subject to the terms and conditions of this Agreement, Calm hereby grants to XSPA, solely during the Term and in the Territory, a revocable (as set forth in _Section __12.04), royalty-free, assignable (solely as set forth in Section _16.05), non-sublicensable (except as set forth in Section _9.03), non-exclusive license to use the marks set forth on Exhibit D (""CalmÕs Marks""), solely to the extent necessary for XSPA to exercise its rights or perform its obligations set forth in this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"Subject to the terms and conditions of this Agreement, XSPA hereby grants to Calm, solely during the Term and in the Territory, a revocable (as set forth in _Section __12.04), royalty-free, assignable (solely as set forth in Section _16.05), non-sublicensable (except as set forth in Section _9.03), non-exclusive license to use the marks set forth on Exhibit E (""XSPAÕs Marks"", and together with CalmÕs Marks, the ""Marks""), solely to the extent necessary for Calm to exercise its rights or perform its obligations set forth in this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"Upon termination or expiration of this Agreement, Calm (at its sole expense) may engage a third party to audit XSPAÕs inventory of any and all Product Collateral then on hand at each Store and XSPA shall promptly return or dispose of such inventory as instructed by Calm at CalmÕs sole expense.",Post-termination Services,Yes,Audit Rights,Yes
"In addition, if Calm does not provide XSPA with instructions within twenty (20) days of the termination or expiration of this Agreement, XSPA shall be permitted to dispose of any inventory of any and all Product Collateral then on hand at each Store.",Post-termination Services,Yes
"XSPAÕs representatives may, from time to time during regular business hours on reasonable advance notice, during the Term of this Agreement and for a period of six (6) months thereafter, inspect and audit such books and records and examine and copy all other documents and material in the possession or under the control of Calm with respect to the subject matter and the terms of this Agreement.",Audit Rights,Yes
"After completion of any inspection or audit pursuant to this Section 8.02, XSPA shall notify Calm of the results of such inspection and audit (the ""Calm Audit Results"").",Audit Rights,Yes
"Upon receipt of such information, Calm shall have thirty (30) days (the ""Calm Review Period"") to review the Calm Audit Results.",Audit Rights,Yes
"CalmÕs representatives may, from time to time during regular business hours on reasonable advance notice, during the Term of this Agreement and for a period of six (6) months thereafter, inspect and audit such books and records and examine and copy all other documents and material in the possession or under the control of XSPA with respect to the subject matter and the terms of this Agreement.",Audit Rights,Yes
"EXCEPT WITH RESPECT TO EACH PARTYÕS INDEMNIFICATION OBLIGATIONS UNDER THIS AGREEMENT, (A) UNDER NO CIRCUMSTANCE AND UNDER NO LEGAL THEORY (TORT, CONTRACT, OR OTHERWISE), SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS, LOSS OF OPPORTUNITY OR OTHER SPECIAL, PUNITIVE, INDIRECT, OR CONSEQUENTIAL DAMAGES SUFFERED BY THE OTHER PARTY ARISING IN CONNECTION WITH THIS AGREEMENT_ AND (B) THE MAXIMUM LIABILITY OF EACH PARTY IN ANY WAY RELATED TO THIS AGREEMENT SHALL NOT EXCEED $2,000,000.00 (EXCLUDING ANY AMOUNTS DUE AND PAYABLE PURSUANT TO SECTION _8 HEREUNDER).",Uncapped Liability,Yes
"EXCEPT WITH RESPECT TO EACH PARTYÕS INDEMNIFICATION OBLIGATIONS UNDER THIS AGREEMENT, (A) UNDER NO CIRCUMSTANCE AND UNDER NO LEGAL THEORY (TORT, CONTRACT, OR OTHERWISE), SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS, LOSS OF OPPORTUNITY OR OTHER SPECIAL, PUNITIVE, INDIRECT, OR CONSEQUENTIAL DAMAGES SUFFERED BY THE OTHER PARTY ARISING IN CONNECTION WITH THIS AGREEMENT; AND (B) THE MAXIMUM LIABILITY OF EACH PARTY IN ANY WAY RELATED TO THIS AGREEMENT SHALL NOT EXCEED $2,000,000.00 (EXCLUDING ANY AMOUNTS DUE AND PAYABLE PURSUANT TO SECTION _8 HEREUNDER).",Cap on Liability,Yes
"XSPA shall obtain, and thereafter maintain during the Term, the following insurance: (a) Special form property policy covering all stock on premises of the Store, including with respect to all Product Collateral; (b) WorkersÕ Compensation Insurance in the statutorily required amount (or XSPA shall participate in the appropriate state fund if such insurance is not available or allowed), together with EmployerÕs Liability Insurance with a limit of $1,000,000 for each accident; and (c) Commercial General Liability insurance, (including fire liability, contractual liability, personal injury, product liability and completed operations coverage) in the amount of not less than $3,000,000 combined single limit with umbrella liability coverage with a limit of not less than $10,000,000;",Insurance,Yes
The foregoing insurance policies shall name XSPA as the insured and Calm as additional insured (except for WorkersÕ Compensation Insurance).,Insurance,Yes
"If any such insurance is on a ""claims made"" basis, XSPA shall maintain coverage thereunder for a period of at least two (2) years following the termination of this Agreement.",Insurance,Yes
"With respect to the foregoing, XSPA shall provide to Calm certificate(s) evidencing such insurance prior to or upon execution of this Agreement.",Insurance,Yes
The certificates shall provide that Calm will be given at least thirty (30) days prior written notice of cancellation or any material change in these policies.,Insurance,Yes
In no event shall any insurer have a BestÕs Insurance rating of less than (A-) of class size VII.,Insurance,Yes
"Neither Party shall do or cause to be done any act or thing that may in any way adversely affect any rights of the other Party in and to such other PartyÕs Marks or any registrations thereof or that, directly or indirectly, may reduce the value of such Marks or detract from any MarkÕs reputation, including challenging the ownership, validity or enforceability of such Marks.",Covenant Not To Sue,Yes
