Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
COMMERCIALIZATION AND LICENSE AGREEMENT,Document Name,COMMERCIALIZATION AND LICENSE AGREEMENT
A Change of Control shall be deemed an assignment for purposes of this Agreement.,Change of Control,Yes
"For clarity, nothing in this Agreement shall prohibit Vyera from undergoing any Change of Control, but if Vyera undergoes a Change of Control, it will be subject to Section 2.6.",Change of Control,Yes
"Vyera may not assign this Agreement, or any rights or obligations hereunder without the prior written consent of CytoDyn, not to be unreasonably withheld or delayed provided that Vyera may assign this Agreement without CytoDynÕs consent to an Affiliate or to a successor to substantially all of the business of Vyera to which this Agreement relates.",Anti-assignment,Yes
"Any assignment or attempted assignment by Vyera in violation of the terms of this Section 14.6 shall be null, void and of no legal effect.",Anti-assignment,Yes
"CytoDyn may assign this Agreement and its rights and obligations hereunder, in whole but not in part, to any Third Party not in a materially worse (financially and otherwise) of performing CytoDynÕs obligations hereunder without the prior written consent of Vyera (it being understood that any other assignment of this Agreement or any rights or obligations hereunder shall require the prior written consent of Vyera, not to be unreasonably withheld or delayed).",Anti-assignment,Yes
"Vyera shall pay to CytoDyn royalties equal to fifty percent (50%) of Net Sales of Licensed Products in the Territory during the Royalty Term; provided that, after the Step-Down Date, the royalty percentage will be reduced to [ ] of Net Sales of Licensed Products in the Territory throughout the remaining period in the Royalty Term.",Revenue/Profit Sharing,Yes
"""Minimum Requirements"" means the investments and activities identified as ""Minimum Requirements"" in a Commercialization Plan.",Minimum Commitment,Yes
Vyera shall conduct the Commercialization activities in accordance with the Commercialization Plan and in performing such activities will ensure that it meets or exceeds the Minimum Requirements.,Minimum Commitment,Yes
"To the fullest extent permitted by law, Vyera shall, and hereby does, assign all of its right title and interest in and to any and all Inventions to CytoDyn",IP Ownership Assignment,Yes
"If Vyera acquires any rights in the Trademarks, by operation of Applicable Law, or otherwise, such rights shall be deemed and are hereby irrevocably assigned to CytoDyn without further action by either Party.",IP Ownership Assignment,Yes
"CytoDyn will be the sole owner of all trade dress, logos, slogans, designs and copyrights specifically created by or on behalf of Vyera or used by Vyera on or in connection with the Licensed Products in the Territory.",IP Ownership Assignment,Yes
Vyera shall not Commercialize nor shall it authorize the Commercialization of any Licensed Product outside of the Field or outside of the Territory.,License Grant,Yes
"Vyera shall have the exclusive right to implement, and subject to Section 5.5, final decision-making authority with respect to, Commercialization of all Licensed Products in the Field and the Territory.",License Grant,Yes
"The licenses granted to Vyera under this Agreement shall not be transferrable and/or sublicensable without CytoDynÕs written consent, which it may grant, condition or withhold in its sole discretion.",Non-Transferable License,Yes
"Following the expiration of the Royalty Term with respect to the Licensed Product, the licenses granted under Section 2.1 with respect to such Licensed Product in the Field and the Territory shall be non-exclusive, perpetual, irrevocable, fully-paid and royalty-free.",Irrevocable or Perpetual License,Yes
"Upon the expiration of the Royalty Term, the license granted to Vyera under Section 2.1 of this Agreement shall become non-exclusive, fully-paid, royalty free, perpetual and irrevocable.",Irrevocable or Perpetual License,Yes
"In the event of a termination by Vyera under Section 11.2, the following terms shall apply: (i) at CytoDynÕs request, the Parties will negotiate in good faith a transition services agreement (the ""Transition Services Agreement""), under which Vyera will provide certain Commercialization services to CytoDyn in connection with CytoDyn efforts to Commercialize the Licensed Product in the Field in the Territory_ (ii) the services to be provided by Vyera pursuant to the Transition Services Agreement (the ""Transition Services"") will be negotiated in good faith taking into account (A) the activities undertaken by Vyera in connection with the Commercialization of Licensed Product during the Term and (B) VyeraÕs then-existing resources and capabilities (it being understood and agreed that Vyera shall not (x) be required to hire any new employees or enter into any new agreements with Third Parties in order to provide the Transition Services or (y) terminate any employee or agreement the primary purpose of which is to circumvent its obligations to provide the Transition Services)_ (iii) the Transition Services Agreement will require Vyera to provide Transition Services for a period of up to six (6) months from the effective date of termination_ provided that CytoDyn will have the ability to terminate Transition Services on a service-by-service basis as they are transitioned_ and (iv) Transition Services will be reimbursed at VyeraÕs actual cost plus ten percent (10%) by CytoDyn.",Post-termination Services,Yes
"At CytoDynÕs reasonable request and subject to the terms of the applicable agreement, Vyera will use its reasonable best efforts to assign to CytoDyn any Third Party agreements that relate to the Transition Services matters solely for Licensed Product in the Territory in the Field.",Post-termination Services,Yes
"To the extent permitted under Applicable Law and, if applicable, its relevant Third Party agreements, (a) CytoDyn shall provide Vyera with reasonable advance notice of any scheduled regulatory inspection of CytoDyn or Third Party Manufacturing facilities used for supply of the Licensed Product as contemplated by Article 6, and (b) Vyera shall be allowed to participate in any pre-approval readiness activities and audits for CytoDyn or its Third Party Manufacturing facilities.",Audit Rights,Yes
"Upon reasonable prior notice, but not more than once per Calendar Year, such records of Vyera and its Affiliates shall be available during VyeraÕs and its Affiliates regular business hours for a period of three (3) years from the end of the Calendar Year to which they pertain for examination at the expense of CytoDyn by an independent certified public accountant selected by CytoDyn and reasonably acceptable to Vyera, for the sole purpose of verifying the accuracy of the financial reports and correctness of the payments furnished by Vyera pursuant to this Agreement.",Audit Rights,Yes
"EXCEPT FOR A PARTYÕS OBLIGATIONS SET FORTH IN THIS ARTICLE 13, AND ANY BREACH OF ARTICLE 10 (CONFIDENTIALITY), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER PARTY (OR THE OTHER PARTYÕS AFFILIATES OR SUBLICENSEES) IN CONNECTION WITH THIS AGREEMENT FOR LOST REVENUE, LOST PROFITS, LOST ROYALTIES, LOST SAVINGS, LOSS OF USE, DAMAGE TO GOODWILL, OR ANY CONSEQUENTIAL, INCIDENTAL, SPECIAL, EXEMPLARY, PUNITIVE OR INDIRECT DAMAGES IN CONNECTION WITH THIS AGREEMENT, HOWEVER CAUSED, UNDER ANY THEORY OF LIABILITY, INCLUDING CONTRACT, NEGLIGENCE, OR STRICT LIABILITY, EVEN IF THAT PARTY HAS BEEN PLACED ON NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
"FOR CLARITY AND NOTWITHSTANDING THE PROVISIONS OF THE FIRST SENTENCE OF THIS SECTION 13.5, ROYALTIES AND MILESTONES PAYABLE TO CYTODYN IN CONNECTION WITH VYERAÕS COMMERCIALIZATION OF LICENSED PRODUCTS IN ACCORDANCE WITH THE TERMS OF THIS AGREEMENT COULD CONSTITUTE DIRECT DAMAGES TO THE EXTENT AWARDED IN ACCORDANCE WITH ARTICLE 12.",Cap on Liability,Yes
"Each Party, at its own expense, shall maintain comprehensive general liability, product liability and other appropriate insurance for the activities such Party undertakes pursuant to this Agreement, from reputable and financially secure insurance carriers in a form and at levels consistent with sound business practice and adequate in light of its obligations under this Agreement.",Insurance,Yes
Each Party shall provide a certificate of insurance (or evidence of self-insurance) evidencing such coverage to the other Party upon reques,Insurance,Yes
"Each Party shall provide the other Party with prompt written notice of any cancellation, non-renewal or material change in such insurance that could materially adversely affect the rights of the other Party hereunder, and shall provide such notice within thirty (30) days after any such cancellation, non-renewal or material change.",Insurance,Yes
"Neither Vyera, nor any of its Affiliates shall directly or indirectly, challenge, or assist any Third Party to dispute or challenge, in a legal or administrative proceeding the patentability, enforceability or validity of any CytoDyn Patents.",Covenant Not To Sue,Yes
