Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
DISTRIBUTORSHIP AGREEMENT,Document Name,DISTRIBUTORSHIP AGREEMENT
"Within ninety (90) days prior to the expiration of each Contract Year, the parties will discuss in good faith and agree on the Minimum Product Quantities for the successive Contract Year_ provided, however, that, if the parties fail to reach agreement on or otherwise specify the Minimum Purchase Quantities for the successive Contract Year, the Minimum Product Quantities for such successive Contract Year shall be __________ percent (___%) of the Minimum Purchase Quantities for the existing Contract Year.",Minimum Commitment,Yes
"Within ninety (90) days prior to the expiration of each Contract Year, the parties will discuss in good faith and agree on the Minimum Product Quantities for the successive Contract Year_ provided, however, that, if the parties fail to reach agreement on or otherwise specify the Minimum Purchase Quantities for the successive Contract Year, the Minimum Product Quantities for such successive Contract Year shall be __________ percent (___%) of the Minimum Purchase Quantities for the existing Contract Year. """,Minimum Commitment,Yes
"Failure of Distributor to purchase the Minimum Purchase Quantities for any Contract Year, shall be considered a material breach of this Agreement.",Minimum Commitment,Yes
"STAAR shall have the right to terminate this Agreement by giving written notice to Distributor, effective immediately on receipt of such notice, (a) if Distributor fails to meet the Annual Minimum Volume as set forth in Section 7.2 or (b) pursuant to Section 15, or in the event the parties are unable to agree upon changes in the prices for Products within thirty (30) days following STAARÕs notice thereof.",Minimum Commitment,Yes
"During the term of this Agreement, and subject to the terms and conditions hereof, STAAR hereby grants to Distributor, and Distributor hereby accepts, the limited, nontransferable, nonexclusive right and license to use the trade name, trademarks, and logos of STAAR (collectively, ""Trademarks""), without the right to grant sublicenses, solely in connection with the marketing, distribution and sale of the Products in the Territory pursuant to this Agreement.",License Grant,Yes,Non-Transferable License,Yes
. Distributor shall not grant this privilege to any third party or to any affiliates without CompanyÕs prior written consent.,Non-Transferable License,Yes
"Upon any termination or expiration of this Agreement: (a) All sums due to either party from the other shall be promptly paid_ (b) Distributor orders received and accepted by STAAR prior to the effective date of the termination of this Agreement shall be fulfilled in accordance with their terms_ (c) All property belonging to one party but in the custody of the other shall be returned_ (d) STAAR shall have the option to repurchase any or all current and resalable Products in DistributorÕs inventory at eighty percent (80%) of DistributorÕs original net purchase price (reflecting a twenty percent (20%) restocking and administrative fee)_ (e) Distributor shall cease all display, advertising and use of STAAR trade names, trademarks (including the Trademarks), logos and designations, except uses on the Products which remain in DistributorÕs possession, and shall transfer all registrations and sponsorships for the Products to STAAR or its designee_",Post-termination Services,Yes
"EXCEPT FOR EACH PARTYÕS CONFIDENTIALITY OBLIGATIONS SET FORTH IN SECTION 12 AND INDEMNIFICATION OBLIGATIONS SET FORTH IN THIS SECTION 13, WITHOUT LIMITING ANY RIGHT DISTRIBUTOR MAY HAVE UNDER LOCAL STATUTES THAT CANNOT BE EXCLUDED, RESTRICTED OR MODIFIED, NEITHER PARTY SHALL BE LIABLE FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR SPECIAL DAMAGES, OR FOR DAMAGES DUE TO LOSS OF PROFITS, LOSS OF BUSINESS, LOSS OF USE OR DATA, OR INTERRUPTION OF BUSINESS, EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
"To the maximum extent permitted by applicable law, the exclusive remedy for breach of the Warranty shall be, at STAARÕs option, the repair or replacement, at STAARÕs expense, of the non-conforming Product; provided that Distributor notifies STAAR of the non-conformity and returns the non-conforming Product within the Warranty Period.",Cap on Liability,Yes
"Without limiting the above, and to the maximum extent permitted by applicable law, DistributorÕs sole remedy in contract or in tort (including in negligence) and STAARÕs liability shall be limited to the repair or replacement of any Product which is returned to and found to be defective or non-conforming by STAAR.",Cap on Liability,Yes
". Without limiting the generality of the foregoing, upon any termination of this Agreement by either Party in accordance with its terms (or otherwise), in no event shall STAAR be required to pay to Distributor any ""good will"" or other payment of any nature or kind based on the sales, business development or other activities of Distributor during the term of this Agreement.",Cap on Liability,Yes
"STAAR warrants that, for the period of twelve (12) months from the date of delivery to Distributor hereunder (the ""Warranty Period""), the Products will meet STAARÕs published specifications or labeling for such Products as in effect at the time of such delivery (""Warranty"").",Warranty Duration,Yes
"Distributor shall, at its own expense, maintain at a minimum general and product liability coverage in the Territory of at least US$2 million per occurrence, US$5 million in the aggregate.",Insurance,Yes
"On a separate endorsement, Distributor shall name STAAR as an additional named insured.",Insurance,Yes
Such separate endorsement shall indicate that DistributorÕs insurance is primary and that STAARÕs coverage as an additional named insured is not contributory.,Insurance,Yes
ach such insurance policy and endorsement shall provide that the insurance will not be canceled or reduces without at least thirty (30) daysÕ prior written notice to STAAR.,Insurance,Yes
"On request, Distributor shall provide STAAR with copies or certificates of all such insurance policies.",Insurance,Yes
"Distributor acknowledges that Company owns and retains all patents, trademarks, copyrights and other proprietary rights in the Products, and agrees that it will not at any time during or after the termination of this Agreement assert or claim any interest in or take any action which may adversely affect the validity or enforceability of any trademark, trade name, trade secret, copyright, or other proprietary right owned by or licensed to Company.",Covenant Not To Sue,Yes
