Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
CO-DEVELOPMENT AGREEMENT,Document Name,CO-DEVELOPMENT AGREEMENT
"Following the Effective Date and prior to the date of first availability of the Phase 3 Interim Data (the ""Interim Period""), SFJ shall pay or incur up to $90 million of Development Costs as follows:",Price Restrictions,Yes
"Notwithstanding anything else contained herein to the contrary, in no event shall SFJ be required to pay or incur Development Costs in excess of $90 million during the Interim Period.",Price Restrictions,Yes
"If the Development Costs during the Interim Period exceed $90 million, PB shall pay or incur all such excess Development Costs including continuing to provide the PB Services during the Interim Period at the expense of PB unless otherwise agreed to in writing by SFJ.",Price Restrictions,Yes
"Subject to Section 4.2.4 below, but notwithstanding anything else contained herein to the contrary, in no event shall SFJ be required to pay or incur Development Costs in excess of $120 million in total.",Price Restrictions,Yes
"If the total Development Costs exceed $120 million, PB shall pay or incur all such excess Development Costs including paying all excess Approved Third Party Vendor Costs and Product Supply Costs and continuing to provide the PB Services at the expense of PB unless otherwise agreed to in writing by SFJ.",Price Restrictions,Yes
"In the event that the actual Development Costs paid or incurred by SFJ hereunder are lower or greater than One Hundred Twenty Million U.S. Dollars ($120,000,000.00), including by reason of any amount of Going Concern Funding paid by SFJ to Source: PHASEBIO PHARMACEUTICALS INC, 10-K, 3/30/2020PB in accordance with Section 4.2.4, or in the event that such actual Development Costs are subject to adjustment pursuant to Section 2.3.3, Section 3.12.2 and/or Section 3.12.3, the Approval Payments will be multiplied by a fraction, the numerator of which is such actual amount of Development Costs paid or incurred by SFJ hereunder (as adjusted, to the extent applicable, pursuant to Section 2.3.3, Section 3.12.2 and/or Section 3.12.3) and the denominator of which is One Hundred Twenty Million U.S. Dollars ($120,000,000.00).",Price Restrictions,Yes
"In connection with the Development, manufacture and Commercialization of the Product and fulfillment of PBÕs obligations hereunder, PB shall spend at least an amount equal to the amount of funding paid by SFJ to PB pursuant to this Section 4.2.",Minimum Commitment,Yes
"Upon approval of a BLA for the Product for the Indication by NMPA in China or PMDA in Japan, SFJ, on behalf of itself and its Affiliates, shall, and hereby does, assign to PB all of SFJÕs and its AffiliatesÕ right, title and interest in and to all INDs, BLAs and Regulatory Approvals (including all amendments and supplements to any of the foregoing) and other filings with, and formal submissions to, NMPA or PMDA, respectively, and other applicable Regulatory Authorities in such country, in each case, with respect to the Product in such country (collectively, ""Product Filings"").",IP Ownership Assignment,Yes
"Within [***] after assignment of such Product Filings in the applicable country, SFJ shall deliver to PB: (a) true, correct and complete copies of all Product Filings in such country (in each case, whether held in the name of SFJ or any of its Affiliates), and disclose to PB in writing all previously-undisclosed Research Results within the Trial Data Package; (b) formally transfer or assign, or cause to be formally transferred or assigned, into the name of PB or its designee all Product Filings in such country (in each case, whether held in the name of SFJ or any of its Affiliates); and (c) take such other actions and execute such other instruments, assignments and documents as may be necessary to effect, evidence, register and record the transfer, assignment or other conveyance of such rights to PB or its designee.",IP Ownership Assignment,Yes
"SFJ shall, and hereby does, assign to MedImmune and will cause each of its officers, directors, employees and Affiliates, and its and their respective Permitted Third Parties, to assign to MedImmune all right, title and interest in and to all Patents filed by or on behalf of PB claiming any Licensed Know-How, without additional compensation, as is necessary to fully effect the Source: PHASEBIO PHARMACEUTICALS INC, 10-K, 3/30/2020sole ownership provided for in the second sentence of this Section 11.1.1.1(b).",IP Ownership Assignment,Yes
"SFJ shall, and hereby does, assign to MedImmune and will cause each of its officers, directors, employees and Affiliates, and its and their respective Permitted Third Parties, to assign to MedImmune all right, title and interest in and to all Patents filed by or on behalf of PB claiming any Licensed Know-How, without additional compensation, as is necessary to fully effect the sole ownership provided for in the second sentence of this Section 11.1.1.1(b).",IP Ownership Assignment,Yes
"SFJ acknowledges and agrees that, as required by the AZ License, MedImmune shall own and retain all right, title and interest in and to any and all AstraZeneca Product Improvements, AstraZeneca Product Know-How and AstraZeneca Product Patents.",IP Ownership Assignment,Yes
"SFJ shall, and hereby does, assign to MedImmune and will cause each of its officers, directors, employees and Affiliates, and its and their respective Permitted Third Parties, to assign to MedImmune all right, title and interest in and to all (i) AstraZeneca Product Improvements that are conceived, discovered, developed or otherwise made by or on behalf of SFJ or any of its Affiliates (including by any of their respective Third Party contractors), (ii) AstraZeneca Product Know-How generated by or on behalf of SFJ or any of its Affiliates (including by any of their respective Third Party contractors), and (iii) AstraZeneca Product Patents claiming any such AstraZeneca Product Improvement(s) or AstraZeneca Product Know-How; in each case, without additional compensation, as is necessary to fully effect the sole ownership provided for in the first sentence of this Section 11.1.1.2(a).",IP Ownership Assignment,Yes
"SFJ shall cause each employee, individual consultant and Third Party contractor that SFJ or its Affiliate proposes to engage to conduct any Clinical Trial activity under or in connection with this Agreement (including, if applicable, in connection with the Program Transfer Agreement) on its behalf who conceives, discovers, develops or otherwise makes any AstraZeneca Product Improvement under or in connection with activities conducted pursuant to this Agreement to be under an obligation to assign to PB their rights in any such AstraZeneca Product Improvement, so that PB may comply with its obligations with respect to AstraZeneca Improvements, AstraZeneca Product Know-How and AstraZeneca Product Patents under the AZ License.",IP Ownership Assignment,Yes
"SFJ, for itself and on behalf of its Affiliates, hereby assigns, and shall cause such other Permitted Third Parties to assign (subject to Section 11.1.1.3(c)), to PB all its right, title and interest in and to Trial Inventions and all information and data necessary to support the filing of patent applications Covering such Trial Inventions.",IP Ownership Assignment,Yes
"SFJ shall cause each employee and individual consultant of such SFJ or its Affiliates (but excluding Permitted Third Parties of SFJ and its Affiliates, which are separately addressed in Section 11.1.1.3(c)) who conceives, discovers, develops or otherwise makes any Trial Invention to be under an obligation to assign to PB their rights in any such Trial Invention.",IP Ownership Assignment,Yes
"In consideration of the Approval Payments to be made under this Agreement (if and to the extent applicable), and in further consideration of the payment by PB to SFJ of [***], SFJ shall sell and transfer to PB, and PB shall acquire from SFJ, the sole and exclusive ownership, even as to SFJ, of the Trial Data Package including all Research Results as set forth below in this Section 11.1.1.4.",IP Ownership Assignment,Yes
"In addition, during the Term, PB shall not take any action to terminate the AZ License without providing [***] prior written notice to SFJ of PBÕs intent to terminate so that SFJ may, in its sole discretion, elect to obtain the Program Transfer, and if SFJ elects in writing within such [***] period to obtain the Program Transfer, then PB shall not terminate the AZ License but shall assign it to SFJ in accordance with the Program Transfer Agreement and in such event PB shall not be entitled to any royalty payments as set forth in Section 3 of the Program Transfer Agreement.",IP Ownership Assignment,Yes
"to the extent not previously assigned to PB pursuant to Section 11.1.1.4, SFJ shall, and it hereby does, assign sole and exclusive ownership of the Trial Data Package including the Research Results included therein to PB, such assignment to be effective in accordance with Section 11.1.1.4;",IP Ownership Assignment,Yes
"effective as of such termination, SFJ shall, and it hereby does, assign to PB all of SFJÕs and its AffiliatesÕ right, title and interest in and to all Product Filings then owned or Controlled by SFJ or any of its Affiliates; provided that if any such Product Filing is not immediately transferable in a country, SFJ shall provide PB with all benefit of such Product Filing and such assistance and cooperation as necessary or reasonably requested by PB to timely transfer such Product Filing to PB or its designee or, at PBÕs option, to enable PB to obtain a substitute for such Product Filing without disruption to PBÕs development or Commercialization of the Product in the SFJ Territory;",IP Ownership Assignment,Yes
"within [***] after assignment of the Product Filings pursuant to Section 14.3.2, SFJ shall deliver to PB: (a) true, correct and complete copies of all Product Filings in such country (in each case, whether held in the name of SFJ or any of its Affiliates), Source: PHASEBIO PHARMACEUTICALS INC, 10-K, 3/30/2020and disclose to PB in writing all previously-undisclosed Research Results within the Trial Data Package; (b) formally transfer or assign, or cause to be formally transferred or assigned, into the name of PB or its designee all Product Filings in such country (in each case, whether held in the name of SFJ or any of its Affiliates); and (c) take such other actions and execute such other instruments, assignments and documents as may be necessary to effect, evidence, register and record the transfer, assignment or other conveyance of such rights to PB or its designee;",IP Ownership Assignment,Yes,Post-termination Services,Yes
"within [***] after assignment of the Product Filings pursuant to Section 14.3.2, SFJ shall deliver to PB: (a) true, correct and complete copies of all Product Filings in such country (in each case, whether held in the name of SFJ or any of its Affiliates), and disclose to PB in writing all previously-undisclosed Research Results within the Trial Data Package; (b) formally transfer or assign, or cause to be formally transferred or assigned, into the name of PB or its designee all Product Filings in such country (in each case, whether held in the name of SFJ or any of its Affiliates); and (c) take such other actions and execute such other instruments, assignments and documents as may be necessary to effect, evidence, register and record the transfer, assignment or other conveyance of such rights to PB or its designee;",IP Ownership Assignment,Yes,Post-termination Services,Yes
"In the case of any individual consultant of SFJ or its Affiliates (excluding SFJÕs and its AffiliatesÕ Permitted Third Parties), if SFJ is unable to cause such consultant to agree to such assignment obligation despite SFJÕs using commercially reasonable efforts to negotiate such assignment obligation, then SFJ shall either: (A) cause such consultant to grant an exclusive, worldwide, royalty-free, fully-paid, freely-assignable license, with the right to sublicense through multiple tiers, under their rights in such Trial Invention to develop, make, have made, use, sell, have sold, offer for sale and import the Product for any and all uses, except where Applicable Law requires otherwise and except in the case of consultants who are employed by governmental, not- for-profit, or public institutions that have standard policies against such an assignment (in which case, SFJ shall use commercially reasonable efforts to obtain a suitable license, or right to obtain such a license)_ or (B) refrain from using such consultant to conduct activities pursuant to this Agreement unless PB obtains MedImmuneÕs written consent thereto.",Irrevocable or Perpetual License,Yes
"Additionally, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, PB will remain obligated to pay any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time as such payments become due and payable (if ever) (except to the extent PB pays any Buy-Out Payment(s) pursuant to Section 6.7), provided that each Approval Payment (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2, and reduced by the amount previously paid by PB to SFJ pursuant to this Section 14.2.1.",Post-termination Services,Yes
"Notwithstanding the foregoing, if PB terminates this Agreement pursuant to this Section 14.2.1 above based on SFJÕs failure to make any payment due to PB in accordance with ARTICLE 4, then, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, PB shall remain obligated to pay to SFJ fifty percent (50%) of any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time that such payments become due and payable (if ever) pursuant to ARTICLE 6 (or, as applicable, fifty percent (50%) of any Buy-Out Payment that PB elects to pay pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall also be adjusted as set forth in Section 6.2.",Post-termination Services,Yes
"In the event that PB terminates this Agreement pursuant to this Section 14.2.2 then in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB will pay SFJ, within [***] of the date of termination, an amount equal to three hundred percent (300%) of Development Costs paid or incurred by SFJ prior to such termination.",Post-termination Services,Yes
"Additionally, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, PB will remain obligated to pay any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time as such payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant to Section 6.7), provided that each Approval Payment (or the Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2, and reduced by the amount previously paid by PB to SFJ pursuant to this Section 14.2.2.",Post-termination Services,Yes
"In the event that SFJ terminates this Agreement pursuant to this Section 14.2.3, then, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB shall remain obligated to pay SFJ an amount equal to fifty percent (50%) of the Approval Payments (as adjusted as set forth in Section 6.2, subject, to the extent applicable, to Sections 2.3.3 and 3.12.2) that become due and payable under ARTICLE 6 at such time as they become due and payable (if ever) pursuant to ARTICLE 6 (or, as applicable, 50% of any Buy-Out Payment that PB elects to pay pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall also be adjusted as set forth in Section 6.2.",Post-termination Services,Yes
"In the event that this Agreement is terminated pursuant to this Section 14.2.4, then, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB shall remain obligated to make any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time that such payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2.",Post-termination Services,Yes
"In the event that PB terminates this Agreement pursuant to this Section 14.2.5, then, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB shall remain obligated to pay to SFJ any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time as such Approval Payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant Source: PHASEBIO PHARMACEUTICALS INC, 10-K, 3/30/2020to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2.",Post-termination Services,Yes
"In the event that PB terminates this Agreement pursuant to this Section 14.2.5, then, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB shall remain obligated to pay to SFJ any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time as such Approval Payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2.",Post-termination Services,Yes
"In the event SFJ terminates this Agreement pursuant to this Section 14.2.5, then in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB will pay SFJ within [***] of the date of termination an amount equal to three hundred percent (300%) of Development Costs paid or incurred by SFJ prior to such termination.",Post-termination Services,Yes
"Additionally, PB will remain obligated to pay any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time as such payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2, and reduced by the amount previously paid by PB to SFJ pursuant to this Section 14.2.5.2.",Post-termination Services,Yes
"In the event that SFJ terminates this Agreement pursuant to this Section 14.2.6, then, in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB will pay to SFJ within [***] of the date of termination an amount equal to one hundred fifty percent (150%) of Development Costs which were paid or incurred by SFJ. PB or its successor (whose performance shall be guaranteed by PB) shall be obligated to continue to exercise Commercially Reasonable Effort to develop the Product and seek Regulatory Approval as set forth herein following the date of such termination including the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB shall remain obligated to pay any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time as such Approval Payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2, and shall be reduced by the amount previously paid to SFJ as set forth in this Section 14.2.6.",Post-termination Services,Yes
"Notwithstanding the foregoing, (A) if this Agreement terminates pursuant to this Section 14.2.7 and such termination: (i) arises as a result of gross negligence on the part of PB; or (ii) is due to (x) the applicable independent data monitoring committee recommending termination of the Phase 3 Trial or (y) PB and SFJ Source: PHASEBIO PHARMACEUTICALS INC, 10-K, 3/30/2020mutually agreeing to terminate the Phase 3 Trial, in either case ((x) or (y)), due to a Serious Safety Issue that was previously known, demonstrated or identified by PB as being material as of the Effective Date and the material data showing, demonstrating, or identifying such Serious Safety Issue were not included in the Data Room, disclosed in writing to SFJ or otherwise publicly known prior to the Effective Date; then, in either case ((i) or (ii)), PB will pay SFJ within [***] of the date of termination an amount equal to three hundred percent (300%) of Development Costs paid or incurred by SFJ, and (B) if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB will remain obligated to pay any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time as such Approval Payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2 and shall be reduced by the amount previously paid by PB to SFJ pursuant to this Section 14.2.7",Post-termination Services,Yes
"Notwithstanding the foregoing, (A) if this Agreement terminates pursuant to this Section 14.2.7 and such termination: (i) arises as a result of gross negligence on the part of PB; or (ii) is due to (x) the applicable independent data monitoring committee recommending termination of the Phase 3 Trial or (y) PB and SFJ mutually agreeing to terminate the Phase 3 Trial, in either case ((x) or (y)), due to a Serious Safety Issue that was previously known, demonstrated or identified by PB as being material as of the Effective Date and the material data showing, demonstrating, or identifying such Serious Safety Issue were not included in the Data Room, disclosed in writing to SFJ or otherwise publicly known prior to the Effective Date; then, in either case ((i) or (ii)), PB will pay SFJ within [***] of the date of termination an amount equal to three hundred percent (300%) of Development Costs paid or incurred by SFJ, and (B) if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB will remain obligated to pay any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time as such Approval Payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2 and shall be reduced by the amount previously paid by PB to SFJ pursuant to this Section 14.2.7.",Post-termination Services,Yes
"In the event that SFJ terminates this Agreement pursuant to this Section 14.2.8.1, then (a) in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB will pay SFJ, within [***] of the date of termination, an amount equal to one hundred fifty percent (150%) of Development Costs paid or incurred to PB by SFJ prior to such termination, and (b) if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, PB shall remain obligated to pay to SFJ any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time that such payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2, and reduced by the amount previously paid by PB to SFJ pursuant to this Section 14.2.8.1.",Post-termination Services,Yes
"In the event that PB terminates this Agreement pursuant to this Section 14.2.8.2, then, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB shall remain obligated to pay to SFJ any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time that such payments become due and payable (if ever) pursuant to ARTICLE 6 (except to the extent of the amount of any Buy-Out Payment paid by PB pursuant to Section 6.7), provided that such Approval Payments (or Buy-Out Payment, as applicable) shall be (A) adjusted as set forth in Section 6.2, and (B) reduced by the amount of all documented out-of-pocket expenses incurred by or on behalf of PB as a result or arising out of such violation by SFJ or any of its Representatives (including any and all amounts paid by PB as penalties or fines for such violation, in settlement of legal or administrative proceedings relating to such violation, or otherwise).",Post-termination Services,Yes
"In the event that SFJ terminates this Agreement pursuant to this Section 14.2.9, then in exchange for purchasing the Trial Data Package including the Research Results included therein as set forth in Section 11.1.1.4, PB shall pay to SFJ, within [***] of the date of termination, an amount equal to all Development Costs paid or incurred by SFJ as of the date of termination.",Post-termination Services,Yes
