Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,EXCLUSIVE DISTRIBUTOR AGREEMENT
"This Agreement may be terminated as follows: (a) In the event that the Parties mutually determine that the arrangements contemplated by this Agreement are no longer in the best interests of the Parties or the Parties are not otherwise compatible, the Parties may at any time, by mutual written agreement, terminate this Agreement. (b) Immediately upon the occurrence of any of the following events and effective upon delivery of notice: (1) by Hydraspin, i f  Distributor ceases to  do business, or otherwise terminates DistributorÕs business operations_ (2) by Distributor, if Hydraspin ceases to do business, or otherwise terminates HydraspinÕs business operations_ (3) by Hydraspin, if Distributor fails to satisfy the Performance Thresholds_ (4) by either Party, if any representation by the other Party made in this Agreement was false or misleading in any material respect when made_ (5) by Distributor, if Hydraspin fails to secure or renew any license, permit, authorization, or approval for the conduct of HydraspinÕs business or the distribution of the Products or if any such license, permit, authorization, or approval is revoked or suspended provided that such failure, revocation or suspension results in HydraspinÕs failure or inability to perform substantially all of its obligations hereunder_ (6) by either Party, if the other Party engages in fraud, criminal/negligent conduct in connection with this Agreement or the business relationship of the parties or if the other Party makes any material false representations, reports, or claims in connection with this Agreement or any Product_ (7) by either Party, if the other Party breaches any of its obligations under this Agreement and such violation is not cured to the satisfaction of the non-breaching party within thirty (30) days after written notice is given from the non-breaching Party to the breaching Party_ 10 Source: WATER NOW, INC., 10-Q, 11/20/2019(8) by either Party, if Hydraspin undergoes a Change of Control_ or (9) by either Party, if such other Party seeks protection under any bankruptcy, receivership, trustee, creditors arrangement, composition, or comparable proceeding, or if any such proceeding is instituted against such other Party.",Change of Control,Yes
"This Agreement may be terminated as follows: (b) Immediately upon the occurrence of any of the following events and effective upon delivery of notice:(8) by either Party, if Hydraspin undergoes a Change of Control",Change of Control,Yes
"If termination is the result of a Change of Control, Distributor shall be entitled to receive a onetime payment, within three (3) business days of the effective date of the Change of Control, equal to the greater of the following 1) the aggregate amount of the Distributor Share received during the 18 months prior to the effective date of such Change of Control or 2) the aggregate amount of the Distributor Share received on the 30 days prior to the effective date of such Change of Control multiplied by 18.",Change of Control,Yes
"Neither Party may assign any right, or delegate any duty under this Agreement, in whole or in part, without the prior written consent of the other Party, which shall not be unreasonably withheld or delayed.",Anti-assignment,Yes
Any attempted assignment without such consent shall be void and of no effect.,Anti-assignment,Yes
"Notwithstanding anything contained in this Section to the contrary, Hydraspin may assign this Agreement upon written notice to Distributor to any entity which controls, is controlled by or under common control with Hydraspin or to any successor to or purchaser of all or substantially all of its assets or stock, by merger or otherwise.",Anti-assignment,Yes
"""Distributor Share"" means, with respect to Net Revenue, the percentage of Net Revenue that the Distributor is entitled to receive, as follows: (i) for the first ten (10) Products installed, 7.5% of Net Revenue, and (ii) for the eleventh (11th) Product installed and all Products installed thereafter, 15% of Net Revenue. Notwithstanding anything to the contrary contained herein, the 1 Source: WATER NOW, INC., 10-Q, 11/20/2019Distributor Share with respect to the split of Net Revenue between Hydraspin and the Distributor with respect to any particular Production installation or group Product installation may be negotiated by Hydraspin and the Distributor and set forth in a separate written agreement between the Parties, and in such case, the Distributor Share set forth in the separate written agreement shall supersede and control over the Distributor Share set forth above.",Revenue/Profit Sharing,Yes
"""Hydraspin Share"" means, with respect to Net Revenue, the percentage of Net Revenue that Hydraspin is entitled to receive, as follows: (i) for the first ten (10) Products installed, 92.5% of Net Revenue, and (ii) for the eleventh (11th) Product installed and all Products installed thereafter, 85% of Net Revenue.",Revenue/Profit Sharing,Yes
"With respect to each Revenue Event, Distributor shall be entitled to receive the Distributor Share of Net Revenue, and Hydraspin shall be entitled to receive the Hydraspin Share of Net Revenue.",Revenue/Profit Sharing,Yes
"Hydraspin hereby grants to Distributor an exclusive non-transferable and royalty-free right and license to use HydraspinÕs Marks in connection with the advertising, promotion, marketing, distribution and sale of the Products in the Territory in accordance with HydraspinÕs standards and instructions.",License Grant,Yes,Non-Transferable License,Yes
"During the term of this Agreement, Distributor shall afford to Hydraspin and its authorized representatives full access at all reasonable times and upon reasonable prior notice, to all such books and records with respect to the Products.",Audit Rights,Yes
