Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT",Document Name,"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT"
"""Joint Work"" means any content, data, URLs, domain names, technology, software, code, user interfaces, ""look and feel"" or other items which are invented, created, developed or first reduced to practice jointly by the Parties after the Effective Date, are protected or protectable by any Intellectual Property Rights and either: (a) include or incorporate both ACSI Existing Intellectual Property, ACSI Future Intellectual Property and/or ACSI Derivative Works, on the one hand, and/or Company Existing Intellectual Property, Company Future Intellectual Property and/or Company Derivative Works, on the other hand_ or (b) include or incorporate no ACSI Existing Intellectual Property or ACSI Derivative Works, on the one hand, or Company Existing Intellectual Property or Company Derivative Works, on the other hand_ provided, however, that notwithstanding any other provision of this Agreement, to the extent that any such items incorporate in whole or in part any ACSI Site Functionality or technology, software, code, user interfaces or ""look and feel"" related thereto or incorporated therein, such items shall be deemed ACSI Derivative Works in their entirety and not Joint Works or Company Intellectual Property.",Joint IP Ownership,Yes
"To the extent that any Joint Works are created in the course of performance of this Agreement, each Party shall own a joint, equal and undivided ownership interest in and to such Joint Works and the associated Intellectual Property Rights, with no duty on the part of either Party to account to the other with respect to its use and exploitation of the same.  Without limiting the generality of the foregoing, either Party may, without any duty to account to the other (including, without limitation, any duty to pay, share or account for any royalties):           (a) make, manufacture, assemble, produce, market, sell, distribute,      transfer, use, license and otherwise commercially and non-commercially      exploit and deal with the Joint Works; provided, that neither Party shall      seek or obtain any                                      -14-      registration of any Intellectual Property Rights associated with the Joint      Works without the other Party's prior written consent;           (b) make, manufacture, assemble, produce, market, sell, distribute,      transfer, use, license, seek and obtain registrations of Intellectual      Property Rights (subject to paragraph (a) above) and otherwise commercially      and non-commercially exploit and deal with Derivative Works of any Joint      Works created by or for such Party, whether or not competitive with any      items created by or for the other Party; and           (c) authorize any third party to take any action described in (a) or      (b) above.",Joint IP Ownership,Yes
"To the extent that any Joint Works are created in the course of performance of this Agreement, each Party shall own a joint, equal and undivided ownership interest in and to such Joint Works and the associated Intellectual Property Rights, with no duty on the part of either Party to account to the other with respect to its use and exploitation of the same. Each Party shall own all right, title and interest in and to any Derivative Works of any Joint Works created by or for such Party and all Intellectual Property Rights associated therewith (to the extent not also associated with the Joint Works). Without limiting the generality of the foregoing, either Party may, without any duty to account to the other (including, without limitation, any duty to pay, share or account for any royalties):           (a) make, manufacture, assemble, produce, market, sell, distribute,      transfer, use, license and otherwise commercially and non-commercially exploit and deal with the Joint Works_ provided, that neither Party shall seek or obtain any registration of any Intellectual Property Rights associated with the Joint      Works without the other Party's prior written consent_           (b) make, manufacture, assemble, produce, market, sell, distribute, transfer, use, license, seek and obtain registrations of Intellectual Property Rights (subject to paragraph (a) above) and otherwise commercially and non-commercially exploit and deal with Derivative Works of any Joint Works created by or for such Party, whether or not competitive with any items created by or for the other Party_ and           (c) authorize any third party to take any action described in (a) or (b) above.",Joint IP Ownership,Yes
"ACSI hereby grants to Company, during the Term, a non- exclusive, non-transferable (except in accordance with Section 11.7  [Assignment]) license, which Company may sublicense only to its Affiliates, to use the ACSI Intellectual Property supplied by ACSI to Company as is reasonably necessary to perform its obligations under this Agreement_ provided, however, that Company shall not use ACSI's Trademarks, including in any advertising, without ACSI's prior written consent, unless such use conforms to a written Trademark use policy previously furnished by ACSI to Company and not subsequently modified or revoked.",License Grant,Yes,Non-Transferable License,Yes
"Company hereby grants to ACSI, during the Term, a non-exclusive, non-transferable (except in accordance with Section 11.7  [Assignment]) license, which ACSI may sublicense only to its Affiliates, to use the Company Intellectual Property supplied by Company to ACSI as is reasonably necessary to perform its obligations under this Agreement_ provided, however, that ACSI shall not use Company's Trademarks, including in any advertising, without Company's prior written consent, unless such use conforms to a written Trademark use policy previously furnished by Company to ACSI and not subsequently modified or revoked.",License Grant,Yes,Non-Transferable License,Yes
"Each Party will, during the Term and for a period of one (1) year thereafter, maintain complete and accurate books and records sufficient to verify its compliance or non-compliance with the provisions of this Section 9 (and, in the case of Company, Section 5.4  [Royalties]).",Post-termination Services,Yes
"Upon any termination or expiration of the Term the Parties will cooperate in good faith to promote a smooth customer transition, and in any event, Company will, at ACSI's option, continue to operate the Mirror Company Site and offer Spoken-Word Audio Products through the Spoken-Word Audio Sub-Section in accordance with the terms of this Agreement for a period of up to six (6) months following such termination.",Post-termination Services,Yes
"Each Party (the ""Audited Party') will, upon at least thirty (30) days' prior written request by the other Party (the ""Auditing Party""), allow an independent certified public accounting firm selected by the Auditing Party and reasonably acceptable to the Audited Party to audit such books and records at the Audited Party's premises to the extent necessary to verify the Audited Party's compliance or non-compliance with the provisions of this Section 9 (or, in the case of Company, Section 5.4  [Royalties])_ provided, that: (a) any such audit is conducted during normal business hours and in a manner designed to not unreasonably interfere with the Audited Party's ordinary business operations_ (b) audits may not occur more frequently than once every twelve (12) months_ and (c) each such audit may only cover the period commencing after the period covered by the last audit conducted pursuant to this Section, if any.",Audit Rights,Yes
"""Audited Party') will, upon at least thirty (30) days' prior written request by the other Party (the ""Auditing Party""), allow an independent certified public Source: AUDIBLE INC, 10-Q, 11/13/2000accounting firm selected by the Auditing Party and reasonably acceptable to the Audited Party to audit such books and records at the Audited Party's premises to the extent necessary to verify the Audited Party's compliance or non-compliance with the provisions of this Section 9 (or, in the case of Company, Section 5.4  [Royalties])_ provided, that: (a) any such audit is conducted during normal business hours and in a manner designed to not unreasonably interfere with the Audited Party's ordinary business operations_ (b) audits may not occur more frequently than once every twelve (12) months_ and (c) each such audit may only cover the period commencing after the period covered by the last audit conducted pursuant to this Section, if any.",Audit Rights,Yes
The Auditing Party agrees that any information learned or disclosed by its auditor in connection with such audit is Confidential Information of the Audited Party.,Audit Rights,Yes
"EXCEPT TO THE EXTENT AWARDED TO A THIRD PARTY IN A JUDGMENT AGAINST WHICH A PARTY IS ENTITLED TO INDEMNIFICATION PURSUANT TO SECTION 7.2  [Indemnity], OR TO THE EXTENT ARISING OUT OF ANY BREACH OF SECTION 11.4  [Nondisclosure], NEITHER PARTY WILL BE LIABLE (WHETHER IN CONTRACT, WARRANTY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE), PRODUCT LIABILITY OR OTHER THEORY), TO THE OTHER PARTY OR ANY OTHER PERSON OR ENTITY FOR COST OF COVER OR FOR ANY INDIRECT, INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES (INCLUDING WITHOUT LIMITATION DAMAGES FOR LOSS OF PROFIT, REVENUE, BUSINESS OR DATA) ARISING OUT OF THIS AGREEMENT, EVEN IF SUCH PARTY HAS BEEN ADVISEDOF THE POSSIBILITY OF SUCH COSTS OR DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
"EXCEPT FOR LIABILITIES UNDER SECTION 7.2  [Indemnity], NEITHER PARTY'S AGGREGATE LIABILITY ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT OR THE TRANSACTIONS CONTEMPLATED HEREBY, WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE), WARRANTY OR OTHERWISE, SHALL EXCEED [***].",Uncapped Liability,Yes,Cap on Liability,Yes
"FOR THE AVOIDANCE OF DOUBT, THE PARTIES HEREBY ACKNOWLEDGE AND AGREE THAT NOTHING IN THIS SECTION 8.2  [No Consequential Damages] IS INTENDED TO LIMIT ANY RIGHT OF ACSI TO RECEIVE LIQUIDATED DAMAGES AS SET FORTH IN SECTION 10.5.2  [Effect of Termination].",Liquidated Damages,Yes
"Company will at its expense, prior to the Launch Date obtain, and thereafter throughout the Term and for a period of six (6) months thereafter maintain, such policy or policies of insurance as is commercially reasonable for the transactions and business contemplated by this Agreement. Without limiting the generality of the foregoing, Company will ensure that such policies contain a waiver of subrogation against ACSI, name ACSI and its assignees as additional insureds.  Company will not modify or terminate any coverage without giving at least thirty (30) days' prior written notice to ACSI. Upon request from ACSI, Company will furnish to ACSI certificates of insurance and such other documentation relating to such policies as ACSI may reasonably request.",Insurance,Yes
