Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
"In the event that more than ***** such General                Program Member User Data records are supplied, payments for such                additional records shall be governed by Section 7.e.",Volume Restriction,Yes
"In the event that more than ***** Qualified Program Member User           Data records are supplied, payments for such additional records shall           be governed by Section 7.e.",Volume Restriction,Yes
"At its discretion, Excite@Home may include up to five rotating links on         the My Excite Start Page (""MESP"").",Volume Restriction,Yes
"Payment-Eligible URS User Data, Superset Data, and Shopping                Category Data collected through the operation of the Co-Branded                Application will be jointly owned by the parties.",Joint IP Ownership,Yes
"Transactional Data, when available, shall be jointly owned by                the parties, except in those cases where Application Provider's                contractual agreement(s) with its merchant partner(s) prevent                the sharing of said Transactional Data with third parties.",Joint IP Ownership,Yes
"Notwithstanding the foregoing, Payment-Eligible User Data             that relates to users who have opted out in accordance with Section             5(a) of EXHIBIT D shall continue to be jointly owned by the parties.",Joint IP Ownership,Yes
"In the event that the Agreement expires or is terminated for any reason other than termination pursuant to Section 16.a.v, the                parties shall continue to jointly own Payment-Eligible User Data                in accordance with Section 6.a.",Joint IP Ownership,Yes
"In the event that the Agreement expires or is terminated for any Source: INVENDA CORP, S-1/A, 8/28/2000               reason other than termination pursuant to Section 16.a.v, the                parties shall continue to jointly own Payment-Eligible User Data                in accordance with Section 6.a.",Joint IP Ownership,Yes
"Each party hereby grants to the other a non-exclusive, limited license           to use its trademarks, service marks or trade names only as           specifically described in this Agreement.",License Grant,Yes
"Effects of Termination. For a period of up to sixty (60) days, Application Provider will           provide consulting services to Excite@Home, as Excite@Home may           reasonably request and for reasonable fees to be paid to Application           Provider, such fees to be agreed upon in writing by the Parties, to           assist Excite@Home in providing a seamless transition to Program           Members.",Post-termination Services,Yes
"Effects of Termination. To further ensure a seamless transition for Program Members, in the           event of a termination based upon a material breach by e-centives or           an acquisition pursuant to Section 16.a.v. only, Application Provider           shall continue to host and maintain the Co-Branded Application for a           period of one hundred twenty (120) days following either receipt or           issuance of notice of intention to terminate this Agreement.",Post-termination Services,Yes
"Effects of Termination. Upon termination of this Agreement for reasons other than a           relationship with an Excite@Home Named Competitor under Section           16.a.v., the parties will communicate with Program Members as follows",Post-termination Services,Yes
"Upon termination of this Agreement for reasons other than a           relationship with an Excite@Home Named Competitor under Section           16.a.v., the parties will communicate with Program Members as follows:           i)   Excite@Home will email Program Members on e-centives' behalf up                to a maximum of two times. Consistent with other communications                envisioned during the Term of the Agreement, such mailings will                be branded Excite@Home but will alert Program Members that this                Agreement is to be terminated, the Co-Branded Application will Source: INVENDA CORP, S-1/A, 8/28/2000               continue with e-centives branding, and Program Members will                continue as a participant in the e-centives service unless they                explicitly opt out.  The content and copy of such emails shall be                mutually agreed upon.           ii)  The first email will be exclusive to e-centives (i.e., it will                not mention similar services from Excite@Home or other third                parties) and will alert Program Members of the continuation of                the e-centives service directly from e-centives. Program Members                shall be further alerted that their membership in the e-centives                service shall continue unless they explicitly opt-out.                Excite@Home shall not promote competing services in such contact                or otherwise discourage Program Members from continuing to use                the e-centives service as provided directly by e-centives.           iii) The second email will not be exclusive to e-centives. It will                include the same e-centives alerts as in the first email, but may                offer a replacement Excite@Home service and a notification that                the Program Member will remain in such an Excite@Home-provided                service unless they specifically opt-out. Excite@Home shall not                discourage Program Members from continuing to use the e-centives                service directly from e-centives, but may offer an additional                choice. It is conceivable that any one end user customer could                use both services.           iv)  Any such communications will be subject to Excite@Home's                then-current privacy policy.",Post-termination Services,Yes
"Once every 12 months, the         party receiving payment and/or User Data records or its designee may         inspect such records to verify for accuracy.",Audit Rights,Yes
"Except as provided by Sections 19(a)(iii)(2), (a)(iii)(3), (b)(iii)(2) and      (b)(iii)(3):      a)   Neither party will have liability for any damages other than direct           damages.",Uncapped Liability,Yes,Cap on Liability,Yes
"In no event will either party be liable to the other for any           special, incidental or consequential damages, whether based on breach           of contract, tort (including negligence) or otherwise, whether or not           that party has been advised of the possibility of such damage.",Cap on Liability,Yes
Either party's liability for damages shall be limited to the amounts           actually paid by the other party.,Cap on Liability,Yes
