Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
PROMOTION AGREEMENT,Document Name,PROMOTION AGREEMENT
"Except for the subcontractors appointed by MMT as of the Effective Date as listed on Exhibit A attached hereto, MMT may not grant sublicenses of the rights and licenses granted to it in Section 2.1(a) to any Affiliate (including Pfizer or any Affiliate of Pfizer) or Third Party without the prior written approval of SIGA (such approval not to be unreasonably withheld).",Anti-assignment,Yes,Non-Transferable License,Yes
"Neither Party may assign or transfer this Agreement or any rights or obligations hereunder without the prior written consent of the other Party, except that a Party may make such an assignment without the other PartyÕs consent to its Affiliates or to a Third Party successor of, or transferee to, assets of such Party to which this Agreement relates, whether in a merger, sale of stock, sale of assets or other transaction.",Anti-assignment,Yes
"Any assignment or attempted assignment by either Party in violation of the terms of this Section 13.5 is null, void and of no legal effect.",Anti-assignment,Yes
"In consideration for the services provided by MMT hereunder, commencing with the First Commercial Sale of the Product in the Territory, MMT shall be entitled to retain a fee (the ""Promotion Fee"") of: (i) [***] of the Yearly Collected Revenue of the Product in the Territory in each Calendar Year during the Term if the aggregate Net Product Sales Amounts for such Calendar Year are equal to or below [***]; and (ii) [***] of the Yearly Collected Revenue of the Product in the Territory in each Calendar Year during the Term if the aggregate Net Product Sales Amounts for such Calendar Year exceed [***].",Revenue/Profit Sharing,Yes
"In satisfaction of MMTÕs rights to the Promotion Fee, MMT shall retain from each payment to SIGA of the Quarterly Collected Revenue an amount equal to (i) [***] of the Quarterly Collected Revenue in the Territory during such Calendar Quarter so long as the total Net Product Sales Amounts in the Territory during the relevant Calendar Year are equal to or below [***] and (ii) [***] of the Quarterly Collected Revenue in the Territory during such Calendar Quarter where the total Net Product Sales Amounts in the Territory during the relevant Calendar Year exceeds [***] and (iii) any Credit Amounts.",Revenue/Profit Sharing,Yes
"If the Net Product Sales Amounts in the Territory exceeds [***] during any Calendar Year after any Quarterly Payment has been made, MMT shall automatically accrue a credit of [***] (the ""Credit Amount"") (representing the additional [***] fee that MMT would be entitled to receive with respect to the first [***] of the Quarterly Collected Revenue as a result of total Net Product Sales Amounts in the relevant Calendar Year having [***]), which Credit Amount will be deducted from future payments of Quarterly Collected Revenue to SIGA until the full Credit Amount is retained by MMT.",Revenue/Profit Sharing,Yes
"No Third Party has the right to sublicense any SIGA Patent or SIGA Trademark without the express written consent of SIGA, which consent will be withheld if in any way it conflicts with this Agreement.",Non-Transferable License,Yes
"Upon termination of this Agreement pursuant to this ARTICLE 11, for all Customer Contracts then in force in the Territory, MMT shall either (i) promptly exercise its rights to terminate such Customer Contracts pursuant to termination rights accruing from the occurrence of a termination of this Agreement or otherwise or (ii) upon timely written request of SIGA, use Commercially Reasonable Efforts to assign any Customer Contract identified in such notice then in force to SIGA.",Post-termination Services,Yes
"Promoter will maintain a record of each Safety Report received, including relevant source documents, and a record of each Safety Report reported to SIGA for a minimum period of ten (10) years after the expiration or termination of this Agreement and, if requested, will provide these and any other information requested by SIGA.",Post-termination Services,Yes
"MMT will require its sublicensees to provide to it a report detailing the foregoing expenses and calculations incurred or made by such sublicensee, which report will be made available to SIGA in connection with any audit conducted by SIGA pursuant to Section 6.5.",Audit Rights,Yes
"SIGA may have an independent top four certified public accountant, reasonably acceptable to MMT (""SIGAÕs Auditor""), have access during normal business hours, and upon [***] Business DaysÕ prior written notice, to examine only those records of MMT (and its Affiliates and sublicensees) as may be reasonably necessary to determine, with respect to any Calendar Year ending not more than [***] before SIGAÕs request, the correctness or completeness of any report or payment made under this Agreement; provided, however, MMT shall not be required to provide, and neither SIGA nor SIGAÕs Auditor shall be entitled to review, the tax returns or tax records of MMT or those of its Affiliates and sublicensees.",Audit Rights,Yes
The foregoing right of review may be exercised only once per year and only once with respect to each periodic report and payment delivered in accordance with Section 6.2.,Audit Rights,Yes
"Reports of the results of any such examination (each an ""Audit Report"") will be (a) limited to details of any discrepancies in MMTÕs records relating to the Product together with an explanation of the discrepancy and the circumstances giving rise to the discrepancy (b) made available to both Parties and (c) subject to ARTICLE 10.",Audit Rights,Yes
". An Audit Report shall become final and binding on the Parties thirty (30) days following MMTÕs receipt thereof, unless MMT delivers written notice of its agreement thereto (in which case such Audit Report shall become final and binding on the date of delivery of such notice of agreement) or written notice of its disagreement thereto (""Notice of Disagreement"") to SIGA in either case on or prior to such date.",Audit Rights,Yes
"SIGA, or its authorized representatives, shall have the right, at its cost, with reasonable advance notice, during regular business hours, to audit the facility used by the Promoter in order to review the Promoter activities under this Exhibit including, but not limited to, any documents relevant to these activities, for compliance with the safety reporting requirements set out in this Exhibit.",Audit Rights,Yes
"EXCEPT (I) IN THE EVENT OF THE FRAUD OF A PARTY OR OF A PARTYÕS BREACH OF ITS OBLIGATIONS UNDER ARTICLE 7 (INTELLECTUAL PROPERTY) OR ARTICLE 10 (CONFIDENTIALITY), OR (II) TO THE EXTENT ANY SUCH DAMAGES ARE REQUIRED TO BE PAID TO A THIRD PARTY AS PART OF A CLAIM FOR WHICH A PARTY PROVIDES INDEMNIFICATION UNDER THIS ARTICLE 9, NEITHER PARTY NOR ANY OF ITS AFFILIATES OR SUBLICENSEES SHALL BE LIABLE TO THE OTHER IN CONTRACT, TORT, NEGLIGENCE, BREACH OF STATUTORY DUTY OR OTHERWISE FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL, PUNITIVE, REMOTE, EXEMPLARY OR SPECULATIVE DAMAGES OR OTHER DAMAGES THAT ARE NOT PROBABLE AND REASONABLY FORESEEABLE AND IRRESPECTIVE OF WHETHER THAT PARTY OR ANY REPRESENTATIVE OF THAT PARTY HAS BEEN ADVISED OF, OR OTHERWISE MIGHT HAVE ANTICIPATED THE POSSIBILITY OF, ANY SUCH LOSS OR DAMAGE; PROVIDED, FOR CLARITY, [***].",Uncapped Liability,Yes,Cap on Liability,Yes
"MMT and SIGA shall each, at their sole cost and expense, procure and maintain (a) commercial general liability insurance in amounts not less than $[***] per incident and $[***] annual aggregate, and (c) product liability insurance in amounts not less than $[***] annual aggregate, and each naming the other Party as additional insured.",Insurance,Yes
"MMT and SIGA shall maintain such insurance throughout the Term, and shall from time to time provide copies of certificates of such insurance the other Party upon request.",Insurance,Yes
