Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer
REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT,Document Name,REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT
"To facilitate the effective launch of the Business, T&B shall assist LEA by providing the following: o Approved Images ¤ Minimum 5 Hero image/poses (studio or in the field) of Tarek á Full length, 3/4 or straight, waist up and/or chest up o Hi-resolution: 8""x10"" or 5""x 7"" 300 dpi flattened file ¤ File Format: .jpg, .psd, .tiff, .png. o Approved Videos ¤ Minimum 3 Live Workshop Promotion á 1 30 second clip á 1 60 second clip á 1 3-minute video ¤ Minimum 3 Online Workshop Promotion by topic á 1 30 second clip á 1 60 second clip á 1 3-minute video ¤ Minimum 5 Nurturing/Event Reminder- Live and Online (10) á 1 Thank you for registering á 1 Workshop reminder/ content á 1 Motivational- Why/Purpose á 1 Call to action- Show up. Take action by doing. o What theyÕll learn/expectations á 1 Thank you for pursing education- post event",Minimum Commitment,Yes
"Approved Images ¤ Minimum 5 Photos á Studio or in the field of Tarek o File Format: .jpg, .psd, .tiff, .png. o Approved Copy ¤ Minimum 3 topics to post á 1-2 paragraphs of content o Event promotion, Motivational and Real Estate Content o Approved Videos ¤ Minimum 3 Videos á 60 seconds to 3 minutes + o Studio or in the field of Tarek á Event promotion, Motivational and Real Estate Content o Personal Post ¤ Minimum 1 social post on all platforms inviting people to events, products or services",Minimum Commitment,Yes
"Approved Copy ¤ Minimum 3 topics to post á 1-2 paragraphs of content o Event promotion, Motivational and Real Estate Content o Approved Videos ¤ Minimum 3 Videos á 60 seconds to 3 minutes + o Studio or in the field of Tarek á Event promotion, Motivational and Real Estate Content",Minimum Commitment,Yes
"T&B Personality shall make six (6) public appearances each year of the Term, including an appearance at LEAÕs annual Hall of Fame Symposium, for the purpose of promoting the Business, which appearances may include autograph sessions, book signings, appearances at LEAÕs workshops, seminars and symposiums with each such session not to exceed four (4) hours",Volume Restriction,Yes
"The parties may also conduct up to 10 ""big stage"" live events each year to market Products. LEA may request T&B Personality to appear at such events for not more than eight (8) hours each, subject to T&B PersonalityÕs availability",Volume Restriction,Yes
"In the event LEA shall be deemed to have acquired any ownership rights in the Licensed Intellectual Property, the LEA shall assign, and agrees to execute all documents reasonably requested by T&B to assign, all such rights in the Licensed Intellectual Property to T&B or its nominee.",IP Ownership Assignment,Yes
"LEA and T&B shall jointly own all jointly-created work product including, but not limited to, ideas, any and all concepts, designs, Customer Data (including client lists) generated through the conduct of the Business, programs, software, reports, or other intellectual property and tangible work product, produced for the Business , regardless of whether such were incorporated into or used by the Business (collectively ""Work Product""), shall be and remain the joint property of LEA and T&B when produced provided, however, (i) to the extent LEA has contributed distinct and divisible work product to the Business during the Term (""LEA Work Product""), such LEA Work Product shall remain frozen for a period not to exceed 90 days, during which time T&B may acquire a license for the LEA Work Product by reimbursing LEA direct and verifiable costs LEA incurred in producing the LEA Work Product during the Term and (ii) to the extent T&B has contributed distinct and divisible work product to the Business during the Term (""T&B Work Product""), such T&B Work Product shall remain frozen for a period not to exceed 90 days, during which time LEA may acquire license for the T&B Work Product by reimbursing T&B direct and verifiable costs T&B incurred in producing the T&B Work Product during the Term.",Joint IP Ownership,Yes
"LEA shall, for a period of six (6) months (""Sell-Off Period"") following the effective date of termination of the license granted by T&B hereunder, have the right to fulfill commitments made to customers during the Term",Post-termination Services,Yes
"LEA shall keep such written records respecting Cash Sales as T&B may reasonably request so that Royalty Payments payable hereunder may be accurately determined and shall permit such records to be examined by T&B or its authorized representative upon reasonable prior written notice at any reasonable time during regular business hours to verify the records, reports and payments herein provided.",Audit Rights,Yes
"EXCEPT FOR AMOUNTS PAYABLE TO THIRD PARTIES IN CONNECTION WITH CLAIMS SUBJECT TO THE INDEMNIFICATION PROVISIONS OF SECTION 9.1 OR A BREACH OF EITHER PARTYÕS OBLIGATIONS UNDER SECTION 5 (CONFIDENTIALITY), NEITHER PARTY WILL, UNDER ANY CIRCUMSTANCES, BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS OR ANY OTHER SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES ARISING OUT OF OR RELATING TO THIS AGREEMENT EVEN IF THE PARTY HAS BEEN NOTIFIED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
"In any instance to which such indemnities pertain, LEA shall obtain and maintain necessary insurance, including, without limitation, Commercial General Liability Insurance, including product liability insurance, trademark infringement, copyright infringement, defamation, contractual liability and personal and advertising injury liability insurance in an amount no less than ten million dollars ($10,000,000.00) per occurrence and ten million dollars ($10,000,000.00) aggregate combined single limit.",Insurance,Yes
T&B and Tarek El Moussa shall be named as an additional insured on such insurance and proof of such inclusion shall be provided to T&B.,Insurance,Yes
"LEA shall not at any time do or cause to be done any act, omission, or thing contesting or in any way impairing or tending to impair any part of T&BÕs right, title and interest in the Licensed Intellectual Property.",Covenant Not To Sue,Yes
