Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
"if such rights comprise any data specifically provided to the Group by Customers during the billing process (""Billing Data""), then such rights shall be owned exclusively by the Online Group and neither Skype nor the Company will grant, nor claim for itself or its affiliated entities, independent contractors, or employees, either expressly or impliedly, any rights, title, interest, or licenses to such rights and each assigns to Online BVI, with full title guarantee, all copyrights, patents, trade marks, service marks, rights of publicity, authorsÕ rights, contract and licensing rights, goodwill and all other intellectual property rights in and to the same as may exist now and/or hereafter come into existence and arising under the laws of any jurisdiction for the entire term of such rights and all renewals, revivals and extensions thereof.",IP Ownership Assignment,Yes
"if such rights comprise (i) analysis prepared for or on behalf of the Parties as participants in the Company-Skype Branded Application, or (ii) any intellectual property right co-developed by the Parties, or (iii) of any Support Information, or (iv) any data as specifically provided to Skype or the Online Group by Company-Skype Branded Customers (""Joint Data""), other than that set forth in Sections 4.2.3.2.1 and 4.2.3.2.2 above and other than any Group Rights or Skype Rights, then such rights shall be jointly owned by the Parties, and may be exploited by any Party in accordance with this Agreement, and outside of this Agreement to the extent such exploitation would not, (x) in the case of Online BVI, violate or infringe upon the Skype Rights, (y) in the case of Skype, violate or infringe upon the Group Rights, or (z) in the case of the Company, violate or infringe upon the Group Rights or the Skype Rights.",Joint IP Ownership,Yes
"Subject to the terms and conditions of this Agreement, Online BVI hereby grants to Skype and the Company a limited, non-exclusive, non-sublicensable (except as set forth herein), non-transferable, non-assignable (except as provided in Section 14.4), royalty- free (but subject to the provisions of Section 5), license during the Term to use, market, provide access to, promote, reproduce and display the Online BVI Intellectual Property solely as incorporated in, and for the development of and for transmission pursuant to this Agreement of the Company-Skype Branded Application, the Company-Skype Branded Content and the Company-Skype Branded Web Site.",License Grant,Yes,Non-Transferable License,Yes
"Skype hereby grants to Online BVI and the Company a limited, non-exclusive, non-sublicensable (except as set forth herein), non-transferable, non-assignable (except as provided in Section 14.4), royalty-free (but subject to the provisions of Section 5), license during the Term to use, market, provide access to, promote, reproduce and display the Skype Intellectual Property solely (i) as incorporated in the Company-Skype Branded Application and/or the Company-Skype Toolbar, and (ii) as incorporated in, for the development of, and for transmission pursuant to this Agreement of, the Company-Skype Branded Content and the Company-Skype Branded Web Site, in each case for the sole purposes (unless otherwise mutually agreed by the Parties) of promoting and distributing, pursuant to this Agreement, the Company-Skype Branded Application, the Company-Skype Toolbar, the Company-Skype Branded Content and the Company-Skype Branded Web Site in the Territory; (a) provided, that it is understood that the Company-Skype Branded Customers will have the right under the EULA to use the Company- Skype Branded Application and the Company-Skype Toolbar and will have the right to access the Company-Skype Branded Content, the Company-Skype Branded Web Site and the Online BVI Web Site through the Internet and to otherwise receive support from the Company anywhere in the world, and that the Company shall be permitted to provide access to and reproduce and display the Skype Intellectual Property through the Internet anywhere in the world, and (b) provided further, that Online BVI and the Company shall ensure that no Company-Skype Branded Customer (or potential Company-Skype Branded Customer) shall be permitted to access, using the Company-Skype Branded Application or the Company-Skype Toolbar or through the Company-Skype Branded Web Site, any Skype premium features requiring payment by the Company-Skype Branded Customer (or potential Company-Skype Branded Customer), including, but not limited to, SkypeIn, SkypeOut, or Skype Plus, unless such Company-Skype Branded Customer (or potential Company-Skype Branded Customer) uses the payment methods made available by the Company pursuant to Section 2.5 for the purchase of such premium features.",License Grant,Yes
"Skype hereby grants to Online BVI and the Company a limited, non-exclusive, non-sublicensable (except as set forth herein), non-transferable, non-assignable (except as provided in Section 14.4), royalty-free (but subject to the provisions of Section 5), license during the Term to use, market, provide access to, promote, reproduce and display the Skype Intellectual Property solely (i) as incorporated in the Company-Skype Branded Application and/or the Company-Skype Toolbar, and (ii) as incorporated in, for the development of, and for transmission pursuant to this Agreement of, the Company-Skype Branded Content and the Company-Skype Branded Web Site, in each case for the sole purposes (unless otherwise mutually agreed by the Parties) of promoting and distributing, pursuant to this Agreement, the Company-Skype Branded Application, the Company-Skype Toolbar, the Company-Skype Branded Content and the Company-Skype Branded Web Site in the Territory_ (a) provided, that it is understood that the Company-Skype Branded Customers will have the right under the EULA to use the Company- Skype Branded Application and the Company-Skype Toolbar and will have the right to access the Company-Skype Branded Content, the Company-Skype Branded Web Site and the Online BVI Web Site through the Internet and to otherwise receive support from the Company anywhere in the world, and that the Company shall be permitted to provide access to and reproduce and display the Skype Intellectual Property through the Internet anywhere in the world, and (b) provided further, that Online BVI and the Company shall ensure that no Company-Skype Branded Customer (or potential Company-Skype Branded Customer) shall be permitted to access, using the Company-Skype Branded Application or the Company-Skype Toolbar or through the Company-Skype Branded Web Site, any Skype premium features requiring payment by the Company-Skype Branded Customer (or potential Company-Skype Branded Customer), including, but not limited to, SkypeIn, SkypeOut, or Skype Plus, unless such Company-Skype Branded Customer (or potential Company-Skype Branded Customer) uses the payment methods made available by the Company pursuant to Section 2.5 for the purchase of such premium features.",Non-Transferable License,Yes
"Except as provided herein, no member of the Online Group or the Group may in any manner (i) modify the Skype Software, Skype Toolbar, Company-Skype Toolbar and/or Company-Skype Branded Application or any Improvement thereof_ (ii) distribute, sell, transfer, encumber, sublicense, rent, loan, lend or lease the Skype Software and/or the Skype Toolbar, and/or any component thereof to any third party_ or",Non-Transferable License,Yes
"Except as provided herein, no member of the Skype Group or the Group may in any manner (ii) distribute, sell, transfer, encumber, sublicense, rent, loan, lend or lease any Online BVI Intellectual Property, and/or any component thereof to any third party.",Non-Transferable License,Yes
"Notwithstanding the foregoing, upon the prior written approval of Online BVI, which approval may be withheld in its sole discretion, the Company shall be permitted to sublicense its rights hereunder to a wholly-owned Subsidiary of the Company or a majority-owned Subsidiary of Tom Holding, for the same purpose and under the same terms and conditions as the license set forth herein.",Affiliate License-Licensee,Yes
"Notwithstanding the foregoing, upon the prior written approval of Skype, which approval may be withheld in its sole discretion, the Company shall be permitted to sublicense its rights hereunder to a wholly-owned Subsidiary, a majority-owned Subsidiary of Tom Holding, or to an unaffiliated third party distributor or reseller, for the same purpose and under the same terms and conditions as the license set forth herein.",Affiliate License-Licensee,Yes
"The Parties (including Online BVI on behalf of the Online Group) agree to maintain records (i) of all information reasonably necessary to verify all calculations to be made under Section 8.3.2, and (ii) supporting, verifying and necessary to demonstrate the calculation and collection of fees and/or revenue, as well as any deductions thereto, and payments made hereunder, including, without limitation, budgets, purchase orders, expense records, invoices, correspondence, banking and financial and other records pertaining to the determination of Gross Revenue, Direct Expenses and Adjusted Net Revenue, during the term of this Agreement and for a period of two (2) years following the expiration or termination hereof.",Post-termination Services,Yes,Audit Rights,Yes
"Each Party shall (i) immediately stop displaying, featuring, linking or in any other manner using the Company-Skype Branded Application (provided in the case of Skype, other than the Skype Software in the Company-Skype Branded Application), Company-Skype Toolbar, Company-Skype Branded Web Site, Company-Skype Branded Content, any co-branded materials or any other Intellectual Property of the other Parties (including, without limitation, Intellectual Property deemed to be owned by the other Parties under Section 4.2.3.2); (ii) return such materials directly to the other Parties, or delete and overwrite any electronically stored copies of such materials within thirty (30) days from the date of termination of this Agreement; (iii) within such thirty (30) day period, deliver to the other Parties a certificate duly executed by its authorised officer certifying its compliance with the foregoing, and (iv) provide the other Parties with such information and access to data and databases as may be necessary to permit such other Parties to fulfil any contractual obligations by them to users of the Company-Skype Branded Application undertaken by such other Parties prior to the time of termination.",Post-termination Services,Yes
"The Parties agree that notwithstanding any termination or expiration of this Agreement, the rights and licenses granted to any Company- Skype Branded Customers prior to termination or expiration of this Agreement pursuant to any EULA shall continue during the 24 months after such termination or expiration for the sole purpose of permitting such users to continue to access and utilize the Company-Skype Branded Application and the Company-Skype Toolbar, and so long as any Gross Revenue is received with respect to the Company-Skype Branded Application and/or the Company-Skype Toolbar, the provisions of Section 5 shall continue to be applicable after any termination or expiration.",Post-termination Services,Yes
"Not more than once per calendar quarter, each Party or its independent auditor (who shall be a certified public accountant) shall have the right, on not less than fifteen (15) calendar days prior notice and not during the first twenty (20) days after the close of any fiscal quarter of the other Parties, or within sixty (60) day of the close of such PartiesÕ respective fiscal years, to audit the books of account and records of any and all such Parties. Such audit shall be conducted at the premises where the audited Party maintains consolidated books of account; provided however, that the auditing Party may conduct all or any part of such audit at any of the audited PartyÕs premises where any relevant books of account and/or records are located",Audit Rights,Yes
"During such audits, the auditing Party shall have the right to take extracts and/or make copies of the audited PartyÕs records as it deems necessary",Audit Rights,Yes
"Such audits shall be at the auditing PartyÕs cost, except that, subject to Section 5.5, if an audit by an independent accounting firm establishes a deficiency of more than three percent (3%) between the amount shown to be due to the auditing Party and the amount actually paid for the period being audited, all actual and reasonable costs and expenses incurred by the auditing Party in connection with such audit shall be paid by the audited Party, along with the amount of any deficiency, within five (5) business days.",Audit Rights,Yes
"The exercise by any Party in whole or in part, at any time of the right to inspect and/or audit records and accounts or of any other right herein granted, or the acceptance by such Party of any statement or statements or the receipt and/or deposit by such Party, of any payment tendered by or on behalf of an audited Party shall be without prejudice to any rights or remedies of the accepting Party and such acceptance, receipt and/or deposit shall not preclude or prevent such accepting Party from thereafter disputing the accuracy of any such statement or payment.",Audit Rights,Yes
"Each Party shall cause any Subsidiary or other Affiliate (including, without limitation, a Subsidiary or other Affiliate of the Online Group or Skype Group, as applicable) to grant to the other Party the audit rights granted hereunder with respect to such other Party.",Audit Rights,Yes
"TO THE MAXIMUM EXTENT PERMISSIBLE UNDER APPLICABLE LAW, EXCEPT FOR THE WILFUL MISAPPROPRIATION OR INFRINGEMENT OF THE INTELLECTUAL PROPERTY OF A PARTY TO THIS AGREEMENT, OR THE OBLIGATIONS OF THE PARTIES TO THIS AGREEMENT PURSUANT TO SECTION 13, (A) THE LIABILITY OF ANY PARTY TO THIS AGREEMENT, IF ANY, FOR DAMAGES FOR ANY CLAIM OF ANY KIND WHATSOEVER AND REGARDLESS OF THE LEGAL THEORY, WITH REGARD TO THE RIGHTS GRANTED HEREUNDER OR THE SERVICES PERFORMED HEREUNDER, SHALL NOT INCLUDE COMPENSATION, REIMBURSEMENT OR DAMAGES ON ACCOUNT OF THE LOSS OF PRESENT OR PROSPECTIVE PROFITS, EXPENDITURES, DATA, OPPORTUNITY, ANTICIPATED SAVINGS, INVESTMENTS OR COMMITMENTS, WHETHER MADE IN ESTABLISHMENT, DEVELOPMENT OR MAINTENANCE OF REPUTATION OR GOODWILL OR FOR ANY OTHER REASON WHATSOEVER; AND (B) IN NO EVENT SHALL ANY PARTY TO THIS AGREEMENT BE LIABLE TO THE OTHER PARTIES TO THIS AGREEMENT FOR SPECIAL, INDIRECT, CONSEQUENTIAL, INCIDENTAL, PUNITIVE OR CONSEQUENTIAL DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
THE PARTIES ACKNOWLEDGE AND AGREE THAT NOTHING IN THIS SECTION 12.2 SHALL LIMIT A PARTYÕS OBLIGATION TO PAY ANY AMOUNTS DUE AND OWING TO THE OTHER PARTY UNDER SECTION 5 ON OR BEFORE ANY DATE OF EXPIRATION OR TERMINATION HEREOF.,Uncapped Liability,Yes
THE FOREGOING PROVISIONS OF THIS SECTION 13.5 STATE THE ENTIRE LIABILITY AND THE EXCLUSIVE REMEDY OF THE PARTIES TO THIS AGREEMENT WITH RESPECT TO INFRINGEMENT OR ALLEGED INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.,Cap on Liability,Yes
