Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING CONTENT AGREEMENT,Document Name,CO-BRANDING CONTENT AGREEMENT
"HCI shall not either directly or indirectly license or deliver content to or carry on or be engaged with any other Canadian portal web site, being a Web site which aggregates and markets a variety of content directed to multiple communities of interest and which offers products, Source: HEALTHCENTRAL COM, S-1/A, 11/8/1999tools and services to a broad base of Canadian end users.",Exclusivity,Yes
Either party may terminate this Agreement upon 30 days written notice if      either Party's corporate structure has undergone a material ownership      change such that its corporate interests are then in conflict with the      corporate interests of the other Party;,Change of Control,Yes
"Except as provided in this Section, neither Party may assign its rights or obligations under this Agreement without the prior written consent of the other Party, which shall not be unreasonably withheld.",Anti-assignment,Yes
"Notwithstanding the foregoing, either party shall be permitted to assign this Agreement and any of its rights and obligations hereunder to an affiliate or related company or to a purchaser of all or substantially all of its Internet business, without obtaining the prior written consent of the other party.",Anti-assignment,Yes
HCI shall be entitled to all net revenue generated from advertising and e-      commerce transactions generated by Canadian companies that may take place      on the Co-Branded Site up to and including [*] US in any given year.,Revenue/Profit Sharing,Yes
"Thereafter, any net revenues exceeding [*] US shall be shared fifty-fifty      between the parties (50% MediaLinx--50% HCI).",Revenue/Profit Sharing,Yes
MLX will use all commercially reasonable efforts to maintain the user traffic at a monthly minimum of:  .  [*] page views three (3) months after the launch of the Co-Branded Site_  .  [*] page views six (6) months after the launch of the Co-Branded Site_ and  .  [*] page views twelve (12) months after the launch of the Co-Branded Site.,Minimum Commitment,Yes
"During the Term of this Agreement MLX shall: a)   continue to technically host and moderate all of the HealthyWay discussion      forums currently residing on the forums section of the Sympatico web site.      MediaLinx shall retain all right, title to and interest in the discussion      forums_ b)   promote the Co-Branded Site as set out in Schedule ""1"" attached hereto_ c)   grant to HCI, a non-exclusive and non-transferable right to use MediaLinx      images and certain content contained in the HealthyWay web site (the      ""Sympatico Content"") for the sole purpose of satisfying the requirements of      this Agreement. MediaLinx shall retain all right, title to and interest in      the Sympatico Content_ d)   grant to HCI, to the extent that HCI requires access to MLX logos and      trademarks (collectively ""MLX Marks"") the use of certain MLX Marks as      necessary for the purposes of fulfilling its obligations under this      Agreement.",License Grant,Yes
"During the Term of this Agreement MLX shall: c)   grant to HCI, a non-exclusive and non-transferable right to use MediaLinx      images and certain content contained in the HealthyWay web site (the      ""Sympatico Content"") for the sole purpose of satisfying the requirements of      this Agreement. MediaLinx shall retain all right, title to and interest in      the Sympatico Content_ d)   grant to HCI, to the extent that HCI requires access to MLX logos and      trademarks (collectively ""MLX Marks"") the use of certain MLX Marks as      necessary for the purposes of fulfilling its obligations under this Agreement.",License Grant,Yes
"During the Term of this Agreement HCI shall: l) grant to MLX, to the extent that MLX requires access to HCI logos and      trademarks (collectively ""HCI Marks"") the use of certain HCI Marks as      necessary for the purposes of fulfilling its obligations under this      Agreement.",License Grant,Yes
"During the Term of this Agreement MLX shall: a)   continue to technically host and moderate all of the HealthyWay discussion      forums currently residing on the forums section of the Sympatico web site.      MediaLinx shall retain all right, title to and interest in the discussion      forums_ b)   promote the Co-Branded Site as set out in Schedule ""1"" attached hereto_ c)   grant to HCI, a non-exclusive and non-transferable right to use MediaLinx      images and certain content contained in the HealthyWay web site (the      ""Sympatico Content"") for the sole purpose of satisfying the requirements of      this Agreement. MediaLinx shall retain all right, title to and interest in      the Sympatico Content_",Non-Transferable License,Yes
"During the Term of this Agreement MLX shall: c)   grant to HCI, a non-exclusive and non-transferable right to use MediaLinx images and certain content contained in the HealthyWay web site (the ""Sympatico Content"") for the sole purpose of satisfying the requirements of this Agreement. MediaLinx shall retain all right, title to and interest in the Sympatico Content_",Non-Transferable License,Yes
"Either Party shall have the      right from time to time to audit and make extracts of the books and records      of the other, insofar as said books or records pertain to the terms of this      Agreement.",Audit Rights,Yes
"EXCEPT WITH RESPECT TO THE INDEMNITY OBLIGATIONS IN SECTION 14, THE CONFIDENTIALITY OBLIGATIONS UNDER SECTION 16, AND THE YEAR 2000 COMPLIANCE OBLIGATIONS UNDER SECTION 20, NOTWITHSTANDING ANYTHING TO THE CONTRARY CONTAINED IN THIS AGREEMENT, UNDER NO CIRCUMSTANCES SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY WITH RESPECT TO THE SUBJECT MATTER OF THIS AGREEMENT UNDER ANY CONTRACT, NEGLIGENCE,                                                                               10 STRICT LIABILITY, TORT OR OTHER LEGAL OR EQUITABLE THEORY FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL OR EXEMPLARY DAMAGES (INCLUDING, WITHOUT LIMITATION, LOSS OF REVENUE OR GOODWILL OR ANTICIPATED PROFITS OR LOST BUSINESS), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,Yes,Cap on Liability,Yes
HCI agrees:      (i)     that MLX is the owner of the MLX Marks and the goodwill and              reputation associated therewith_      (ii)    not to contest the validity of the MLX Marks or MLX's title              thereto_,Covenant Not To Sue,Yes
