Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
CO-BRANDING AGREEMENT,Document Name,CO-BRANDING AGREEMENT
eDiets.com will have the first right to substitute any of the following content features for any of the eight (8) content features selected above once inventory on such features becomes available.,ROFR/ROFO/ROFN,Yes
"For purposes of this Agreement, ""Change in Control"" means a merger or consolidation of the party with, or any sale of all or substantially all of the assets of such party to, any other person, corporation or entity, unless as a result of such merger, consolidation or sale of assets the holders of such party's voting securities prior thereto hold at least fifty percent (50%) of the total voting power represented by the voting securities of the surviving or successor corporation after such transaction.",Change of Control,Yes
"Neither party may assign this Agreement, in whole or in part, without the other party's written consent (which will not be unreasonably delayed or withheld), except that no such consent will be required in connection with an assignment or transfer of this Agreement to (a) a party's successor in connection with a Change in Control of such party, provided that such successor is not a competitor of the other party, or (b) to any entity that is controlled by, under common control with, or controls a party.",Anti-assignment,Yes
"Neither party may assign this Agreement, in whole or in part, without the other party's written consent (which will not be unreasonably delayed or withheld), except that no such consent will be required in connection with an assignment or transfer of this Agreement to (a) a party's successor in connection with a Change in Control of such party, provided that such successor is not a competitor of the other party, or (b) to any entity that is                                        13 controlled by, under common control with, or controls a party.",Anti-assignment,Yes
Any attempt to assign this Agreement other than as permitted above will be null and void.,Anti-assignment,Yes
"Following the Initial Term, Women.com shall have the right, upon no fewer than sixty (60) days prior written notice to eDiets, to increase the amount of the Payment Schedule_ provided, that (i) Women.com may not increase the Payment Schedule more than once in any period of twelve (12) consecutive months_ and (ii) such increase may not exceed twenty percent (20%) of the then current Payment Schedule.",Price Restrictions,Yes
"If Women.com does not deliver at least 80% of the Quarterly Impression Guarantee for Advertsing Promotions as set forth on Exhibit B (11,250,000 per quarter_ 45,000,000 per year)_ 80% of the Quarterly Impression Guarantee for the Diet Center Logo as set forth on Exhibit B (3,250,000 per quarter_ 13,000,000 per year)_ and 80% of the Quarterly Impression Guarantee for Other Campaigns as set forth on Exhibit B (3,000,000 per quarter_ 12,000,000 per year) each quarter following the Launch Date, within sixty (60) days of the end of the applicable quarter, Women.com shall deliver an amount equal to the under-delivery within the same campaign elements, including newsletters, promotions, exclusive sponsorships, targeted rotations, ROS, channel and sub-channel center logo placements, or mutually agreed upon comparable elements.",Minimum Commitment,Yes
"If Women.com does not deliver the shortfall within sixty (60) days of the end of the applicable quarter, eDiets may terminate this Agreement in its entirety immediately or authorize Women.com to deliver the shortfall within an extended number of days to be mutually agreed upon by the parties (the ""Make Good Period"").",Minimum Commitment,Yes
"During the Term, eDiets.com will be guaranteed 12 million circulation per year from and after the Effective Date via newsletters, including but not limited to:      >>  Fashion & Beauty Newsletter: 300,000 subscribers per month      >>  Food News: 180,000 subscribers per month      >>  Prevention: 1,600,000 subscribers per month      >>  Internet Scopes:  2,400,000 subscribers per month      >>  Sex & Romance: 120,000 subscribers per month      >>  What's New: 1,100,000 subscribers per month      >>  Women.com Member Newsletter: 1,700,000 subscribers per month Guaranteed Circulation Per Year:            12,000,000",Minimum Commitment,Yes
"Notwithstanding the foregoing, Women.com does guarantee a minimum of 13,000,000 impressions promoting eDiets per year on the Diet Center.",Minimum Commitment,Yes
"eDiets hereby grants to Women.com, subject to the terms and conditions of this Agreement, a non-exclusive, nontransferable, worldwide, royalty-free license to use, copy, reproduce and display the editorial content and other data, branding and other identification provided by eDiets to Women.com in connection with this Agreement (the ""eDiets Content"") on the Women.com Sites: (i) for publication in the Diet Center and elsewhere throughout the Women.com Sites; (ii) for the promotion of eDiets and the Diet Center on the Women.com Sites and in collateral advertising materials; and (iii) for such other purposes as are consistent with or otherwise authorized under this Agreement.",License Grant,Yes
"Women.com hereby grants eDiets a non-exclusive, non-transferable, royalty-free worldwide right and license without the right to sublicense to use the Women.com Marks during the Term solely in connection with (i) the fulfillment of eDiets' obligations under this Agreement, and (ii) in advertising and marketing collateral related to this Agreement.",License Grant,Yes
"eDiets hereby grants Women.com a non-exclusive, non-transferable, royalty-free worldwide right and license without the right to sublicense to use the eDiets Marks during the Term solely in connection with (i) the fulfillment of Women.com's obligations under this Agreement, and (ii) in advertising and marketing collateral related to this Agreement.",License Grant,Yes,Non-Transferable License,Yes
"eDiets hereby grants to Women.com, subject to the terms and conditions of this Agreement, a non-exclusive, nontransferable, worldwide, royalty-free license to use, copy, reproduce and display the editorial content and other data, branding and other identification provided by eDiets to Women.com in connection with this Agreement (the ""eDiets Content"") on the Women.com Sites: (i) for publication in the Diet Center and elsewhere throughout the Women.com Sites_ (ii) for the promotion of eDiets and the Diet Center on the Women.com Sites and in collateral advertising materials_ and (iii) for such other purposes as are consistent with or otherwise authorized under this Agreement.",Non-Transferable License,Yes
"Women.com hereby grants eDiets a non-exclusive, non-transferable, royalty-free worldwide right and license without the right to sublicense to use the Women.com Marks during the Term solely in connection with (i) the fulfillment of eDiets' obligations under this Agreement, and (ii) in advertising and marketing collateral related to this Agreement",Non-Transferable License,Yes
"EXCEPT FOR BREACHES OF SECTION 11 OR BREACHES OF ANY LICENSE GRANT SET FORTH IN THIS AGREEMENT, IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL, INDIRECT OR CONSEQUENTIAL DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF, KNEW, OR SHOULD HAVE KNOWN OF, THE POSSIBILITY OF SUCH DAMAGE AND NOTWITHSTANDING THE FAILURE OF ESSENTIAL PURPOSE OF ANY LIMITED REMEDY.",Uncapped Liability,Yes,Cap on Liability,Yes
THE LIMITATIONS ON LIABILITY FOR DAMAGES SET FORTH IN THIS AGREEMENT SHALL BE INAPPLICABLE TO EACH PARTY'S CONTRACTUAL OBLIGATION TO INDEMNIFY THE OTHER PARTY AS SET FORTH IN SECTIONS 2.6 AND 13.,Uncapped Liability,Yes
Each party agrees that the sole and exclusive remedy for a breach of the warranties set forth in this Section 12 shall be the indemnification set forth in Section 13 below.,Cap on Liability,Yes
"Women.com acknowledges that eDiets owns all right, title and interest in and to the eDiets Content, and Women.com shall not now or in the future contest the validity of the eDiets' ownership rights in and to the eDiets Content.",Covenant Not To Sue,Yes
