Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer,Label 3,Label 3-Answer,Label 4,Label 4-Answer,Label 5,Label 5-Answer,Label 6,Label 6-Answer
" Software License, Customization and Maintenance Agreement",Document Name," Software License, Customization and Maintenance Agreement"
"uch Supplier Records referenced above may be inspected, audited and copied by Bank of America, its Representatives or by federal or state agencies having jurisdiction over Bank of America, during normal business hours and at such reasonable times as Bank of America and Supplier may determine.",Audit Rights,Yes
"Supplier shall provide at its expense on an annual basis, a copy of the latest SAS70 (Statement on Auditing Standards No. 70, Service Organizations) Type II independent audit firm report for facilities not managed by Bank of America that are used to provide Products under this Agreement.",Audit Rights,Yes
Bank of America reserves the right to expand the scope of the controls to be covered in any SAS70-Type II audit report prepared during the Term.,Audit Rights,Yes
Supplier shall provide Bank of America with the scope of the audit and a complete copy of each report prepared in connection with each such audit within thirty (30) calendar days after it receives such report.,Audit Rights,Yes
Supplier shall provide a copy of the latest operational audit for facilities not managed by Bank of America that are used to provide services under this Agreement.,Audit Rights,Yes
Such audits may be on a rotating site basis where operations and procedures of Supplier services provided to Bank of America are in multiple locations in order to confirm that Supplier is in compliance in all aspects of the Agreement Supplier shall provide Bank of America with a copy of each report prepared in connection with each such audit within thirty (30) calendar days after it receives such report.,Audit Rights,Yes
"During regular business hours but no more frequently than once a year, Bank of America may, at Its sole expense, perform a confidential audit of SupplierÕs operations as they pertain to the Products or services provided under this Agreement.",Audit Rights,Yes
"Such audits shall be conducted on a mutually agreed upon date (which shall be no more than ten (10) Business Days after Bank of AmericaÕs written notice of time, location and duration), subject to reasonable postponement by Supplier upon SupplierÕs reasonable request, provided, however, that no such postponement shall exceed twenty (20) Business Days.",Audit Rights,Yes
". If audit results find Supplier Is not in substantial compliance with the requirements of this Agreement, then Bank of America shall be entitled, at SupplierÕs expense, to perform up to two (2) additional such audits in that year in accordance with the procedure set forth in this Section.",Audit Rights,Yes
"If audit results find Supplier Is not in substantial compliance with the    Proprietary to Bank of America  Page 26  vTIP2010 Source: CARDLYTICS, INC., S-1, 1/12/2018 requirements of this Agreement, then Bank of America shall be entitled, at SupplierÕs expense, to perform up to two (2) additional such audits in that year in accordance with the procedure set forth in this Section.",Audit Rights,Yes
"Supplier will provide reasonable access to Bank of AmericaÕs federal and state governmental regulators (at a minimum, to the extent required by law), at Bank of AmericaÕs expense, to Bank of AmericaÕs Records held by Supplier and to the procedures and facilities of Supplier relating to the Products and services provided under this Agreement Pursuant to 12 U.S.C. 1867(c), the performance of such services will be subject to regulation and examination by the appropriate federal banking agency to the same extent as if the services were being performed by Bank of America itself. S",Audit Rights,Yes
Supplier acknowledges and agrees that regulatory agencies may audit SupplierÕs performance at any time during normal business hours and that such audits may include both methods and results under this Agreement.,Audit Rights,Yes
"Upon prior written notice and at a mutually acceptable time, Bank of America personnel or its Representatives (e.g., external audit consultants) may audit, test or inspect SupplierÕs Information Security Program and its facilities to assure Bank of AmericaÕs data and Confidential Information are adequately protected.",Audit Rights,Yes
"Bank of America will determine the scope of such audits, tests or inspections, which may extend to SupplierÕs Subcontractors and other Supplier resources (other systems, environmental support, recovery processes, etc.) used to support the systems and handling of Confidential Information.",Audit Rights,Yes
"In addition to the requirements under this Section 33.0 and upon Bank of AmericaÕs request, Supplier shall deliver to Bank of America, within thirty (30) calendar days after its receipt by its board of directors or senior management. a copy of any preliminary or final report of audit of Supplier by any third-party auditors retained by Supplier, including any management letter such auditors submit, and on any other audit or inspection upon which Bank of America and Supplier may mutually agree.",Audit Rights,Yes
"Supplier shall permit Bank of America to inspect the physical system equipment, operational environment, and Confidential Information handling procedures.",Audit Rights,Yes
SupplierÕs agreement with any independent contractor to provide services to Bank of America in support of this Agreement shall likewise permit Bank of America to conduct the same inspections.,Audit Rights,Yes
Bank of America may review and Inspect any record of system activity or Confidential Information handling upon reasonable prior notice.,Audit Rights,Yes
"Neither Party shall be liable to the other for any special, indirect, incidental, consequential, punitive or exemplary damages, including, but not limited to, lost profits, even if such Party alleged to be liable has knowledge of the possibility of such damages, provided, however, that the limitations set forth in this Section shall not apply to or in any way limit the obligations of the Section entitled ""Indemnity,"" the Section entitled ""Confidentiality and Information Protection,"" or SupplierÕs gross negligence or willful misconduct.",Uncapped Liability,Yes,Cap on Liability,Yes
"Supplier hereby represents and warrants that the Software shall be and shall remain Operative, from the Delivery Date through the end of the Warranty Period.",Warranty Duration,Yes
"Following expiration of the Warranty Period and for so long as Bank of America has contracted Supplier to provide Maintenance Services, Supplier represents and warrants that the Software shall remain Operative.",Warranty Duration,Yes
"If the Software is not Operative at the expiration of the initial Warranty Period, the Warranty Period shall be extended until Supplier makes the Software Operative.",Warranty Duration,Yes
This warranty shall not be affected by Bank of AmericaÕs modification of the Software so long as Supplier can discharge its warranty obligations notwithstanding such modifications or following their removal by Bank of America.,Warranty Duration,Yes
SupplierÕs recovery objectives shall not exceed the following during any recovery period:    A. Time to Full Restoration from time of disruption event: 4 hours     B. Maximum Data Loss (stated in hours) from time of disruption event: 24 hours     C. Percentage Reduction of Service levels: 50% during the 24 hour recovery period,Warranty Duration,Yes
"Supplier shall at its own expense secure and continuously maintain, and shall require its Subcontractors to secure and continuously maintain, throughout the Term, the following insurance with companies qualified to do business in the jurisdiction in which the services will be performed and rating A-VII or better in the current BestÕs Insurance Reports published by A M. Best Company and shall, upon Bank of AmericaÕs request, be furnished to Bank of America certificates and required endorsements evidencing such insurance.",Insurance,Yes
"AmericaÕs request, be furnished to Bank of America certificates and required endorsements evidencing such insurance. Bank of America shall be named as an ÔÔAdditional Insured"" to the coverages described in Sections 26.2.3, 26.2.4, and 26.2.5 below for the purpose of protecting Bank of America from any expense and/or liability arising out of, alleged to arise out of, related to or connected with the Products provided by Supplier and/or its Subcontractors.",Insurance,Yes
provided by Supplier and/or its Subcontractors. The certificates shall state the amount of all deductibles and self-insured retentions and shall contain evidence that the policy or policies shall not be canceled or materially altered without at least thirty (30) calendar days prior written notice to Bank of America.,Insurance,Yes
"upplier and its Subcontractors shalt pay any and all costs which are incurred by Bank of America as a result of any such deductibles or self-insured retentions to the extent that Bank of America is named as an ""Additional Insured,"" and to the same extent as if the policies contained no deductibles or self-insured retention.",Insurance,Yes
"The insurance coverages and limits required to be maintained by Supplier and its Subcontractors shall be primary and non-contributory to insurance coverage, if any, maintained by Bank of America. Supplier and Proprietary to Bank of America its Subcontractors and their underwriters shall waive subrogation against Bank of America and shall cause their insurer(s) to waive subrogation against Bank of America.",Insurance,Yes
WorkerÕs Compensation Insurance which shall fully comply with the statutory requirements of all applicable state and federal laws.,Insurance,Yes
"EmployersÕ Liability Insurance which limit shall be $1,000,000 per accident for Bodily injury and $1,000,000 per employee/aggregate for disease.",Insurance,Yes
"Commercial General Liability Insurance with a minimum combined single limit of liability of $1,000,000 per occurrence and $2,000,000 aggregate for bodily Injury, death, property damage and personal injury, and specifically covering infringement of Intellectual Property Rights. This policy shall include products/completed operations coverage and shall also include contractual liability coverage.",Insurance,Yes
"Business Automobile Liability Insurance covering all owned, hired and non-owned vehicles and equipment used by Supplier with a minimum combined single limit of liability of $1,000,000 for injury and/or death and/or property damage.",Insurance,Yes
"Excess coverage with respect to Sections 26.2.2, 26.2.3 and 26.2.4 above with a per occurrence limit of $5,000,000. The limits of liability required In subsections 26.2.2, 26.2.3 and 26.2.4 may be satisfied by a combination of those policies with an Umbrella/Excess Liability policy.",Insurance,Yes
"Technology Errors and Omissions Insurance with minimum limits of not less than $5,000,000, covering liabilities arising from errors, omission, etc., in rendering computer or information technology services including but not limited to (1) systems analysis (2) systems programming (3) data processing (4) systems integration (5) outsourcing including outsourcing development and design (6) systems design, consulting, development and modification (7) training services relating to computer software or hardware (8) management, repair and maintenance of computer products, networks and systems (9) marketing, selling, servicing, distributing, installing and maintaining computer hardware or software (10) data entry, modification, verification, maintenance, storage, retrieval or preparation of data output.",Insurance,Yes
"Supplier shall be responsible for loss to bank property and customer property, directly or indirectly, and shall maintain Fidelity Bond or Crime coverage for the dishonest acts of its employees in a minimum amount of $5,000,000.",Insurance,Yes
"Supplier shall endorse such policy to include a ""Client Coverage"" or ""Joint Payee Coverage"" endorsement Bank of America shall be named as ""Loss Payee, As Their Interest May AppearÕÕ in such Fidelity Bond.",Insurance,Yes
"Except as expressly set forth in this Agreement and with the exception of the Affiliates of Bank of America, the Parties do not intend the benefits of this Agreement to inure to any third party, and nothing contained herein shall be construed as creating any right, claim or cause of action in favor of any such other third party, against either of the Parties hereto.",Third Party Beneficiary,Yes
