Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
GLOBAL MAINTENANCE AGREEMENT (,Document Name,GLOBAL MAINTENANCE AGREEMENT (
"nothing in this Agreement shall in any way restrict any change in shareholding or control of the Parties or its Affiliates or the RepairerÕs rights to delegate obligations of it hereunder to a Subcontractor. provided that, in such case, the Repairer will remain responsible for the provision of the Services in accordance with the terms of this Agreement. provided such assignment or transfer, change in shareholding or control has no material adverse effect on any of the CompanyÕs rights and obligations under this Agreement.",Change of Control,Yes
the Parties may at any time assign or transfer all or part of its rights and obligations under this Agreement to any of its Affiliates provided that such assignment or transfer is previously notified to the other Party.,Anti-assignment,Yes
"The prices set out in this Agreement will be increased, if applicable, [*****] in accordance with the following adjustment formula:",Price Restrictions,Yes
"Company shall have the right, under EUR OPS or PART M equivalent applicable regulation approval, to audit the management and the performance of the Services provided by the Repairer under this Agreement, subject to giving a [*****] prior Notice to the Repairer.",Audit Rights,Yes
"The cost of any such audits by the CompanyÕs representative(s) shall be borne by the Company unless if, as a result of that audit, the Repairer is found to be in Default, in which cases the cost of such audit will be borne by the Repairer.",Audit Rights,Yes
"CompanyÕs audit: at any time during the Term, the Repairer may:     (i) audit the management and the performance of the CompanyÕs maintenance activities which are still under CompanyÕsresponsibility; and/or,     (ii) arrange for operational visits, in order to check that the Company complies with its obligations under this Agreement; and/or,     (iii) investigate in any place, with the assistance of the Company, the causes of any abnormal removal or failure rate of any Itemand/or Abnormal Use.",Audit Rights,Yes
"Inventory of the Stock: the Repairer or any representative it designates shall have the right to inspect the Stock and to audit any records relating thereto at any reasonable time upon giving prior Notice to the Company, which shall provide full access to such Stock to enable the Repairer to conduct periodic inventory inspections and/or any audit of the Stock.",Audit Rights,Yes
The Repairer or its agent shall have the right to inspect the Advanced Pool Stock and to audit any records relating thereto at any reasonable time upon giving prior written notice to the Company.,Audit Rights,Yes
The Company shall provide full access to enable the Repairer to conduct periodic inventory inspection of the Advanced Pool Stock.,Audit Rights,Yes
"For used LRUs and Main Elements repaired and overhauled by the Repairer, the warranty period shall start on the date of Delivery and shall end [*****] thereafter, whichever occurs the earliest, and such warranty shall be subject to the exclusions of warranty set forth in Exhibit 10 (""LRUs Repair Service"") and in Exhibit 11 (""Main Elements Services"").",Warranty Duration,Yes
"Without prejudice to any term and condition under this Agreement, the Company shall maintain in force, at all times during the Term and [*****], at its own costs and expenses, with insurers of internationally recognized   [*****] Confidential material redacted and filed separately with the Securities and Exchange Commission.   AZULÐATR   Global Maintenance Master Agreement DS/CS-3957/14/Issue 7   Page 20/110 Source: AZUL SA, F-1/A, 3/3/2017Execution version   CONFIDENTIAL TREATMENT REQUESTED   reputation reasonably acceptable to the Repairer, insurances in accordance with industry standards with respect to the undertakings of the Company in Clause 15 (""Liability and Indemnity"") of this Agreement including",Insurance,Yes
"Without prejudice to any term and condition under this Agreement, the Company shall maintain in force, at all times during the Term and [*****], at its own costs and expenses, with insurers of internationally recognized   reputation reasonably acceptable to the Repairer, insurances in accordance with industry standards with respect to the undertakings of the Company in Clause 15 (""Liability and Indemnity"") of this Agreement including:",Insurance,Yes
"Lease of Stock (Exhibit 8 Clause 2.2) and Advanced Pool Service (Exhibit 15): the Items of the Stock shall be insured by theCompany under Spares All Risk Insurance for not less than the full replacement value; and,",Insurance,Yes
"Main Elements Service (Exhibit 11): each Spare Main Element to be delivered by the Repairer to the Company shall be insured by the Company, for not less than its full replacement value, under the Hull Insurance when installed on the Aircraft in addition to the agreed value of such Aircraft and under the Spares All Risk Insurance while in Stock prior to attachment or following removal and replacement from the Aircraft, including transportation to and from the Company.",Insurance,Yes
"In respect of Hull and Spares All Risk Insurances, the Repairer shall be named as additional insured and loss payee for their respective rights and interests, to the extent required under Clause 15 (""Liability and Indemnity"") of this Agreement.",Insurance,Yes
"In respect of Liability Insurance, the Repairer shall be named as additional insured and loss payee, as relevant, to the extent required under Clause 15 (""Liability and Indemnity""), with severability of interest and confirmation that the Company policy shall be primary without right of contribution.",Insurance,Yes
In respect of all of the above insurances to contain breach or warranty provisions and confirmation the policies shall not be cancelled or materially changed without [*****] prior written notice [*****] or such lesser period in respect of War and Allied Peril).,Insurance,Yes
"At the latest upon the Signing Date, the Company shall provide the Repairer with relevant insurance certificates, in English, evidencing insurance requirements of this Clause 8, in a form reasonably acceptable to the Repairer, to be attached to this Agreement in the Exhibit 17 (""Insurance certificates"").",Insurance,Yes
"Upon each renewal of the relevant insurance policies, the Company shall on reasonable request provide the Repairer with relevant insurance certificates in order to evidence insurance is maintained in accordance with this Clause 8.",Insurance,Yes
"The Repairer shall at its own expense procure and maintain in force, with insurers of internationally recognized reputation acceptable to the Company an Aviation Liability insurance which should include:     (i) Aviation Products Liability insurance: the Repairer shall maintain or shall cause its Subcontractors to maintain a Products Liability Insurance during the performance of the Services up to an amount not less than [*****] per occurrence and in the annual aggregate; and,     (ii) Hangar Keeper Liability insurance: the Repairer shall maintain or shall cause its Subcontractors to maintain during the performance ofthe Services an Hangar Keeper Liability Insurance in an amount of not less than [*****] any one occurrence.",Insurance,Yes
"Prior to the Delivery Date and upon each renewal of any policy, the Company shall supply the Repairer with certificates of insurancecompliant with the terms and conditions set out in Clause 8 of this Agreement.",Insurance,Yes
